Sample,BMP 20:5-22:6 Results,BMP 18:3-22:6 Results,BMP 22:5-22:6 Results,BMP 18:2-20:5 Results,BMP 20:5_20:5 Results,BMP 18:3-22:5 Results,BMP 22:6-22:6 Results,BMP 16:1-16:1 Results,BMP 18:2-18:3 Results,BMP 16:0-18:3 Results,BMP 18:2-22:6 Results,BMP 20:4-20:4 Results,PG 22:5-22:6 Results,PG 20:5-22:6 Results,BMP 18:2-22:5 Results,BMP 18:2-20:4 Results,BMP 18:1-20:5 Results,PG 18:3-22:5 Results,BMP 16:1-20:5 Results,BMP 16:1-22:6 Results,BMP 22:5-22:5 Results,PG 20:5-20:5 Results,BMP 18:2-18:2 Results,PG 18:2-18:2 Results,PG 18:2-18:3 Results,BMP 16:0-22:6 Results,BMP 16:1-20:4 Results,BMP 18:1-18:3 Results,BMP 18:1-22:6 Results,PG 16:1-16:1 Results,BMP 16:0-16:1 Results,BMP 16:0-20:4 Results,BMP 18:0-20:4 Results,PG 16:0-20:5 Results,BMP 18:1-20:4 Results,BMP 18:0-20:5 Results,BMP 18:3-18:3 Results,PG 16:0-22:6 Results,BMP 16:0-18:2 Results,BMP 18:1-18:2 Results,PG 18:2-20:5 Results,PG 16:1-20:5 Results,PG 20:4-20:5 Results,PG 18:3-18:3 Results,PG 20:4-20:4 Results,PG 16:0-18:3 Results,PG 18:1-18:2 Results,PG 16:0-18:2 Results,PG 18:3-22:6 Results,PG 18:2-22:6 Results,PG 16:1-22:6 Results,PG 18:1-18:3 Results,PG 16:1-20:4 Results,PG 22:5-22:5 Results,PG 16:0-20:4 Results,BMP 16:0-16:0 Results,PG 18:2-22:5 Results,PG 16:0-16:1 Results,PG 22:6-22:6 Results,BMP 18:0-18:3 Results,PG 18:0-18:3 Results,BMP 16:0-18:1 Results,PG 18:1-20:4 Results,PG 18:1-20:5 Results,PG 18:2-20:4 Results,BMP 16:0-18:0 Results,PG 18:0-20:5 Results,BMP 18:1-18:1 Results,BMP 18:0-18:2 Results,PG 18:1-22:6 Results,PG 16:0-18:0 Results,PG 16:0-18:1 Results,PC 15:0_18:1(d7) Results,BMP 18:0-18:0 Results,PG 16:0-16:0 Results,PG 18:0-20:4 Results,PG 18:1-18:1 Results,PG 18:0-18:2 Results,BMP 18:0-18:1 Results,PG 18:0-18:1 Results,PG 18:0-18:0 Results
M_M6PR_05,1.0533,1.9683,4.149,0.1086,0.0047,0.0342,2.2363,12.9501,0.0487,0.0157,31.1535,1.8116,34.8036,0.0119,4.7046,2.9059,1.9925,0.0491,0.0182,0.0308,0.015,0.0501,5.215,3.9217,0.0425,25.9679,0.5692,3.0794,435.2257,1.9231,6.01,1.4936,1.0997,0.7621,24.1217,0.011,0.0151,0.0961,15.6563,215.3463,0.1095,0.7112,0.0453,0.0394,0.0469,0.057,84.0082,2.6738,0.01,0.0787,1.1177,0.3087,2.6038,0.8387,258.1194,3.4358,0.3878,103.0748,0.5143,2.1929,3.4927,18.6382,148.3266,0.6942,0.1535,3.0361,1.4316,2239.5624,7.6723,0.2163,16.3123,527.4502,,0.7979,6.3126,40.3934,166.6798,15.5269,79.2492,188.0154,8.3149
M_M6PR_06,1.6548,0.7004,4.0509,0.2012,0.0045,0.0186,2.3544,12.5462,0.0412,0.0062,28.7278,0.9673,37.4421,0.0035,1.275,1.6172,4.2917,0.0441,0.0096,0.0942,0.0266,0.0129,3.5743,0.1824,0.0066,24.0569,0.307,3.1551,400.481,1.9412,13.6869,1.6161,0.1682,0.7032,20.3462,0.0188,0.0095,0.0536,15.3362,196.8671,0.6616,0.7674,0.0326,0.0087,0.0415,0.0737,78.3038,2.2136,0.0153,0.3014,1.4486,0.2484,2.5959,0.6061,257.7967,4.8333,0.1109,102.3255,0.1552,1.869,2.3002,16.1392,144.9451,0.6507,0.0162,1.9074,1.4473,1015.407,6.6883,0.2937,13.5503,529.6812,,0.8306,6.9394,41.276,169.8253,15.6298,70.9484,186.3045,5.6727
M_LacZ_02,1.5298,0.1584,1.3758,0.1193,0.0036,0.0337,1.2688,0.3882,0.053,0.0128,12.9788,2.9592,24.602,0.0092,1.76,0.8585,2.2623,0.0193,0.0048,0.0009,0.0157,0.0279,0.2917,0.7099,0.0137,3.3683,0.1252,0.3116,82.5372,0.6043,0.0325,0.2661,0.4698,0.2068,9.0101,0.0129,0.0057,0.1918,0.4935,18.9341,0.1604,0.2289,0.1573,0.0006,0.0254,0.0258,3.7613,1.6804,0.0008,0.2631,0.9441,0.0088,0.1496,0.1495,35.1097,0.2225,0.0477,5.9026,0.0591,0.118,0.1055,0.8029,14.9008,0.0629,0.0122,0.0594,0.6811,73.9167,0.8639,0.3099,11.0572,346.8305,,0.7485,8.938,37.5252,74.8667,7.2193,2.3936,68.7575,3.127
M_M6PR_03,1.4704,0.4541,3.7258,0.1094,0.0015,0.0392,1.8192,12.4799,0.0507,0.0037,26.5187,2.0104,30.7029,0.0076,0.878,1.871,3.1596,0.0052,0.0092,0.1006,0.0049,0.0084,4.3864,1.1552,0.007,21.6552,0.557,4.0269,365.6891,2.0579,3.3027,0.875,0.8429,0.6795,19.2692,0.0765,0.0009,0.0562,12.4197,171.3948,0.3487,0.5523,0.2191,0.0003,0.1133,0.0173,77.0085,2.342,0.0036,0.3204,0.2377,0.1698,2.4816,0.43,222.3956,3.3531,0.1568,85.1153,0.2414,1.8522,2.8275,14.8836,121.5306,0.3706,0.0338,0.7154,0.3162,763.1339,6.1198,0.2199,17.4681,495.2701,,0.7876,6.2519,35.1527,152.7583,13.2647,43.8372,172.1581,5.6776
M_M6PR_01,1.5297,0.2186,3.8274,0.1434,0.0025,0.0193,1.9807,13.6265,0.079,0.0104,28.2483,0.5412,36.0073,0.0006,0.446,2.4479,4.6079,0.0596,0.0175,0.0237,0.0171,0.0325,1.2962,1.5334,0.0077,23.6091,0.6396,1.147,381.3624,1.941,3.4547,1.3304,0.9457,0.5711,10.4355,0.0046,0.0094,0.1001,13.0788,175.8087,0.6617,0.5301,0.0345,0.009,0.0219,0.0602,79.4902,3.2579,0.0223,0.325,0.2953,0.114,2.2346,0.564,258.3768,2.1809,0.2514,100.9645,0.1499,2.2442,2.7424,16.4883,131.3449,0.1132,0.0182,0.7152,1.0747,756.9414,6.3811,0.2084,16.3077,536.805,,0.6158,7.0235,39.7307,165.3462,14.389,46.6832,186.6837,6.3243
D_LacZ_06,1.6243,0.4093,16.2849,0.282,0.0035,0.0135,1.2688,1.6024,0.0487,0.0037,15.5597,4.467,29.4917,0.0121,1.9898,0.0116,3.2062,0.0381,0.011,0.0035,0.0213,0.0174,2.106,1.8327,0.0121,4.4559,0.1496,0.7624,101.1747,1.1241,0.189,0.4522,0.3502,0.6132,13.1562,0.0082,0.0003,0.143,1.7339,34.8413,0.2858,0.5932,0.1183,0.0005,0.0309,0.0254,10.2752,3.1621,0.0127,0.2477,0.5914,0.0326,0.7212,0.0658,98.5728,0.6915,0.0683,19.4702,0.271,0.2822,0.2319,1.5628,36.6246,0.1364,0.0783,0.3754,1.1655,317.3539,1.7314,0.5297,14.6018,490.5008,,0.6778,17.038,61.5696,147.0949,12.2272,9.7523,112.1598,4.1245
M_M6PR_04,2.0762,0.8556,4.9948,0.2145,0.016,0.0879,2.7247,17.3834,0.062,0.0066,36.3811,0.8833,45.7055,0.0109,2.8309,0.4693,4.0596,0.0167,0.005,,0.0338,0.0106,6.8427,,0.0041,31.4464,0.7075,4.0851,546.5681,2.2929,8.3408,5.1352,1.2143,0.6357,4.3174,0.0134,0.0079,0.0516,19.5504,267.0791,0.462,0.3758,0.0724,0.0128,0.0071,0.1406,97.2854,4.2617,0.0142,0.2444,1.3784,0.1937,2.6471,0.8259,305.9655,6.1719,0.1019,129.2607,0.224,3.1453,4.1567,22.9511,174.925,0.6148,0.0699,2.6712,1.4366,1392.3826,8.9667,0.146,17.6633,574.2819,,0.7039,7.4419,43.5676,199.3997,19.0045,95.6499,217.604,9.2815
D_LacZ_03,1.7256,0.4833,1.6322,0.2631,0.0049,0.0099,1.4989,0.5665,0.0763,0.006,15.6714,4.6377,30.5032,0.0148,2.596,2.8426,3.3348,0.0158,0.0057,0.009,0.0168,0.0135,3.4242,0.0716,0.0087,5.3055,0.205,0.6491,108.6013,0.9107,0.3179,0.8196,0.6336,0.7344,17.2828,0.0509,0.0089,0.0195,0.5888,38.9579,0.247,0.0633,0.0364,0.0109,0.0217,0.024,8.6121,0.1752,0.0149,0.1479,0.3525,0.0106,0.2995,0.0558,86.2176,0.7853,0.1276,18.6204,0.1871,0.2802,0.1979,0.9248,36.3042,0.1653,0.038,0.0324,0.5889,122.3407,2.1179,1.2952,14.1647,479.2344,,0.8418,16.0143,56.0301,137.4688,11.7939,11.1146,107.9279,3.9432
D_LacZ_04,2.0831,0.5866,2.1609,0.2607,0.0007,0.2342,1.928,2.8495,0.0304,0,20.263,5.652,36.1253,0.0095,2.822,2.3911,3.8083,0.0438,0.0164,0.0131,0.0163,0.0327,0.1234,0.012,0.0207,6.0116,0.2861,0.1671,141.9528,1.5226,0.1971,1.7061,2.0054,0.8024,23.6991,0.0137,0.0053,0.0121,2.6228,53.6916,0.657,0.5963,0.1574,0.0152,0.1443,0.1001,11.0411,0.3862,0.0269,1.3799,1.6279,0.0458,0.3763,0.2063,131.0668,0.6702,0.3044,28.94,0.2384,0.5262,0.8268,2.7515,51.9543,0.0201,0.0975,0.1493,0.5312,438.2877,1.8106,0.1125,15.204,543.3315,,0.7829,17.9179,62.78,164.9145,13.07,16.0837,128.8115,5.3953
D_M6PR_01,1.2728,1.668,3.0224,0.1814,0.0005,0.0413,1.8577,21.0687,0.0766,0.0168,25.9843,1.1298,30.7672,0.0122,3.5299,1.8364,4.1446,0.016,0.0032,0.0368,0.0705,0.058,5.6688,4.5052,0.0039,31.4613,0.8348,1.7557,404.957,2.8454,25.3629,1.9179,0.6652,0.9183,31.8774,0.032,0.0038,0.1239,20.8066,216.9202,0.6152,0.2694,0.118,0.0037,0.0348,0.3191,85.6509,4.4482,0.0035,0.0394,0.9419,0.5098,2.8811,0.1701,363.7121,10.9491,0.4649,287.622,0.0392,3.7465,5.3757,28.8228,162.14,0.2889,0.0394,3.6765,0.488,1398.7793,10.5578,0.1432,27.128,999.8386,,0.6773,18.2886,40.4735,293.5761,21.6186,99.7359,293.0176,11.966
M_Alg12_OE_03,3.3968,0.5907,4.1878,0.3803,0.002,0.0166,3.1682,1.7742,0.1333,0.0017,27.3445,8.4359,53.9659,0.0159,0.5337,4.9948,4.3382,0.0087,0.008,0.0238,0.0129,0.0138,0.0833,0.0207,0.0034,6.3751,0.4329,0.0303,167.9925,0.9707,0.6104,1.4256,1.6407,0.4734,15.1153,0.0145,0.0009,0.0297,2.1662,55.5125,0.1751,0.7282,0.1058,0.0006,0.0969,0.0609,8.7501,0.3425,0.0139,0.5847,0.8063,0.0686,0.2866,0.2858,116.795,1.0365,0.2634,17.5898,0.4165,0.2153,0.535,3.1429,49.3152,0.0954,0.1169,0.2647,0.4257,359.5288,2.0178,0.1363,15.8191,551.9738,,0.8502,13.4389,58.6369,119.4442,11.8137,10.0122,115.8493,4.3605
D_Alg12_OE_05,3.5138,1.1534,3.8082,0.4108,0.0061,0.0215,3.2249,4.5625,0.0521,0.0056,32.9478,12.029,57.8306,0.0134,6.9998,7.886,6.091,0.0199,0.0093,0.007,0.0163,0.0121,6.1879,0.5162,0.0192,9.4999,0.261,0.085,225.4257,1.2807,2.9408,1.6493,2.0163,0.9652,50.5945,0.0078,0.0094,0.0179,1.852,90.5671,0.3344,0.3981,0.1925,0.0007,0.1344,0.1184,18.1233,0.7412,0.0327,0.165,2.3143,0.032,1.4009,0.5848,219.9465,2.4452,0.4591,51.1791,0.5523,0.4168,0.8891,4.9587,91.5909,0.0369,0.1088,0.2753,0.4999,634.3609,2.6272,0.3513,19.8557,757.8944,,0.9903,17.8755,80.7877,219.4794,17.3952,20.1583,157.6643,6.5833
M_LacZ_04,1.6686,0.2684,2.0977,0.241,0.0015,0.0365,1.4088,0.5441,0.0168,0.0029,13.2054,1.8223,31.2423,0.0312,2.308,1.543,1.5199,0.0104,0.006,0.0172,0.035,0.0166,0.4062,0.7984,0.0007,3.6947,0.006,0.4212,88.5163,0.2067,0.1282,0.1892,0.3081,0.1283,19.7142,0.0493,0.0006,0.0438,0.2961,21.8133,0.3407,0.0842,0.1344,0.0054,0.0162,0.0058,1.2596,0.6491,0.0418,0.1962,1.5614,0.0133,0.265,0.0192,32.6468,0.2401,0.0619,5.1388,0.0452,0.0452,0.0272,0.6205,14.8263,0.0243,0.1455,0.0696,0.3047,185.3236,0.6411,0.3171,10.5153,342.0585,,0.8268,8.6453,36.1244,71.5819,6.9965,3.7979,67.7069,2.7178
D_TFEB_OE_01,2.6516,0.8686,3.0242,0.2651,0.004,0.0149,2.2445,3.155,0.0823,0.0051,22.1887,5.9356,41.9521,0.0065,3.3476,4.4364,4.5586,0.0166,0.0066,0.0135,0.0192,0.029,4.8726,1.3252,0.0012,6.1219,0.4098,1.036,153.3524,1.748,0.3154,0.633,1.4107,0.5131,12.4422,0.0731,0.0116,0.1025,2.5553,58.5326,0.3717,0.8452,0.2951,0.0097,0.2633,0.0309,9.886,0.2026,0.0135,0.1076,1.8034,0.0364,0.9058,0.1564,128.943,0.8403,0.1097,28.4473,0.2724,0.3161,0.6992,1.8289,48.6671,0.2159,0.0861,0.1751,0.9956,410.8114,1.6615,0.1584,16.6271,529.6381,,0.924,19.5112,61.6678,162.2406,13.7441,13.2342,126.6116,5.6334
D_Alg12_OE_06,2.8788,1.8756,3.523,0.6561,0.0046,0.0925,2.5287,4.6295,0.0036,0.0055,29.6729,10.3828,46.2588,0.0077,1.9431,6.3702,5.8624,0.0243,0.0038,0.0411,0.0229,0.0087,1.4317,0.4116,0.008,9.8155,0.3716,1.1163,219.6112,1.7878,2.3378,1.7128,2.1808,0.8775,42.96,0.2743,0.0107,0.2619,2.7233,101.2636,0.4471,0.4874,0.0177,0.0132,0.1491,0.0896,21.1436,0.7821,0.0208,0.3224,1.7745,0.2413,1.1884,0.4308,225.7181,1.8248,0.381,57.1294,0.275,1.0867,1.4847,6.3484,92.144,0.1919,0.2282,0.1654,0.8815,703.4564,3.956,0.339,19.6853,712.0947,,1.1845,20.6339,68.9596,205.138,16.6964,24.9469,174.2652,7.3914
M_Alg12_OE_02,3.5364,1.0672,4.7489,0.5791,0.0238,0.0271,3.2232,2.5196,0.1223,0.0011,31.1687,9.02,58.746,0.0171,6.315,5.0295,4.954,0.0229,0.0041,0.0086,0.0098,0.0523,2.1167,1.4845,0.0086,7.9381,0.2483,0.9577,217.5655,1.2572,1.3119,0.5111,1.9996,0.82,33.8188,0.2181,0.0015,0.0165,3.4692,80.0489,0.0902,0.8156,0.0658,0.0016,0.0546,0.0587,15.194,3.0987,0.0223,0.5008,2.2812,0.0077,1.2973,0.6343,176.6789,1.2249,0.3923,31.7097,0.6737,0.2953,0.5206,3.5832,72.272,0.0177,0.0319,0.2536,0.9885,501.0655,2.2632,0.1315,18.8199,642.7143,,1.1054,15.581,65.7027,146.4284,13.6367,8.8409,139.6286,6.3863
D_TFEB_OE_04,2.3317,0.7283,2.0574,0.3944,0.0054,0.0322,1.6948,0.7577,0.0466,0.0017,18.5025,7.6043,35.2445,0.025,3.848,4.4516,2.8367,0.0594,0.0073,0.0147,0.0385,0.0341,0.379,0.1136,0.0411,4.2923,0.1794,0.9473,107.1226,1.2222,0.2813,0.6876,0.387,0.5691,2.7398,0.0131,0.0017,0.1239,1.17,30.8128,0.4405,0.4973,0.1039,0.0011,0.1081,0.0137,5.7509,0.3241,0.0077,0.356,1.8452,0.0214,0.4294,0.0863,89.3197,0.6922,0.0112,18.3121,0.1897,0.2532,0.2298,1.5161,35.1064,0.0628,0.1478,0.0784,0.7913,279.9683,0.7543,0.1947,13.1651,452.5602,,0.8525,16.1004,58.8775,137.2524,12.2738,7.5887,101.9565,4.311
M_TFEB_OE_02,2.7186,1.1719,2.7359,0.2942,0.0037,0.0591,1.9415,1.0417,0.1012,0.001,17.5502,6.4766,39.89,0.0298,2.7518,3.6474,2.9902,0.0141,0.0131,0.0081,0.1021,0.0874,0.8158,0.058,0.0072,3.5953,0.0583,0.1625,100.2433,0.403,0.3548,0.5276,0.8002,0.4273,17.683,0.0089,0.0032,0.046,0.5989,21.2983,0.5706,0.2472,0.0765,0.0005,0.022,0.005,3.7686,2.83,0.0164,0.2964,1.3104,0.0218,0.1469,0.1342,54.2789,0.3291,0.2207,7.9845,0.1241,0.005,0.0735,1.2112,24.6999,0.1315,0.1138,0.0331,1.0865,65.4413,0.8284,0.2743,13.138,392.876,,0.9049,10.3222,47.7733,90.3722,9.4941,4.4564,78.5521,3.4965
M_TFEB_OE_04,2.6564,0.4306,3.048,0.3256,0.0021,0.0138,2.1477,0.5475,0.0269,0.0041,18.5899,7.3252,38.9345,0.0159,2.3633,3.5347,3.2863,0.0065,0.0095,0.0079,0.0128,0.1042,1.0056,1.4544,0.0184,4.2211,0.0332,0.3859,104.5742,0.7655,0.2392,0.6803,0.4323,0.3784,17.7608,0.012,0.0003,0.2339,1.0309,26.6918,0.4709,0.7754,0.157,0.0131,0.1169,0.0315,1.4609,2.108,0.0057,0.1683,0.5035,0.0118,0.3363,0.1826,60.1289,0.4097,0.0934,8.1739,0.256,0.0482,0.0775,0.7158,25.7824,0.0063,0.0935,0.0528,0.4796,192.8824,0.4676,0.2121,12.2578,389.3955,,0.91,10.7939,49.2172,88.1654,9.5464,1.755,79.5354,3.446
M_LacZ_05,1.1161,0.174,10.9062,0.0394,0.0017,0.0186,1.089,0.4551,0.0402,0.0033,9.7394,2.0511,23.8476,0.024,0.821,1.2974,1.6816,0.0155,0.0071,0.0164,0.0153,0.009,0.2479,1.0172,0.0045,2.9754,0.0344,0.094,66.6899,0.3448,0.3048,0.3712,0.172,0.2818,7.9633,0.0248,0.0004,0.0319,0.3301,13.1099,0.2116,0.5265,0.1917,0.0009,0.0053,0.0142,0.6329,2.1404,0.0101,0.2659,1.0942,0.0118,0.1462,0.0086,23.7173,0.0727,0.0792,3.8128,0.0295,0.0243,0.0396,0.375,9.6281,0.0405,0.0058,0.0694,0.5322,57.4915,0.6101,0.2545,9.3867,286.417,,0.5934,8.364,29.2134,63.8423,6.0799,2.0594,56.6267,2.5014
M_TFEB_OE_01,2.3164,0.0578,2.3816,0.2526,0.0125,0.2518,1.5131,0.1591,0.0312,0.003,15.9578,6.1555,34.1247,0.0041,0.3082,1.7064,2.963,0.0349,0.0085,0.0071,0.0033,0.0355,0.6915,0.9372,0.0014,3.6105,0.2,0.0628,91.7251,0.4909,0.1067,0.5775,0.4834,0.388,12.7853,0.0165,0.0004,0.0444,0.6389,22.339,0.1669,0.3344,0.2131,0.0035,0.0081,0.0063,4.2316,2.0627,0.0146,0.3672,0.653,0.0429,0.2864,0.1607,46.4765,0.1059,0.0548,5.8927,0.0863,0.0429,0.0459,0.8072,20.7019,0.1299,0.0123,0.0568,0.1825,178.7347,0.0671,0.5495,11.268,367.3333,,1.0576,9.7439,44.971,82.3239,9.0576,4.0222,72.0454,3.2723
M_TFEB_OE_06,2.6538,0.404,3.0094,0.2289,0.0057,0.3851,2.2539,0.657,0.0374,0.0094,17.9801,6.514,40.1881,0.0116,2.5134,2.9482,2.9324,0.0066,0.0054,0.0112,0.0173,0.0314,0.7243,1.0997,0.0083,3.9546,0.2685,0.5177,108.8936,0.8187,0.0159,1.1282,0.4438,0.5206,12.4332,0.0604,0.0049,0.0426,0.4885,23.3517,0.8166,0.6984,0.1668,0.0063,0.1542,0.0326,3.7788,2.6714,0.0177,0.3832,1.4179,0.0174,0.2291,0.0814,57.3778,0.5331,0.1082,8.5939,0.1294,0.1096,0.0668,1.245,24.3158,0.0629,0.0811,0.037,0.0768,207.8453,0.8878,0.3023,12.9902,421.3275,,0.7397,10.1035,48.4846,88.8885,10.251,4.5501,80.6805,3.3964
D_TFEB_OE_03,2.1034,1.0038,2.0135,0.3584,0.0018,0.0591,1.3772,0.4226,0.0321,0.0048,16.6623,7.4189,32.2874,0.008,1.67,4.7058,0.709,0.0315,0.0059,0.0163,0.0123,0.0743,2.2837,1.5165,0.0151,3.5726,1.507,0.4595,89.1993,0.9289,0.5137,0.0679,0.227,0.7588,15.3943,0.0056,0.0072,0.0545,0.235,26.8311,0.5125,0.3694,0.1629,0.0008,0.0495,0.0409,4.5241,3.1501,0.0136,0.2094,1.3441,0.0191,0.6578,0.1279,75.3135,0.732,0.0368,13.19,0.1736,0.1141,0.1546,0.8106,29.9525,0.189,0.0243,0.0883,0.9191,217.3869,1.1372,0.2406,12.9623,403.7334,,0.6523,14.8168,58.5628,118.9232,12.2964,5.5737,92.3304,3.6405
M_TFEB_OE_03,2.5138,0.3771,3.0145,0.1875,0.0638,0.0814,2.2187,1.2508,0.0623,0.0024,17.911,3.87,40.4301,0.0332,3.2166,3.5145,3.118,0.0096,0.0139,0.0548,0.0112,0.0199,2.6881,0.0044,0.0193,4.0869,0.2562,0.2761,110.0903,0.679,0.2519,0.7094,0.9362,0.3787,6.2186,0.0189,0.0044,0.144,0.3323,30.3174,0.3697,0.4145,0.1815,0.0096,0.0607,0.019,3.7216,0.1318,0.0098,0.1077,0.3251,0.0123,0.4011,0.1714,64.3557,0.312,0.1096,10.1292,0.1914,0.1652,0.0986,1.2087,27.2928,0.0824,0.0126,0.0468,0.9327,218.6801,0.5626,0.4566,11.5899,418.8249,,0.84,10.8672,46.7853,87.458,9.2374,5.5895,82.2862,3.5604
M_LacZ_01,1.4403,0.741,1.7583,0.0897,0.0033,0.0181,1.4024,0.2514,0.0612,0.0041,11.7448,2.8553,24.7922,0.005,1.367,1.6037,1.3972,0.05,0.0085,0.0072,0.007,0.017,0.4728,0.5866,0.0002,3.3377,0.1793,0.1953,82.5049,0.3037,0.5273,0.3109,0.6612,0.3447,17.5133,0.0141,0.0111,0.0253,0.6516,17.3056,0.0709,0.4949,0.2021,0.0299,0.0255,0.036,1.8641,2.0449,0.005,0.2336,1.1973,0.0106,0.2548,0.0412,32.5911,0.2898,0.0905,6.1303,0.16,0.0271,0.1486,0.3651,14.6022,0.0172,0.0049,0.0158,0.1699,68.5491,0.8952,0.248,10.5607,343.1591,,0.7066,8.981,35.3472,71.456,7.136,4.8743,66.181,2.8883
D_Alg12_OE_01,3.243,0.7431,3.2411,0.3102,0.003,0.1487,1.5946,1.6013,0.0395,0.0057,29.2379,11.27,52.3064,0.0017,3.9701,6.926,5.4686,0.0114,0.005,0.0212,0.0702,0.0307,4.4102,0.2523,0.0076,7.9804,0.5239,0.8925,197.2393,1.152,0.6813,0.5269,1.464,0.9358,33.3572,0.025,0.0024,0.0143,4.3947,91.5718,0.2882,0.6431,0.0864,0.0105,0.1503,0.0504,26.3719,0.5864,0.0141,0.2714,1.7292,0.1552,1.1343,0.3993,236.747,1.9498,0.1479,53.2056,0.2344,0.707,1.2459,5.5278,96.1805,0.2243,0.2382,0.4109,0.4613,220.4181,3.6342,0.2083,18.779,659.6935,,1.0018,19.6139,77.3,200.1419,17.2918,19.4365,169.9628,7.6147
M_Alg12_OE_01,2.2491,0.125,21.5015,0.1062,0.0027,0.4016,1.8831,0.9375,0.0383,0.0089,20.6628,4.9049,39.3561,0.0048,2.8429,3.6168,2.991,0.0158,0.0147,0.0173,0.0428,0.0202,1.6384,0.5437,0.0216,5.0382,0.2581,0.1069,147.6905,0.363,1.4613,0.2461,0.3695,0.4957,10.8131,0.0693,0.0066,0.074,1.0621,40.2008,0.48,0.5358,0.0275,0.0115,0.0199,0.0552,16.1606,0.4117,0.0199,0.1229,1.2655,0.0419,0.4996,0.2476,105.5333,0.5871,0.123,18.4713,0.5514,0.1939,0.1788,2.6239,45.0158,0.1496,0.0082,0.043,0.8167,384.5028,1.4572,0.6364,17.1082,570.163,,0.7187,12.4235,51.2961,124.0614,10.3056,8.5125,110.706,4.9328
M_Alg12_OE_06,2.1848,0.3415,2.6571,0.2343,0.0116,0.0227,2.201,0.9838,0.0511,0.0086,19.7891,5.773,35.3006,0.008,1.5879,3.7411,3.0983,0.0256,0.0053,0.0037,0.0152,0.0112,3.4833,0.388,0.0077,5.0669,0.2509,0.5779,139.1455,0.1054,0.4441,0.4398,0.7852,0.59,39.5047,0.1456,0.0007,0.0238,1.8938,38.6688,0.1973,0.9041,0.0375,0.0051,0.0322,0.012,14.7245,0.1283,0.0046,0.266,0.6521,0.0157,0.7758,0.2591,102.4205,0.9083,0.183,18.7802,0.3938,0.2427,0.2921,3.2267,41.6273,0.1286,0.0436,0.0599,0.1857,360.3854,0.9079,0.7401,17.5139,538.2529,,0.8142,12.403,50.4084,114.0944,10.2293,8.1706,110.0732,5.0371
D_TFEB_OE_02,2.1938,0.6583,15.7497,0.1641,0.0548,0.1138,1.4447,0.5124,0.0367,0.002,16.5712,6.7227,30.7132,0.0054,3.6704,2.999,3.2111,0.0232,0.0106,0.0538,0.0048,0.0433,0.3882,0.2816,0.0061,0.0859,0.499,0.4646,96.1502,1.1878,0.1308,0.2688,1.9612,0.3098,37.9487,0.0168,0.0028,0.0365,0.9983,28.9285,0.7587,0.2241,0.1868,0.0013,0.041,0.0064,9.5031,4.1797,0.0079,0.3833,1.2638,0.0346,0.8957,0.1042,106.647,0.881,0.0595,20.0419,0.0819,0.0649,0.3143,1.6532,42.0561,0.0871,0.014,0.0385,0.5431,267.0499,1.4767,0.2414,14.1553,475.786,,0.821,17.4017,62.7497,143.3,13.1738,6.1513,109.2194,4.217
M_LacZ_03,1.3422,0.0152,10.5376,0.1181,0.0026,0.0397,0.9261,0.1234,0.0306,0.0014,10.1334,2.7315,23.2696,0.0039,0.1861,1.8362,1.6018,0.006,0.0072,0.0022,0.0109,0.0255,0.7091,0.7994,0.0531,2.6391,0.1353,0.2278,70.2715,0.7438,0.1102,0.0459,0.1012,0.4618,16.3936,0.0198,0.0004,0.0753,0.3587,9.9063,0.7833,0.1931,0.1036,0.0265,0.0511,0.0173,4.4078,2.0941,0.001,0.0472,1.191,0.0191,0.1847,0.0496,35.7094,0.1579,0.0477,4.7326,0.0224,0.0061,0.0749,0.7125,16.5089,0.0893,0.0284,0.0479,0.7378,165.1322,0.2841,0.7132,11.592,360.0503,,0.832,8.5634,37.9797,76.0603,7.5849,1.8617,68.5702,2.8066
M_scramble_05,0.5544,0.3129,0.9929,0.0374,0.0014,0.2585,0.428,3.1888,0.0229,0.0029,10.2167,0.2725,16.4955,0.0005,0.9178,0.2407,0.5448,0.0155,0.015,0.0047,0.0146,0.0034,0.126,0.4588,0.0004,7.6952,0.1183,0.6601,121.5037,0.2702,0.6778,0.3377,0.3271,0.0911,9.2983,0.01,0.0004,0.1013,2.0585,50.6229,0.3904,0.4277,0.0313,0.0024,0.0209,0.0928,12.7073,0.5167,0.0216,0.1452,0.9718,0.0412,0.902,0.1566,72.6008,0.8596,0.1121,28.0603,0.1156,0.4196,0.4018,4.1049,30.6851,0.1864,0.044,0.9982,0.2435,564.8598,2.9124,0.5138,16.4969,520.7362,,0.6107,7.1432,19.3686,99.1647,6.3512,24.6422,97.8789,2.9732
