ID,Cell_line,ug_mL_protein,ug_protein,BMP 20:5_22:6,BMP 16:1_20:5,BMP 20:4_20:5,BMP 18:3_22:6,BMP 20:5_22:5,BMP 18:2_20:5,BMP 16:1_22:6,BMP 22:5_22:6,BMP 16:1_20:4,BMP 18:2_22:6,BMP 20:4_20:4,PG 22:5_22:6,BMP 18:2_20:4,BMP 18:2_22:5,BMP 18:1_20:5,BMP 18:2_18:2,BMP 16:0_22:6,BMP 16:1_16:1,BMP 18:1_22:6,BMP 18:1_18:3,PG 16:0_20:5,BMP 16:0_20:4,BMP 16:0_16:1,BMP 18:1_20:4,BMP 16:0_18:2,BMP 18:1_18:2,PG 16:1_16:1,PG 18:2_20:4,PG 18:1_18:3,PG 18:1_22:6,PG 16:0_20:4,PG 16:0_16:1,PG 18:1_20:4,BMP 16:0_16:0,PG 18:1_18:2,BMP 16:0_18:1,PG 18:0_20:5,BMP 18:0_18:1,BMP 18:1_18:1,BMP 18:0_18:2,PG 16:0_18:1,PG 16:0_16:0,PG 18:1_18:1,PG 18:0_18:2,PG 16:0_18:0,BMP 18:0_18:0,PG 18:0_18:1,total_BMP,total_PG
1,LacZ,937.8,93.78,6.897590104499893,3.605843463425037,0.5874386862870549,3.2244188526338236,1.7682874813393048,1.7776924717423759,175.97125186606954,114.56502452548517,8.308338664960546,74.75384943484751,1.5219663041160163,22.519279164000853,4.037577308594583,15.607357645553424,33.21170825335893,16.106120708040095,94.11917253145658,21.204073363190446,2516.662870548091,20.589315419065898,6.371955640861591,6.800554489230112,65.62697803369589,209.1901258264022,53.61352100661122,922.840648325869,3.9936873533802513,1.6705054382597568,1.4830027724461505,10.864555342290467,583.3743868628706,1173.7384730219662,694.570036255065,128.9640648325869,180.83169119215185,572.8912561313713,10.898443164853912,521.3472808701216,10569.601258264021,36.35446790360418,1668.2179355939434,44.61772232885477,1614.3164427383235,66.32876946043932,19.396523779057368,36.469417786308384,1046.657346982299,16238.21947110258,7149.850757091064
2,LacZ,1068.01,106.801,7.609872566736266,3.968202544919991,0.7500678832595201,4.000318349079128,2.2475819514798547,1.5500791191093717,186.41926573721221,125.8965740021161,10.281252048201795,78.47162479752062,2.1020776959017238,20.73763354275709,6.436269323320943,14.825572794262227,39.36073632269361,17.566165110813568,102.1716463328995,17.37202835179446,2796.797333358302,26.694918586904617,6.966507804234042,6.472973099502813,68.73660358985403,178.72562990983232,61.74073276467449,1149.9532963174502,3.66474096684488,1.028361157667063,2.9221449237366692,8.61778447767343,584.7540753363733,998.571717493282,590.3008024269435,75.8486156496662,414.2904654450801,599.2284716435239,9.521746051066938,533.461596801528,10946.990383985169,30.717390286607802,1453.7524180485202,36.510557017256396,1298.0799056188612,53.99492514115037,15.65284969241861,33.25453881517963,887.1356447973334,17129.651819739516,6386.502279941199
3,LacZ,1086.62,108.662,11.696085107949418,4.1148883694391785,0.5446062100826417,4.484143490824759,2.179455559441203,1.7684563140748377,224.57707386206766,181.57263808875226,11.804697134232757,97.00922125490051,2.948372015976146,36.61204468903572,6.101470615302497,21.744694557434983,49.60168228083415,19.581472823986307,124.25705398391342,18.27993226702987,3192.4289079899136,29.14770572969391,8.279508935966575,9.030774327731864,85.79448197161841,212.52603486039277,57.19885516555925,1198.7022326112162,3.361432699563785,1.0805801476137011,7.151515709263587,12.379065358635033,455.8433859122784,660.9445068193112,387.8590859730172,32.13022031620989,763.414220242587,619.62323535366545,15.81342143527636,684.8732951721853,14047.117262704533,11.48684912849018,1962.141705472014,38.29984723270324,1729.0006441994442,59.3663286153393,8.206327879111372,24.255397471057037,759.3352782021313,20986.58119673851,6909.088899523292
4,hAlg12,1051.74,105.174,9.011067374065833,5.500351797972883,0.9309905489949987,4.5990453914465546,2.56188791906745,2.043014433224941,254.25506303839347,141.67655504212067,12.216156084203321,97.27227261490482,1.7448418810732689,25.5222393367182,7.4077243425181125,21.401601156179282,48.10175518664308,19.295890619354594,112.26130032137219,25.438644531918538,3130.4264361914543,37.71376956281971,5.874398615627436,7.516477456405575,84.33118451328275,145.86934033126056,45.60881967026071,989.75250537205,3.4216631486869376,1.6175860954228232,2.072964801186605,9.366877745450397,452.4434365907924,1041.158651377717,591.4834274630612,72.74438549451384,224.45045353414343,614.1802156426493,9.964420864472208,616.0680206134596,12880.772187042425,39.72856409378744,1736.5558788293683,29.088196702607107,1632.8124631562932,53.545400954608546,7.758077091296327,27.846654116036277,897.5608800654153,19458.27672238386,6724.697016372867
5,hAlg12,951.75,95.175,8.805547675334909,4.601208300499081,0.8462516417126347,4.968363540845811,2.010675072235356,1.9450696086157082,241.3051326503809,157.12920409771476,12.970612030470187,99.31210927239295,1.8515156291042816,31.043446283162595,6.292681901759916,16.420635671132125,47.96759653270291,23.62340950879958,141.84886787496717,22.99000788022065,3653.836427633307,30.41504596795377,7.972681901759915,9.277730496453902,107.90304176516943,214.86877856579983,78.91439978986078,1567.8318676122933,4.374236931967428,1.5101024428684002,6.389030732860521,14.789030732860521,729.0114420803783,1209.86109797741,643.810097189388,73.71818229577096,800.4680010506961,773.18745468873135,12.584187023903336,840.2100551615446,17172.06888363541,39.64658786446021,1884.7468557919624,43.197373259784605,1801.5500078802206,75.80770160231152,18.515156291042818,47.308599947465204,1318.505952193328,25404.07594431311,8604.136401365906
6,hAlg12,998.26,99.826,8.255043776170536,4.2747781139182175,0.7773726283733697,4.940796986756958,3.0355819125277983,1.657824614829804,228.03538156392122,148.27692184400857,12.223388696331618,89.83288922725542,2.057239596898604,24.25113697834232,5.908480756516339,20.219682247109972,46.098070642918685,19.903712459679845,123.63955282191014,21.28707951836195,3405.098551479575,32.616552801875265,5.737944022599324,8.408751227135216,91.2938112315429,154.08582934305693,53.25640614669525,1069.347925390179,3.782802075611564,1.4415683288922727,1.763007633281911,10.22336866147096,503.1024382425421,981.9130687396071,589.5369342656222,93.10856890990323,345.7078316270311,818.6123655159978,8.816019874581773,613.8932542624166,13871.934626249677,40.299961933764756,1601.8929136697857,24.166149099433014,1502.0083144671728,52.68028369362691,8.394867068699538,33.881133171718794,897.2215254542905,21026.261535071026,6562.640173902591
7,scramble_1,795.97,79.597,15.581567144490373,5.097704687362589,1.2088646557031046,4.153724386597485,5.58455720692991,2.4514994283704157,288.44921291003436,291.0702664673292,16.530472253979422,112.9207633453522,5.13393720868877,47.593175622196824,7.424676809427493,28.32380617359951,55.49133761322664,19.36223727024888,241.19690440594496,21.40691232081611,3529.7558701961134,26.842318177820776,11.542696332776362,17.61639257760971,158.8968428458359,218.16374989007124,94.53135168410871,1247.1344648667666,7.868789024711987,2.4696156890335064,3.150118723067452,14.769325477090847,1234.1067628176943,1203.6251868789025,706.1359598979861,79.17368745053207,531.639257760971,940.0372878374814,18.74892269809164,565.5284495646822,11315.072552985666,29.951807228915666,2128.088998329083,52.42617184064726,984.6606279131124,75.71594406824379,26.07879693958315,36.59396710931317,1037.6772491425556,19380.687186703017,8086.297599155748
8,scramble_1,1002.91,100.291,13.047272437207727,4.839995612766849,0.9137808975880188,5.596314724152716,4.380034100766769,2.670987426588627,274.43272078252284,249.0038986549142,15.182359334337079,103.99443619068511,3.8761005474070456,43.234427815058176,7.379625290404922,25.478657107816254,47.33066775682764,21.210298032724772,227.8116082200796,18.70528761304604,3337.5381041170194,27.072538911766756,12.410585197076506,15.30171201802754,153.95086298870285,212.5695027470062,95.16568784836126,1113.8486603982412,5.976009811448684,1.673869041090427,5.1409598069617415,14.43176356801707,894.3409278998116,849.8937093059196,493.2852000678027,53.022185440368524,617.7807978781746,908.8949756209431,19.84562921897279,559.5693531822398,11177.108992830863,32.71226730215074,2047.80295340559,42.311433727851956,1001.1788894317536,67.84034459722209,17.720453480372118,29.87935108833295,808.0058031129414,18742.488239223858,6942.873757366065
9,scramble_1,942.45,94.245,12.048214759403681,5.520674836861372,1.4520664226218896,5.590641413337577,4.581250994747732,1.7469361769855163,249.89699188285852,230.72020796859246,13.940134755159423,100.67997241232955,3.8096875165791286,41.45883601252055,6.369483792243621,21.051472226643323,44.93993315295241,16.57138309724654,198.85481457902276,17.84652766725025,2993.9287813677115,25.481203246856598,10.832489787256618,14.394843227757441,132.1321024988063,150.85685182237785,67.38256671441455,895.119995755743,5.13667568571277,1.9388614780624964,1.785261817603056,8.680014854899463,1022.9698763860151,1189.855758926203,738.2761738023237,260.3628627513396,89.95993421401664,807.4025571648364,11.41287070932145,424.2103241551275,8603.222303570481,33.37524537110722,1726.32336994005,42.804392805984406,875.0230993686666,61.97270942755583,21.255132898296992,30.35791819194652,811.5724759934213,15373.847949493342,6661.25793410791
10,scramble_1,1023.84,102.384,10.028793561493984,4.625507891858103,0.9882208157524613,3.9353805282075327,3.3598413814658543,1.8740232848882639,228.81817471479917,193.71233786529146,12.74404203781841,94.22460540709484,2.690635255508673,33.381543991248634,4.878203625566495,19.586243944366306,39.64793327082357,15.247616815127364,190.38736521331458,17.905981403344274,2816.925281293952,23.854176433817784,9.37148382559775,10.153637287076107,136.0162134708548,145.62070245350836,75.66035708704484,938.2919401468979,6.083294264728864,1.4190889201437724,2.025394592905142,8.127422253477105,1034.2591615877482,1165.3562861384592,656.5832356618222,148.0003906860447,296.62746132208156,807.8686708860758,10.033305985310205,388.75050789185815,7965.731579152994,31.56864353805282,1462.8748827941868,43.333626347866854,775.0690928270044,54.69112361306454,26.480543834974217,32.23894358493514,742.0202375371151,14365.335950929833,6327.737185497735
