Proteomics,RNA,ChIP
,rap1gap,Rusc2
,cldn5,Coq10b
,fam35a,Slc35e2
,syt15,Plpp3
,tmtc4,Ugt1a1
,nlrp5.ps,Pex14
,bicdl1,Nr5a2
,pnpla3,Arhgef12
,pde3a,Zfp36
,gpr155,Eapp
,enc1,Eef1d
,fam169a,Gabarap
,slc16a6,Kxd1
,mvk,Per1
,acacb,Cyp17a1
,armc5,Dnmbp
,bag2,Ptprg
,sgsm1,Mpzl1
,pbrm1,Deptor
,hps4,Mir103-2
,tnfrsf14,Dio1
,arl15,Gm2176
,lgalsl,Cdk15
,ago4,Mir101b
,usp22,Mir7083
,maff,Pim3
,acad12,Gm20319
,arrdc4,Ppp1r3b
,commd10,B4galnt4
,aqp11,Sbf2
,nrep,44986
,zc3h6,Dhrs4
,sbk1,Albfm1
,onecut1,Stat2
,dpy19l1,Gm12596
,pigv,Mob3b
,trim56,Slc35b3
,lrit2,Grhpr
,epop,Ankrd46
,kcns3,Smc4
,vwce,Hmgb1
,fmn1,Hsd17b13
,a830010m20rik,Gphb5
,fam19a2,Trib1
,nhlrc1,Ak2
,pced1b,Snrpc
,pcsk9,Lpp
,marveld1,Spg20
,snhg11,Trim2
,bc024139,Fnip2
,dsg2,Tmc7
,lingo4,Nnmt
,dnd1,Nfil3
,zbtb7c,Cp
,kcnj10,Lncpint
,defb1,Ahcy
,pwwp2a,Angptl4
,sft2d3,Rsrp1
,fzd5,Plekha5
,cirbp,Hs6st1
,fahd1,1810026B05Rik
,ttll13,Cd302
,spred2,Shld2
,wdr89,Tprkb
,sprn,4933425B07Rik
,mms22l,Asic5
,slc16a5,Vps13d
,zfp36l2,Iqch
,slc25a51,Gm7008
,igfals,Vwa8
,patl1,Adh4
,ai464131,1190007I07Rik
,stxbp6,Osbpl1a
,ermp1,Rpl36
,yod1,4933406D12Rik
,kcnk6,1810008I18Rik
,ar,Ttpa
,bdh1,Arrdc4
,ccdc66,Pcgf1
,atp10d,Hsd17b2
,hnf4aos,Snora20
,zbtb21,Nlrp6
,spsb4,Nat8f2
,x1700001c19rik,Hykk
,cdh19,Slc38a3
,cldn2,Shb
,gpr68,Clic4
,arl4a,Cyp3a13
,rnf152,Wwox
,fbxo30,Smad3
,trpt1,Smim18
,bc025446,Serpina1a
,samd9l,Suclg2
,fbxo40,Rnase13
,atg16l2,Slc25a17
,phf13,Kat2b
,cd300lf,Atoh8
,angptl8,Pxn
,stx19,Plcb1
,marcksl1,Hectd1
,col6a3,BC024386
,pdp2,Cd300lg
,fam171b,Rnf149
,ccdc57,1700018L02Rik
,fam212b,Gabarapl1
,jaml,Rab3gap2
,thnsl1,Nr0b2
,e130311k13rik,4930545H06Rik
,ccdc169,Taok3
,tmem53,Cpt2
,insc,Cpn2
,nr1h5,Trf
,themis,Akr1c14
,smcr8,Insig2
,rarres1,Malat1
,tmem241,Slc35d1
,aff4,Rab4a
,sall2,0610039K10Rik
,clip1,Fam151b
,orai1,Ppfibp1
,lig4,Pank1
,gal3st1,Cutc
,fzd4,Thrb
,fam161a,Reep6
,zfp697,Tmem38b
,vwa3b,Hlf
,eva1b,Mymx
,tmem220,Bloc1s4
,prag1,Saa1
,slc25a2,Scarb1
,ppp1r3g,Map7
,kcnb1,Bri3
,lrrc4c,Nfib
,fam78a,Ppp1r37
,ubald2,Art2b
,olfr164,Cyp3a25
,zfp940,Prune1
,p2ry10,Stat5b
,prkca,Lnx2
,adgb,Nectin1
,olfml1,Gbe1
,rpusd3,Kng1
,gen1,Zic1
,ppp1r37,Plekhh3
,cd14,Inhbc
,cbr1,1700063D05Rik
,irf2bp2,Fkbp5
,nlgn2,Gna12
,sox12,Pck1
,mest,45178
,sec31b,Nln
,btla,Jade1
,klf13,Cln8
,d630039a03rik,Psma1
,sema5b,Il6ra
,ankrd44,Ccdc141
,b630019k06rik,Slc29a1
,acot4,Wdr45b
,epha3,Slc16a12
,nav2,Zcwpw1
,robo2,Slc25a13
,pbx1,Cryl1
,a1cf,Nfia
,jun,Ces1d
,jam2,Ackr2
,clec12a,Ppargc1a
,x9030619p08rik,Mup22
,bcl3,Slc19a2
,slamf8,Birc6
,hhipl2,Als2
,kdm3a,Lyst
,tanc2,Glyat
,rpia,Txnip
,nudcd3,Ahctf1
,sh2d4a,4833422C13Rik
,mat2a,Colec12
,skida1,Hopx
,syne3,Pcx
,sytl5,Tmem17
,tmem62,Ostm1
,mmrn1,Cyp2a5
,pm20d2,Nr2f6
,rnd1,Mesp1
,dsp,Gm15441
,klhl5,Setdb2
,commd5,Slc3a1
,rab39,Gpx1
,arntl,Polr2b
,ntrk2,Sdr42e1
,them7,Tnfrsf8
,tead1,Ip6k2
,tns1,Nrbf2
,epm2a,Sem1
,lair1,Gsta3
,spink5,Hnrnpa3
,klhl26,4833411C07Rik
,abcd2,Inpp4a
,izumo4,Nrp1
,per2,Slc22a16
,gm9989,Sc5d
,st3gal5,Atl2
,ai504432,Ldlr
,ncoa4,Gaa
,tgoln1,Hexim1
,med12l,Cpox
,chd9,Slc25a33
,them6,Tox
,prelid2,Rad54l2
,a730036i17rik,Osgin1
,nfil3,Dapk1
,c330011m18rik,Fam227a
,gulp1,Homer2
,gjc3,Gabbr2
,ces1d,Got1
,ero1lb,Slc33a1
,lepr,Psenen
,olfr541,Slc13a4
,smco4,44987
,idi1,Spsb4
,rrp1b,Plk3
,igf1os,Ccdc93
,frem1,Ifnk
,gm12715,Foxo3
,r74862,Gm46545
,eda,Map4k3
,rcan3,Arhgap29
,flot1,Atf6
,kcnh7,Ttc23
,fdps,Sult1c2
,rgs3,Cmtm8
,atl2,Snord104
,dbp,Nucks1
,mug1,Mfsd4b1
,atp8b4,Gm16090
,slc35e3,Gcnt2
,cend1,Papss2
,zfp937,Thrsp
,trim5,Man1a
,irak2,Ephx2
,tor3a,Szrd1
,tnfrsf19,F11
,ipmk,Adipor2
,intu,Nr1h4
,gstp1,Rnf169
,serpina6,Grb14
,csmd1,Dsc2
,tmem263,Fra10ac1
,fnip2,Susd6
,sfmbt2,Bphl
,taok3,Arid4a
,cxcl12,Cyp2e1
,zfp873,Kynu
,cracr2a,Lrp1
,hipk2,Aurkb
,sec22c,4930594M22Rik
,ksr2,Hnrnpa0
,akap6,Tmem56
,mdc1,Gm11266
,kalrn,Optn
,ccdc62,Lsm2
,ssbp3,Ap3m1
,abca14,Aqp9
,obp2a,Xdh
,hsd3b3,Pid1
,fabp4,Chd7
,tlr12,C730002L08Rik
,cys1,Dlgap1
,ei24,Gm26684
,csprs,Ccdc172
,parp10,Agtr1a
,usp31,Zfp445
,tmed5,Ccdc169
,ddo,Sall1
,plppr1,Inhbe
,d630045j12rik,9430083A17Rik
,slc22a28,Serpina1e
,hsd3b2,Khk
,chd4,Trp63
,srrm4,Hes1
,cyp4a32,Itm2b
,nr6a1,Rabep1
,vrk2,Mir6715
,paqr9,Bcar3
,plcxd1,Gpam
,c330021f23rik,Ugt1a6b
,cyp4a12a,4933440J02Rik
,cyp4a10,Slc26a1
,mup21,Tmem131l
,pomgnt2,4930429D17Rik
,rtp3,Asb13
,gm16551,Ech1
,hmcn1,Ier2
,rps12.ps3,Dock1
,nipal1,Abca1
,capn6,Dpys
,slc22a27,Klhdc7a
,zfp760,Zc3h4
,cenpm,Mlxipl
,zfp442,Dpyd
,lgals1,Chd2
,amn1,Adh6-ps1
,nat8f4,Slc25a15
,chrac1,Akap13
,gm4841,Mup15
,sort1,Nr2f2
,selenbp2,Slc25a25
,msto1,2810013P06Rik
,zfp619,Eef1a1
,zbtb10,Hhex
,rdh16,Plg
,pex11g,Iqgap2
,cacng7,Zfp36l2
,irgm2,Minpp1
,x9930111j21rik1,Itih2
,hba.a1,Slc17a3
,x3000002c10rik,Mtch2
,mpzl3,Apobec1
,x4930581f22rik,Btg1
,prok1,Dnajb4
,etnk2,Mup1
,ren1,6820431F20Rik
,x1700029j07rik,Col19a1
,setdb2,Stim2
,map3k5,Cntrl
,hpcal1,Tymp
,csf2rb,Gltpd2
,mcc,Lima1
,fam84b,Erlin1
,lyrm9,Ppp1r10
,plac9b,Fam214a
,gm10044,Hnrnpl
,serpina1e,Ch25h
,acot1,Trp53inp1
,gm10447,Cfap54
,xlr3b,Srp14
,x5031425e22rik,Ldha
,x1810058i24rik,Atf7ip
,zfp449,Shld1
,h2.q6,Lims2
,h2.ab1,Tmbim6
,eme2,Rab32
,pnldc1,Zfp395
,fbxo36,Ivns1abp
,mup14,Tor1aip1
,mup11,Adhfe1
,mup7,Dpep2
,osgin1,Gpt
,fam169b,H2-Q10
,gm6658,Slc22a6
,adh1,Npc1
,gm10643,Pipox
,gm10644,Leprot
,zfp94,Pik3r1
,gm15441,Cacna1h
,gm10699,Acsm1
,zfp872,Irak2
,gm14296,Anks4b
,ankub1,Dlat
,gm826,Vmp1
,zfp950,Hjv
,thbd,Lifr
,arrdc3,Rtkn
,gas2l3,Otulin
,gm10762,Bcl3
,itpripl1,Apoc1
,slc22a29,Tmprss4
,znhit2,Arrdc3
,fign,Rgs8
,x1700001l05rik,Chdh
,cyp2d37.ps,Slc17a2
,urad,Fdx1
,x6330403l08rik,Pbld1
,klhdc7a,S1pr1
,raet1d,Dapk2
,cfap74,Fem1a
,cyp4a12b,Dido1
,x1810010h24rik,Gm10451
,g6pc,Steap4
,mup20,Zfp809
,mup18,Id2
,mup16,Cbs
,mup10,Gm28856
,mup1,Gm20337
,mup9,Mcl1
,gm5150,Mga
,igtp,Csrp2
,gm14322,A330041J22Rik
,gm14418,Cacna1d
,gm14305,Gtf2a2
,cpt1b,Gm7854
,slc45a4,Gm1968
,prnp,Hivep2
,prox1os,Sh3bp5
,xirp1,Sirt3
,x2310009b15rik,Gm19345
,clec7a,Plekha8
,st6galnac4,E230029C05Rik
,utp14b,Abca8b
,nat8f6,Slx1b
,h2.q1,Snx13
,tmsb10,Gm16548
,h2.dmb1,Tyms-ps
,tmem243,Thap2
,gm13573,Farsb
,gm25776,Epha2
,gm11252,Slco1b2
,gm13880,Fbxl17
,gm14373,Lipa
,hmgb1.ps3,Derl1
,gm15369,Srd5a1
,gm14335,Cyp4v3
,gm15746,Wdr89
,btc,Dot1l
,gm15374,Mir1943
,gm15371,Setd4
,gm7816,Rtn1
,gm15376,Acad11
,gm13502,Kpna2
,gm7599,Zfp653
,gm11340,Tada2a
,gm15375,Plcxd2
,gm15550,Mindy2
,gm2568,Cyth1
,x5830444b04rik,Camk1d
,c630043f03rik,Ndufa6
,gm15611,Adamtsl5
,gm11789,Cnst
,rapgef4os2,Cidec
,x2810455o05rik,Lpcat3
,egfros,Dbp
,gm11423,Hnf1b
,bc028777,Lrpprc
,snhg3,Azgp1
,gm15965,Rbpms2
,x4833418n02rik,Acbd5
,gm16348,Slc6a13
,gm15343,Gata4
,x4930412c18rik,Yeats4
,a730017l22rik,Herc4
,gm13449,Ints3
,a330035p11rik,Ankrd28
,gm15163,Gm5643
,zfp703,Mir365-2
,cd63.ps,Morc3
,gm2788,0610040J01Rik
,gm15318,Wrnip1
,wipf3,Pitpnm2os1
,gm12354,Comt
,gm15328,Ostf1
,x9030622o22rik,Prelp
,srrm4os,Sdha
,rapgef4os3,Bbox1
,gm12840,Ell2
,gm15408,Fam181a
,gm16157,Ablim3
,x2810403d21rik,Cadm1
,gm15743,Gck
,gm11827,2010106C02Rik
,b230206h07rik,Hacl1
,snhg20,Wdr26
,gm15956,Setmar
,x4930481a15rik,Itpr1
,x2610027k06rik,Sec14l2
,gm13387,Hadh
,ai662270,Ces2d-ps
,gm15545,Ggcx
,e130307a14rik,Gm16157
,gm15261,Ugt1a5
,e030042o20rik,Rbfox2
,e230016m11rik,Arhgef3
,x1810021b22rik,Xkr9
,bc065397,Slc16a10
,gm11752,Lrrc74a
,gm11266,Gm35986
,zmiz1os1,Ppp1r15b
,gm16576,Gfra1
,x1500017e21rik,Dmrt1
,zfp111,Cnot1
,gm11773,C8a
,x1200007c13rik,Tm4sf4
,gm16291,Pop7
,gm16559,Bpgm
,ugt1a8,Tex2
,tgfbr3l,1700113H08Rik
,x3632454l22rik,Agtpbp1
,gm15950,Insr
,gm8113,4930524O05Rik
,ugt1a5,Kansl1
,ugt1a7c,Lrp5
,ugt1a10,Sec14l4
,ugt1a2,Lasp1
,x4930524o07rik,Mllt10
,adh6.ps1,Pde4b
,x4933411k16rik,Tnfrsf1b
,gm17024,Cyp3a59
,gm765,Dtx4
,gm17300,Trafd1
,phf11c,Tmco4
,gm19840,Gm2061
,smim13,Tbc1d1
,gcnt4,Angptl3
,gm17167,Ppm1b
,cyp4f17,1700045H11Rik
,ces2h,Sik3
,gm8251,Mical3
,cyp2a22,Trim24
,b930036n10rik,Pdhb
,bc049352,Cyp4a32
,gbp11,A730008H23Rik
,serpina4.ps1,Gm21119
,gm17907,Gm44805
,gm20632,4930431P22Rik
,prox2os,Hadha
,hmgcs1,Rnf217
,gm21967,Mgst1
,purb,Eif4b
,fsbp,Mlf2
,gm14403,Them4
,mup12,Sertad1
,gm22614,C730036E19Rik
,e030018b13rik,Zfp36l1
,gm25890,Apoa2
,dynlt1f,Fahd1
,tes3.ps,Ugt2b36
,smlr1,Fn1
,mup15,Zfp239
,mup17,Slc35g1
,psmb9,C2cd2
,cyp2d12,Pomt1
,gm21816,Pttg1ip
,gm26546,Zdhhc16
,gdap10,Dexi
,gm26860,Cnn3
,x9430037g07rik,Tbcc
,c330013e15rik,Zfp385b
,x9330111n05rik,Serpind1
,d130020l05rik,Sorbs3
,a530020g20rik,Pla2g6
,gm10524,Gm5627
,cep83os,Dpp9
,x1010001n08rik,Cdk12
,gm16907,Rere
,d130017n08rik,Rai14
,gm26835,Plin4
,a930038b10rik,Eif4g1
,gm26871,Tgif1
,x1700007l15rik,Mir8110
,x1700028e10rik,Tram2
,gm16793,Mkln1os
,gm26719,Rassf5
,gm26744,Hpgd
,gm8941,Ucma
,gm26782,Ern1
,gm26584,Ebpl
,gm26642,Serpina1c
,x4732463b04rik,Mgat4c
,gm26809,Ces2a
,gm26856,Sorbs1
,lppos,Dusp1
,a130014a01rik,Acap2
,gm26981,D6Wsu163e
,gm7909,Mfsd7a
,sowahc,Spen
,gm27043,Stk40
,gtpbp4.ps1,P2ry1
,obox4.ps2,Tuba4a
,x0610031o16rik,Nt5c3
,obox4.ps3,Bcl2l14
,gm28836,Zfp655
,gm18301,Marcks
,gm8883,Gm7550
,x2810402e24rik,Dcps
,x1700018l02rik,Fmo1
,x2310034o05rik,Slc25a39
,x1810053b23rik,Ino80c
,vmn1r90,Asgr1
,gm29666,Agt
,gm28875,Asl
,gm28818,Setd1b
,gm5524,Arpc2
,x4732465j04rik,Areg
,gm29571,Pgpep1
,gm29562,Junb
,k230010j24rik,Fam76a
,gm20257,Scarna17
,c730036e19rik,Raph1
,c230085n15rik,Usp6nl
,x9430053o09rik,Sepsecs
,gm38345,Asgr2
,a430110c17rik,Snrk
,gm37465,Cyp2d10
,pcdhga12,N4bp2l1
,gm37370,Samd8
,gm38340,Mir6244
,d930036k23rik,Cyp8b1
,gm38377,Tdrd7
,naaladl2,Pzp
,c130023a14rik,Trak1
,gm37084,6430550D23Rik
,gm3807,Acox2
,gm37946,Smap2
,gm37349,Mep1b
,gm20236,Tubd1
,gm37978,BC031181
,gm37729,Mafg
,gm37159,Retreg1
,gm38091,Apoe
,gm38357,Srsf1
,gm37403,C9orf72
,gm37402,Elovl5
,gm38303,Ank3
,gm38001,Mrnip
,gm37666,Map2k6
,gm38070,Hacd3
,gm37768,Lpar6
,gm37072,Apba3
,gm37094,Slc16a7
,gm37651,Fam169b
,gm37060,Fndc3a
,gm37940,Ang
,gm38071,Meiob
,x5330406m23rik,Ap1m1
,gm38129,Ugt2b35
,gm38248,Prodh
,ighd,Tagln
,gm36638.1,2310043O21Rik
,gm37174,Ly86
,gm38283,Mir6411
,c130089k02rik,Derl2
,gm37034,Rad51b
,gm38010,Mir3970
,gm37163,Mgat1
,gm43314,Ppp4r3a
,gm43022,Phlda1
,b230334c09rik,Mir680-3
,gm35570,Gtf2a1
,gm31121,2310001H17Rik
,gm42944,Hsp90ab1
,gm19104,Mir1931
,gm43504,Atrn
,gm43075,Pou5f1-rs4
,gm42796,Rfx4
,gm42427,Mug1
,gm42428,0610009B22Rik
,rpl36a.ps2,Mars
,gm42615,Usp3
,gm43328,1700007F19Rik
,gm43305,Gm13133
,gm43605,Lepr
,gm43292,Cdk3
,gm35986,Bcar1
,a230001m10rik,Cirbp
,gm43189,Pdia5
,gm43611,Ndufb3
,gm43609,Sugp2
,gm43072,Gm4956
,gm43081,Fchsd2
,gm42987,Hsf2
,gm19409,AI314278
,gm7652,Naa80
,gm21049,Mafb
,gm42508,Slc22a7
,gm43750,Tmcc1
,gm43042,Ap5s1
,gm43795,Uqcc1
,gm43792,Tuba1b
,gm20559,Mpc1
,x5930430l01rik,Rhobtb1
,gm42715,Proc
,gm42867,Pcsk1
,gm43588,Aldh4a1
,gm44244,Wbp2
,e330037g11rik,Slco2b1
,gm44104,B2m
,gm44005,Cebpa
,gm44044,Prox1
,gm44321,Crls1
,gm44401,Afmid
,gm44086,Cyp2c23
,gm18609,Pard3
,gm43999,E130102H24Rik
,x9330102e08rik,Pacsin2
,ac132412.1,Nxph4
,gm44243,Atg5
,x1810059h22rik,Ehmt1
,gm45053,Park7
,gm45206,Angptl8
,gm45025,Dennd5b
,gm44639,Dio3os
,particl,1700083H02Rik
,gm44787,Sos2
,ac154141.1,Met
,gm45792,Arhgap23
,gm45221,Cth
,x2210406h18rik,Hmx1
,gm19950,Pnrc1
,gm44888,Zmynd8
,gm44873,Uvrag
,gm44669,AA388235
,gm44570,Habp4
,x4930513n20rik,Pde3b
,gm44744,Rspry1
,gm45220,Ddc
,gm45223,Mir12180
,gm4756,Saxo1
,gm45222,Nt5c2
,gm45597,Sp3
,bc024386,Abhd14a
,gm35315,Dstn
,gm45338,Dst
,e330011o21rik,Echdc2
,gm45819,Mt1
,gm45254,Pyroxd2
,gm45526,Acat3
,gm45435,Got2
,gm45293,Ccs
,gm45424,Bhmt2
,gm45301,Hpx
,gm42031,Pcdh20
,gm45724,Spin1
,gm45909,Dpf2
,gm45776,Crebl2
,gm45774,Eif1
,gm7807,Mettl7a3
,gm45731,Ext1
,ac079245.1,Haao
,ac122326.1,6430706D22Rik
,ac171277.1,Dnajc12
,ac151730.1,Gpr182
,ac159886.2,Zfp970
,ac125374.3,Gm826
,ac098716.1,Shc1
,ac159810.1,Cdo1
,ac153524.1,1300017J02Rik
,ac153821.1,Nsd1
,ac135641.1,Trcg1
,ac117236.1,Mpc2
,ac153517.1,Sgk2
,ac125041.3,Ppp2r5e
,ac153547.1,Tsku
,ac172027.3,Tie1
,ac174776.1,Gckr
,ac155941.4,Hist1h1c
,al645643.1,Ece1
,ac141642.1,Csrp3
,ac120347.1,Adgrl2
,ac117226.2,4922502H24Rik
,ac159193.4,Cela3a
,ac133934.1,Zcchc2
,ac152827.1,Gm16551
,ac122828.2,Fbp1
,ac162181.1,Serpina6
,ct010575.3,AI182371
,ct010460.1,2310005A03Rik
,ct009757.4,Gm14327
,ct010460.2,Bach2os
,ct030159.2,Ero1lb
,ac124426.4,Pqlc1
,ac156569.1,B4galt5
,ct009757.7,Klb
,,Fh1
,,Sephs2
,,Zfp217
,,Lap3
,,Pacsin1
,,Gm17359
,,Bhlhe41
,,Lrig2
,,Spata13
,,Cyp2a12
,,Zfp825
,,Nup54
,,Abcc6
,,Mup13
,,A1cf
,,Stat6
,,Cxcl10
,,Tedc2
,,Col14a1
,,Tmem136
,,Cxcr1
,,Apoc3
,,Pgap1
,,Trp53inp2
,,Xpo7
,,Plxnb2
,,Arf1
,,Synj2
,,Shfl
,,Ctnnd1
,,Mir6376
,,Jph4
,,Nadk2
,,Rnd1
,,Cks2
,,Ndst1
,,Abhd5
,,Cgn
,,Cpb2
,,Smim13
,,Inmt
,,Tnks2
,,3930402G23Rik
,,Tle3
,,Retsat
,,Rhoa
,,Zfp1
,,Abhd6
,,Stard4
,,Pnkd
,,Eif4g3
,,Ipmk
,,Gramd3
,,Rhof
,,Klhl25
,,Lactb2
,,Kcnt2
,,Rbms1
,,Plekha4
,,Slc2a5
,,Ces1c
,,Stard13
,,Gpr146
,,Fabp12
,,Hnf1a
,,Adam2
,,Gde1
,,Numb
,,Naca
,,Lgals9
,,Gm15908
,,Tgoln2
,,Gstm7
,,Slc25a10
,,Ssr1
,,0610030E20Rik
,,Gm32141
,,Sox5
,,Tnrc18
,,Cs
,,Hnrnpu
,,Creld2
,,Wasl
,,Gemin2
,,Marveld3
,,Aff4
,,Snai2
,,Tmem220
,,Dhx33
,,Rmdn1
,,Wdr18
,,Glud1
,,Ehhadh
,,Rad23a
,,Aldh8a1
,,Crcp
,,Tdo2
,,Hist1h2bc
,,C230037L18Rik
,,Arl4d
,,Pbrm1
,,Mbnl2
,,1700016G22Rik
,,Rhbdd2
,,Siah2
,,Nudt12
,,Gdf15
,,Ifi47
,,Foxn3
,,Gm2011
,,Afm
,,Hacd2
,,Carhsp1
,,Rbm39
,,Ypel2
,,Ces3b
,,9130230L23Rik
,,Gm10007
,,Sgo1
,,Cyp2d11
,,Mink1
,,Hsd3b3
,,Tbcel
,,Fam13a
,,4933411K16Rik
,,Pycrl
,,Dazl
,,Lmln
,,Selenot
,,Cald1
,,Dmrt1i
,,Sec16b
,,Chd9
,,Gm32511
,,Ptprj
,,Smg6
,,Cdc42bpb
,,Apoc2
,,Xpot
,,2210417A02Rik
,,Qsox1
,,A230028O05Rik
,,Aldh2
,,6430710C18Rik
,,Slc20a2
,,Ccdc38
,,Fggy
,,Etohd2
,,2900026A02Rik
,,Slc17a1
,,Gm20383
,,Cldn3
,,Prr16
,,Mir22hg
,,Gm16573
,,Ino80e
,,Gm16062
,,Lrig1
,,Zfp219
,,Secisbp2l
,,Spg7
,,Adck5
,,Gcat
,,Ctif
,,Gcgr
,,Grsf1
,,Acp1
,,Ppargc1b
,,Afap1l1
,,Grk2
,,Ficd
,,Depp1
,,Cys1
,,Cacul1
,,Col28a1
,,C8b
,,Nudt9
,,Fcgr3
,,Copg1
,,Sumo3
,,Ccng2
,,1600020E01Rik
,,Baiap2
,,Rcan1
,,Iah1
,,Eef2
,,Foxp1
,,Edem1
,,Fabp2
,,Upf1
,,Ralgapa2
,,Ung
,,Fam160b1
,,4933406I18Rik
,,Slc27a5
,,Gns
,,Fmo5
,,Sfxn1
,,Gm3776
,,Mir193a
,,A330035P11Rik
,,Gm10030
,,Serpina1d
,,Gm15713
,,Sbk1
,,Lrrc58
,,Platr4
,,Sgpl1
,,Nolc1
,,Clvs1
,,Pcdh1
,,Papss1
,,9330133O14Rik
,,Plscr2
,,Fetub
,,Esd
,,Morf4l1-ps1
,,Cyb5r1
,,Ndrg2
,,Bdh1
,,C1ra
,,Snx24
,,Ccdc25
,,Tmem250-ps
,,5033403H07Rik
,,Ugt1a10
,,Bcr
,,Nostrin
,,Psen2
,,Kyat3
,,Apoh
,,Proser2
,,Cpn1
,,1110002J07Rik
,,Sec31a
,,Syt15
,,Plpbp
,,Wdr62
,,Fabp1
,,Hook3
,,Cab39l
,,Dazap1
,,Mynn
,,Lgsn
,,BC005537
,,Gm16291
,,Selenbp2
,,1700101I11Rik
,,Grem2
,,Ndufa8
,,Fam222b
,,Kcnk16
,,Fam25c
,,Efcab5
,,Slc7a15
,,Mup19
,,Mindy4
,,Med28
,,Uqcrq
,,Eif4ebp3
,,Pigu
,,Picalm
,,Cdh2
,,Fxyd1
,,Raf1
,,P4hb
,,Fry
,,Zyg11a
,,Cep85l
,,Tns2
,,Dapk3
,,Birc5
,,C730014E05Rik
,,Dlc1
,,Lgals8
,,Taf1a
,,B3galt1
,,1700102P08Rik
,,Gm5532
,,Mrto4
,,Znfx1
,,Bhlhe40
,,Syt6
,,Snd1
,,Runx1
,,Mir5123
,,Tbl1xr1
,,Klrb1
,,Trim72
,,Mamdc2
,,Kbtbd12
,,Reep3
,,Paqr9
,,Vegfa
,,Actr8
,,Myh9
,,Gpatch3
,,C77080
,,Rdh1
,,Sash1
,,Cnppd1
,,Daam1
,,9430078K24Rik
,,Hif1a
,,Mnd1-ps
,,Gm11149
,,Pcsk9
,,Upf2
,,Lncppara
,,Snora26
,,Atp13a3
,,Hnrnpll
,,Fam13b
,,4930503O07Rik
,,Irf1
,,Gm16907
,,Fst
,,Stbd1
,,Klf11
,,Gm3219
,,Gmcl1
,,Hsd17b6
,,Plekha6
,,Gm8883
,,Kif13b
,,Mab21l3
,,Bcl2l1
,,Akr1d1
,,4930547E08Rik
,,Parp16
,,Fbxo21
,,Ggnbp2os
,,Hfe
,,Pdlim1
,,Aars
,,Slc22a15
,,Ston2
,,Kdm6b
,,Slc2a9
,,Cxcl1
,,Proz
,,Lin37
,,Smlr1
,,Mpzl2
,,Gtpbp2
,,Rora
,,Exph5
,,Chrdl2
,,Kyat1
,,5830454E08Rik
,,Epb41
,,Acy3
,,Gm13490
,,Zmiz1
,,Col15a1
,,Sh3bgrl3
,,Sds
,,Sf1
,,Sall3
,,Acat1
,,Arhgap18
,,Qprt
,,Ntf3
,,Txnl4a
,,Txn2
,,Gnpda1
,,4930522P08Rik
,,Nrn1
,,Ppp2r5b
,,Mansc1
,,Myo7a
,,Rmc1
,,Hist2h2bb
,,Retreg3
,,B330016D10Rik
,,Slc25a37
,,Cblb
,,Cers2
,,Prlr
,,Slc30a5
,,1700020M21Rik
,,Cldn1
,,Slc25a23
,,Stom
,,Gm20758
,,Scara5
,,Cped1
,,Hdc
,,Larp4b
,,Cfhr2
,,Leap2
,,Iffo2
,,Oca2
,,Gsk3a
,,Caprin1
,,2810471M01Rik
,,Pde8a
,,Ugt2b1
,,Nek4
,,Ldah
,,Mir12201
,,Cdpf1
,,Artn
,,Sort1
,,Acox1
,,Xbp1
,,Zfp207
,,Ctsb
,,Adtrp
,,Ptrh2
,,Armc1
,,Elavl1
,,Pitpnc1
,,Prkag3
,,Cbx8
,,Zhx3
,,Gm10319
,,Gm11437
,,Mttp
,,Srsf4
,,Rn45s
,,Srebf1
,,Fto
,,Txnrd2
,,Cyp7b1
,,Hrg
,,Ugp2
,,Rdh16
,,Hspa4
,,Fgfr2
,,Atp6v0e
,,4930433B08Rik
,,Ctcflos
,,E230016M11Rik
,,Dna2
,,Klf12
,,Ctla4
,,Gpr161
,,Creg1
,,Ceacam16
,,Ankrd40
,,Cdc26
,,Psmb7
,,Prmt2
,,Serpinf2
,,Rnf111
,,Adm
,,Eci1
,,Gdap2
,,Rnf125
,,Pdk2
,,C1rl
,,Slc45a2
,,Cd81
,,D630024D03Rik
,,Camk2n1
,,Tmem241
,,C6
,,Anapc5
,,Fads3
,,Marf1
,,44990
,,Foxk1
,,Dnajb12
,,Pim1
,,Akt2
,,Etv3
,,Gm17746
,,Gapdh
,,Luc7l2
,,Col4a3bp
,,C1qtnf3
,,Ireb2
,,Cfl1
,,Atg14
,,Prkag2
,,Mdm2
,,Adra1a
,,Mbd1
,,BC031361
,,Pik3c2g
,,Tspan9
,,Dop1b
,,1700021F05Rik
,,Sgip1
,,Ifitm3
,,Bag4
,,Mug-ps1
,,Lncenc1
,,Irs2
,,Hdhd3
,,Trim47
,,1700055D16Rik
,,Ranbp3
,,Slc35a5
,,Clic3
,,Phospho1
,,Snrpa1
,,Hspd1
,,Sf3b1
,,Hebp1
,,Pdzk1
,,Tm6sf2
,,Cyp2d26
,,Zc3h18
,,Pola2
,,Vars2
,,Pde4dip
,,Mirlet7b
,,Bach1
,,Sqstm1
,,Bccip
,,Zfp787
,,A430090L17Rik
,,Myom3
,,Myo6
,,Whamm
,,Pfkfb1
,,Cebpg
,,Ap1ar
,,Borcs5
,,Hmox1
,,Sesn2
