Proteomics,RNA,ChIP
eif4e2,rph3al,Stat5b
eif4ebp1,ctc1,Gadd45g
eif4enif1,ntn1,Cccd201
eif5a,acly,Ctif
eno1,pole2,Ttr
eno2,fut8,Ilrun
enpp4,dhrs7,Ak2
ephb2,glrx5,Abca13
epn2,slc10a1,1110015O18Rik
ercc6l,x9030617o03rik,Errfi1
ergic2,fbln5,Rdh16
ergic3,ifi27l2b,Dap
ext2,papln,Gpcpd1
extl2,acot3,Cyp4a32
extl3,fam161b,A530032D15Rik
fam204a,fos,Gm5424
fam20b,x0610007p14rik,Hnf4a
fam3a,tgfb3,Ubr4
fam3c,cyp46a1,Cisd1
fam69b,hhipl1,Acox1
fam84b,fdft1,Ten1
fau,tecpr2,Rsrp1
fdps,spin1,Trpm8
fkbp15,cep72,Dgat2
fkbp7,mctp1,Aass
fkrp,tert,Sp110
flcn,hapln1,Abcd3
flg2,cd180,Tns1
flnb,arhgef28,Wbp1l
flot1,fam107a,Chat
flot2,fst,Kcnk16
fnip1,rgr,Aldh1l1
fnip2,plau,Cyp2d9
foxm1,anxa11,Slc38a3
frg1,hacl1,Mpzl2
frrs1,sh3bp5,Fam32a
fth1,spata13,Mettl8
ftl,cnmd,Pmepa1
fuca1,scara5,Gm29669
fuca2,chrna2,Arsg
fut8,dpysl2,Gm7854
fyco1,pdlim2,0610040F04Rik
fyn,ednrb,Gm4262
fzd7,mbnl2,Tbc1d1
gaa,fyb,Brap
gabarapl1,c9,Scara5
gabarapl2,dab2,Zmiz1
galns,slc7a8,Naa16
galnt1,c6,Cyp17a1
galnt11,fitm1,Gm15638
galnt2,tgm1,Jun
galnt7,ankrd33b,Cbfa2t3
gap43,fam134b,Smim18
gapdh,ywhaz,Ttc39c
gars,slc30a8,Redrum
gba,myc,Ccdc12
gdap2,sqle,Apoc3
ggcx,fbxo32,Mir3075
ggh,gm29394,Sord
ggt7,tbc1d31,NA
gja1,asap1,Pomgnt2
gjc1,ttll8,Gm10354
gla,zc3h7b,Retsat
glb1,fam83f,Lpin2
glce,deptor,Atg7
glg1,sh3bp1,Cdh11
glmp,slc38a2,Vwa8
glo1,ciita,Sec24a
gm2a,bcl6,Slc6a9
gmpr2,nudt16l1,Eef1a1
gnai1,lynx1,Hnf1b
gnai2,mpv17l,Grhpr
gnai3,parn,Gm2447
gnb1,slc7a4,Dctpp1
gnb2,ncam2,Tob1
gnl1,osbpl11,Gm46545
gnl3l,umps,Apbb2
gns,itgb5,Ppargc1b
golga2,btg3,Mycl
golga3,robo1,Creb3l3
golga4,cd86,Ppp2r1b
golga5,arl13b,Slc38a4
golga7,dopey2,Dnmbp
golim4,setd4,Fbxo15
golm1,ifngr2,Bcl6
gorasp1,adcy6,Klf15
gorasp2,lmbr1l,Runx1
got1,asic1,Nr2c2ap
gpatch1,cox14,Hspb8
gpatch4,cela1,Lpcat3
gpc6,nr4a1,Vps26c
gpm6a,cdkn1a,Sirt3
gpr107,slc10a2,Rap2b
gpr137,sult1c2,Leprot
gprasp1,creld2,44986
gprc5b,acat2,Ttpa
gprc5c,sgol1,Angptl4
grb10,cyp39a1,Pik3c2g
grn,fbxl17,Phospho1
gss,nfya,Zpr1
gstp1,fgd2,Slco1a4
gstz1,tff3,Dtx4
gtpbp2,sik1,Loxl2
gusb,emilin2,Hps4
haus4,telo2,Gjb2
heg1,dusp1,Cyp2d22
herc2,thada,Mir203
hexa,slc39a6,Fto
hexb,myo1f,Klf3
hgs,dnajc18,Map3k20
hgsnat,stard4,Cblb
hint1,aqp4,1810026B05Rik
hist2h2ab,snx24,Rxra
hla-a,grpel2,Map3k5
hla-b,nedd4l,Elovl3
hla-dma,asrgl1,Trim25
hla-dmb,fads3,Snord64
hla-dpa1,keg1,Fh1
hla-dpb1,chka,Slc38a2
homer1,vldlr,Rbp4
homer2,rps6ka4,Ergic1
homer3,cyp2c39,Tns2
hoxb9,dclre1a,Insig1
hprt1,ablim1,Pctp
hpse,gfra1,AY761185
hras,fasn,4921525O09Rik
hs2st1,arhgap19,Adam24
hsp90aa5p,hoga1,Hmgcs2
hspa1a;hspa1b,got1,Clk1
hspa6,fyco1,Mfsd1
ibtk,ptprj,Btd
ica1,banp,Mir6237
ict1,rabgef1,1700017B05Rik
ifi30,pstpip2,A730056A06Rik
ifitm2,atp23,Atp6v0e
ifngr1,zfp511,P4hb
il6st,lmntd2,4930459L07Rik
impdh1,tmem80,Plxnb2
impdh2,pnpla2,Afmid
iqcb1,tspan4,Fgg
irak1,farp1,Cyb5a
irgq,tmc6,Ell2
itfg1,nat1,Cat
itih3,arhgef9,Apoa5
itm2b,slc25a10,Gramd3
itm2c,homer2,Ppp1r3g
jtb,fam20c,Cyp2d37-ps
jun,unc5a,Olfr43
katnb1,nrp2,Papss2
kct2,cps1,Abcb4
kiaa0196,slc40a1,Cd24a
kiaa0391,als2,Hilpda
kiaa0930,col3a1,Picalm
kiaa1033,ptp4a1,Tmed4
kiaa1143,il1r1,Mgst1
kiaa1467,stk17b,Zfp36l1
kiaa1549,inpp4a,Got1
kiaa2013,prim2,Ubc
kif14,atic,Ccdc93
kif16b,serpine2,Bphl
kif1a,ngef,Zbtb41
kif1b,gpr35,St3gal4
kif23,cln8,Rab10os
klhl13,acmsd,Ddc
krt1,rgs1,Gm9758
krt10,tfcp2l1,Rassf3
krt14,slc45a3,Nrbp2
krt16,mr1,Ahcy
krt2,rgs16,Ech1
krt5,desi2,Chrna2
krt6a;krt6c,fh1,4833411C07Rik
krt9,apcs,Rarres1
kxd1,nme7,H6pd
lamc1,atp1b1,Idh1
lamp1,ccdc181,Aldob
lamp2,esrrg,H2afy3
lamp3,slc30a10,Acacb
lamtor1,lpgat1,Slc24a1
lamtor2,fam107b,Rab12
lamtor3,frmd4a,Trak1
lamtor4,dusp12,Cd68
lamtor5,ccdc3,Crcp
laptm4a,mgst3,Fkbp8
lchn,fmo3,Txnip
ldhb,fmo4,Sdc1
ldlr,vim,Sephs2
lgals3bp,itga8,Mir101c
lgmn,il2ra,Gm5458
lipa,fam129b,Lrrc4c
litaf,slc25a25,Fgf14
lmbrd1,lcn2,Mrgprd
lmbrd2,cytip,Gm45871
lmtk2,upp2,Igf1
lnpep,kynu,Ly6c2
loh12cr1,zeb2,Irf2bp2
lrig1,ly75,1700120C14Rik
lrp6,frzb,Chd1l
ltf,cers6,Herpud1
m6pr,p2rx3,Gm14496
man1a1,phospho2,Tacc2
man1a2,itga6,Cyp2d40
man1b1,prrg4,Timm21
man2a1,tcp11l1,4931408D14Rik
man2b1,ell3,Gpr19
manba,chac1,Sdc4
manea,slc23a2,Alb
map1lc3b2;map1lc3b,rasgrp1,Shroom1
map2k7,fam98b,Klf9
map7,mcm8,Usp40
map7d3,hdc,Mir29b-1
map9,nphp1,Hjurp
mat2a,bcl2l11,Myom1
maz,ttl,Mir21a
mblac2,il1b,Gm30173
mcmbp,slc52a3,Adam24
mcph1,rbck1,Mup3
mef2bnb,fam209,Tbcb
mfge8,chmp4c,Baat
mfsd1,chrna4,Ccdc12
mfsd12,acss2,A630001O12Rik
mfsd8,epb41l1,BB123696
mgat1,skil,D630033O11Rik
mgat2,pld1,Cd28
mgrn1,nceh1,Reg4
micall1,ect2,Dgat2
mif,smad9,Slc2a2
mios,tm4sf1,Acaa2
mitd1,tsc22d2,Mir12196
mitf,x4930579g24rik,Glt1d1
mlst8,dennd2d,Slc12a3
mmtag2,pmvk,Enpp6
mogs,sass6,Rdh7
mon1b,pla2g12a,Selenop
mospd2,lrat,Nedd4l
mprip,asic5,Pigyl
mpzl1,tdo2,4921525O09Rik
mri1,hcn3,0610031O16Rik
mrpl52,fmo5,Cemip
mtap,chd1l,Hyi
mtor,tmem56,G630071F17Rik
mtpn,rorc,Mcm10
myo6,dapp1,Zfp46
naa15,cth,Nr1i2
naga,adgrl2,Helt
naglu,trp53inp1,Upp2
nagpa,atp6v0d2,Cat
napa,cyp7a1,Gm19510
napg,lmo4,Nsmce3
nbas,epha7,Cobll1
nbr1,x3110043o21rik,Slc25a47
nckipsd,col15a1,Ostc
ncstn,nr4a3,Mat1a
ndfip2,fmn2,Ptp4a1
ndrg1,zfp618,Slc27a2
ndufs1,hsdl2,Plin2
neo1,mpdz,Acnat2
net1,kif24,Uox
neu1,nudt2,Tns1
nfkbie,plin2,Snrnp70
nfx1,hacd4,Gm13363
nhlrc3,plpp3,Mir122
nid1,x2610528j11rik,Igfbp1
nifk,tnfrsf1b,Slc45a1
nisch,podn,Cyp2d13
nkap,cpt2,0610040F04Rik
nop14,svbp,Tmem50a
npc1,pik3r3,Vwa3b
npc2,cyp4a31,St3gal4
nsf,cyp4a14,Cpt1a
nsun5,cda,1700052I22Rik
nucb1,ak2,Abcg8
nucb2,sfpq,Phf12
nudcd2,extl1,4933431G14Rik
nudt1,gpn2,Pik3ap1
nufip1,map3k6,Slc7a2
nutf2,rpa2,Gc
or4d1,xrcc2,Crot
osbp,per3,Gys2
osbpl11,slc2a5,Apoa1
osbpl1a,casz1,Adcy9
osbpl9,slc25a33,Igfbp4
ostm1,fam126a,4921511C10Rik
p2rx4,fbxo44,Ppara
pabpc3,mthfr,Acaa1b
pacsin3,ski,Amy1
pam,kcnip4,Grb2
parp2,sorcs2,4930581F22Rik
pck2,ablim2,Clu
pcyox1,rgs12,Abcc2
pcyt1a,add1,Smyd1
pdcd4,pcdh7,Gpat4
pdcd7,evc,Cpeb2
pde4dip,fosl2,Fbxo31
pebp1,ppargc1a,Klf15
pes1,anapc4,Foxq1
pex1,klb,Aip
pex11b,rhoh,Sucnr1
pgam5,lnx1,Irf2
phf6,clock,Mettl7b
phf8,paics,Ddit3
phpt1,stap1,Bach2
pi4k2a,sult1e1,Cog6
pi4k2b,sult1d1,Ppp1r3g
pik3c3,aff1,Myo18a
pinx1,ccng2,Ubr4
pir,naaa,E030018B13Rik
pitpnb,cxcl9,Cfap100
pitx1,hpd,Cisd1
pla2g15,atp2a2,Hpd
pla2g7,aacs,Serpinc1
plbd2,x2210016l21rik,Pisd-ps1
pld1,mmab,Adk
pld3,rbm19,Ttc39c
plekha3,sdsl,Fah
plekhm2,flt1,BC034090
plod3,col1a2,Coq8a
plscr1,aass,Mrps18b
pm20d2,pcolce,Sar1b
podxl,ppp1r35,Lmod3
podxl2,plxna4,Slc38a4
polr1a,ahcyl2,Mtmr7
polr1b,adcyap1r1,Mocs2
polr2f,trim24,Brap
ppa1,epha1,Brca1
ppat,mad2l1,Umps
ppcs,kbtbd8,Gm2447
ppp6r2,pole4,Phyh
ppt1,nup210,Rpl19
ppt2,slc6a6,Igfbp2
prc1,usp18,Pfkfb3
prcp,tuba8,Errfi1
prkar1a,clec4d,Slc22a23
proser2,klrk1,Eif1a
prps2,wnt5b,Ahsg
psap,etv6,Gnmt
psat1,bcl2l14,Egfr
psen1,fam234b,Mup11
psen2,slco1a4,Abca6
ptgfrn,sspn,Fam20a
ptpn18,atp2b2,Gne
ptprj,caprin2,Tcim
ptprs,tamm41,Ptpn1
pttg1ip,csrp3,Ocln
pum2,cyp2b10,Sult1a1
pzp,kctd15,Lurap1l
qpctl,nr2f2,Cyp2d9
qprt,synm,Fga
qsox2,ttc23,Nadk
rab11fip2,zfp626,Nploc4
rab11fip5,det1,Stard10
rab12,rab30,Gm20110
rab14,dnajb13,Rnf144b
rab1a,cd19,Mtss1
rab1b,gm9755,Mapkapk2
rab21,myh14,Wbp1l
rab22a,aqp8,Mad1l1
rab27a,lcmt1,Lipg
rab2a,disp1,Cyp2d37-ps
rab2b,micalcl,Fgd6
rab33b,pak1,Chd3
rab34,itgam,Insig1
rab39a,adm,Gm13056
rab39b,tead2,A530013C23Rik
rab4a,bcat2,Furin
rab5b,tacc2,Cyp2c70
rab6a,chp2,Ubc
rab7a,gga2,Mustn1
rab9a,dnhd1,Mup16
rab9b,crym,Scp2
racgap1,anks4b,Galntl5
rad23a,acsm5,9030616G12Rik
rala,wee1,Chic2
