"Name","Formula","Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] 01_pos_032823_066,[Mass] 02_pos_032823_071,[Mass] 03_pos_032823_084,[Mass] 04_pos_032823_085,[Mass] 05_pos_032823_074,[Mass] 06_pos_032823_082,[Mass] 07_pos_032823_080,[Mass] 08_pos_032823_088,[Mass] 09_pos_032823_093,[Mass] 10_pos_032823_090,[Mass] 11_pos_032823_064,[Mass] 12_pos_032823_075,[Mass] 13_pos_032823_072,[Mass] 14_pos_032823_092,[Mass] 15_pos_032823_091,[Mass] 16_pos_032823_077,[Mass] 17_pos_032823_063,[Mass] 18_pos_032823_065,[Mass] 19_pos_032823_089,[Mass] 20_pos_032823_081,[Mass] 21_pos_032823_067,[Mass] 22_pos_032823_068,[Mass] ISB_pos_032823_076,[Mass] PB_pos_032823_073,[RT] 01_pos_032823_066,[RT] 02_pos_032823_071,[RT] 03_pos_032823_084,[RT] 04_pos_032823_085,[RT] 05_pos_032823_074,[RT] 06_pos_032823_082,[RT] 07_pos_032823_080,[RT] 08_pos_032823_088,[RT] 09_pos_032823_093,[RT] 10_pos_032823_090,[RT] 11_pos_032823_064,[RT] 12_pos_032823_075,[RT] 13_pos_032823_072,[RT] 14_pos_032823_092,[RT] 15_pos_032823_091,[RT] 16_pos_032823_077,[RT] 17_pos_032823_063,[RT] 18_pos_032823_065,[RT] 19_pos_032823_089,[RT] 20_pos_032823_081,[RT] 21_pos_032823_067,[RT] 22_pos_032823_068,[RT] ISB_pos_032823_076,[RT] PB_pos_032823_073,[Height] 01_pos_032823_066,[Height] 02_pos_032823_071,[Height] 03_pos_032823_084,[Height] 04_pos_032823_085,[Height] 05_pos_032823_074,[Height] 06_pos_032823_082,[Height] 07_pos_032823_080,[Height] 08_pos_032823_088,[Height] 09_pos_032823_093,[Height] 10_pos_032823_090,[Height] 11_pos_032823_064,[Height] 12_pos_032823_075,[Height] 13_pos_032823_072,[Height] 14_pos_032823_092,[Height] 15_pos_032823_091,[Height] 16_pos_032823_077,[Height] 17_pos_032823_063,[Height] 18_pos_032823_065,[Height] 19_pos_032823_089,[Height] 20_pos_032823_081,[Height] 21_pos_032823_067,[Height] 22_pos_032823_068,[Height] ISB_pos_032823_076,[Height] PB_pos_032823_073,[Score (MFE)] 01_pos_032823_066,[Score (MFE)] 02_pos_032823_071,[Score (MFE)] 03_pos_032823_084,[Score (MFE)] 04_pos_032823_085,[Score (MFE)] 05_pos_032823_074,[Score (MFE)] 06_pos_032823_082,[Score (MFE)] 07_pos_032823_080,[Score (MFE)] 08_pos_032823_088,[Score (MFE)] 09_pos_032823_093,[Score (MFE)] 10_pos_032823_090,[Score (MFE)] 11_pos_032823_064,[Score (MFE)] 12_pos_032823_075,[Score (MFE)] 13_pos_032823_072,[Score (MFE)] 14_pos_032823_092,[Score (MFE)] 15_pos_032823_091,[Score (MFE)] 16_pos_032823_077,[Score (MFE)] 17_pos_032823_063,[Score (MFE)] 18_pos_032823_065,[Score (MFE)] 19_pos_032823_089,[Score (MFE)] 20_pos_032823_081,[Score (MFE)] 21_pos_032823_067,[Score (MFE)] 22_pos_032823_068,[Score (MFE)] ISB_pos_032823_076,[Score (MFE)] PB_pos_032823_073,[Score (Tgt)] 01_pos_032823_066,[Score (Tgt)] 02_pos_032823_071,[Score (Tgt)] 03_pos_032823_084,[Score (Tgt)] 04_pos_032823_085,[Score (Tgt)] 05_pos_032823_074,[Score (Tgt)] 06_pos_032823_082,[Score (Tgt)] 07_pos_032823_080,[Score (Tgt)] 08_pos_032823_088,[Score (Tgt)] 09_pos_032823_093,[Score (Tgt)] 10_pos_032823_090,[Score (Tgt)] 11_pos_032823_064,[Score (Tgt)] 12_pos_032823_075,[Score (Tgt)] 13_pos_032823_072,[Score (Tgt)] 14_pos_032823_092,[Score (Tgt)] 15_pos_032823_091,[Score (Tgt)] 16_pos_032823_077,[Score (Tgt)] 17_pos_032823_063,[Score (Tgt)] 18_pos_032823_065,[Score (Tgt)] 19_pos_032823_089,[Score (Tgt)] 20_pos_032823_081,[Score (Tgt)] 21_pos_032823_067,[Score (Tgt)] 22_pos_032823_068,[Score (Tgt)] ISB_pos_032823_076,[Score (Tgt)] PB_pos_032823_073,[Ions] 01_pos_032823_066,[Ions] 02_pos_032823_071,[Ions] 03_pos_032823_084,[Ions] 04_pos_032823_085,[Ions] 05_pos_032823_074,[Ions] 06_pos_032823_082,[Ions] 07_pos_032823_080,[Ions] 08_pos_032823_088,[Ions] 09_pos_032823_093,[Ions] 10_pos_032823_090,[Ions] 11_pos_032823_064,[Ions] 12_pos_032823_075,[Ions] 13_pos_032823_072,[Ions] 14_pos_032823_092,[Ions] 15_pos_032823_091,[Ions] 16_pos_032823_077,[Ions] 17_pos_032823_063,[Ions] 18_pos_032823_065,[Ions] 19_pos_032823_089,[Ions] 20_pos_032823_081,[Ions] 21_pos_032823_067,[Ions] 22_pos_032823_068,[Ions] ISB_pos_032823_076,[Ions] PB_pos_032823_073,
TG 18:1_18:2_22:6,C61 H100 O6,928.7516,0.72,0,12.79,0.033,113286,23,1,80.6,8.5,4,17,928.7515,928.7514,928.7515,928.7515,928.7513,928.7511,928.7515,928.7515,928.7515,928.7515,928.7515,928.7515,928.7516,928.7514,928.7514,928.7516,928.7516,928.7515,928.7515,928.7517,928.7515,928.7514,,928.7546,12.789,12.805,12.795,12.798,12.795,12.792,12.791,12.786,12.791,12.787,12.799,12.775,12.789,12.793,12.799,12.798,12.797,12.798,12.800,12.788,12.798,12.779,,12.772,158390,152052,128471,151344,117134,91929,101706,74983,109561,59110,178451,137511,236697,102713,102080,126387,132907,100281,148724,69331,76697,47987,,1132,,,,,,,,,,,,,,,,,,,,,,,,,78.15,74.36,76.49,74.93,75.23,75.89,74.59,75.63,76.83,77.97,74.86,80.64,77.93,73.51,71.28,75.50,75.52,76.17,74.79,76.56,71.86,78.20,,47.12,15,15,17,15,13,17,15,14,13,13,15,16,17,13,13,17,15,13,15,13,14,15,,4,
PC 18:2_20:4,C46 H80 N O8 P,805.5615,2.17,0,6.42,0.107,47340,23,1,99.3,7.2,4,11,805.5620,805.5620,805.5618,805.5619,805.5619,805.5620,805.5619,805.5619,805.5617,805.5618,805.5619,805.5619,805.5620,805.5619,805.5619,805.5619,805.5619,805.5621,805.5621,805.5618,805.5620,805.5615,,805.5535,6.444,6.421,6.419,6.458,6.407,6.443,6.419,6.408,6.410,6.438,6.450,6.436,6.409,6.438,6.448,6.428,6.412,6.398,6.429,6.443,6.406,6.418,,6.351,82528,47590,56139,74490,46527,41324,53953,45855,52620,35419,65840,51785,59883,51764,44246,43058,55122,36401,42608,38726,30579,31238,,1129,,,,,,,,,,,,,,,,,,,,,,,,,84.13,89.38,89.57,80.78,92.09,83.42,89.92,89.64,91.68,84.23,82.34,85.91,91.85,84.91,81.88,86.55,91.37,99.30,85.73,83.88,90.96,88.86,,65.89,10,10,8,10,10,10,9,10,9,8,9,10,10,10,8,9,10,8,9,9,11,9,,4,
SM d40:1,C45 H91 N2 O6 P,786.6612,0.94,0,9.86,0.094,55594,23,1,97.7,12.4,1,13,786.6614,786.6613,786.6614,786.6614,786.6614,786.6611,786.6612,786.6612,786.6615,786.6613,786.6615,786.6616,786.6613,786.6615,786.6613,786.6613,786.6613,786.6613,786.6612,786.6612,786.6614,786.6615,786.6579,,9.858,9.858,9.867,9.867,9.866,9.867,9.856,9.873,9.858,9.868,9.874,9.878,9.862,9.863,9.864,9.861,9.861,9.868,9.896,9.935,9.858,9.861,9.841,,48845,71938,63015,36484,63316,63936,74555,67356,78684,44994,57339,30224,59961,48372,49995,55019,108817,57516,70335,26749,54340,46179,698,,,,,,,,,,,,,,,,,,,,,,,,,,82.06,80.88,80.36,80.42,80.59,80.66,83.22,77.24,82.94,80.59,69.06,77.53,71.90,81.55,97.73,81.73,82.30,80.67,74.80,93.19,82.74,79.98,42.97,,11,11,11,8,10,12,11,11,11,12,10,9,8,10,9,10,13,12,11,8,9,9,1,,
PC 38:4,C46 H84 N O8 P,809.5916,3.80,0,7.36,0.179,33205,24,0,95.8,17.3,3,12,809.5906,809.5905,809.5910,809.5907,809.5893,809.5913,809.5838,809.5903,809.5920,809.5916,809.5905,809.5902,809.5929,809.5930,809.5927,809.5905,809.5920,809.5909,809.5905,809.5914,809.5898,809.5928,809.6004,809.5988,7.369,7.358,7.356,7.355,7.349,7.357,7.361,7.355,7.360,7.353,7.347,7.356,7.487,7.492,7.502,7.346,7.371,7.357,7.361,7.352,7.356,7.505,7.525,7.382,73797,25188,44504,65912,27382,47559,9325,28630,58969,34524,51609,45375,8468,10856,17137,35199,65773,30369,34193,38346,37513,4603,1334,358,,,,,,,,,,,,,,,,,,,,,,,,,87.21,78.21,85.28,83.89,82.21,87.94,80.94,82.07,95.77,84.12,70.19,87.02,80.75,80.81,77.31,84.09,95.00,95.81,84.15,88.42,84.96,76.10,25.11,63.37,8,9,9,9,10,12,10,10,11,9,7,10,10,12,11,8,8,8,10,10,10,10,3,4,
PC 18:0_22:5,C48 H86 N O8 P,835.6089,1.35,0,8.02,0.243,41035,24,0,97.0,13.7,3,11,835.6085,835.6089,835.6087,835.6086,835.6088,835.6087,835.6087,835.6082,835.6086,835.6086,835.6087,835.6086,835.6088,835.6087,835.6086,835.6077,835.6089,835.6086,835.6087,835.6084,835.6087,835.6083,835.6118,835.6130,8.015,8.032,8.041,8.007,8.024,8.025,8.030,8.041,8.019,7.999,8.026,8.008,8.015,8.021,8.020,8.036,8.029,7.992,8.013,8.015,8.000,8.016,7.809,7.799,60043,52750,46149,67705,46351,43994,57534,45984,47776,27615,53727,32611,44858,43475,37790,29339,76115,28336,50088,28477,38272,24424,488,955,,,,,,,,,,,,,,,,,,,,,,,,,78.32,76.33,74.94,80.01,77.73,77.33,76.18,58.61,77.09,82.56,75.93,80.25,79.23,77.84,79.05,72.46,76.85,96.98,78.88,77.78,83.19,77.80,50.92,46.07,11,9,7,9,9,9,10,8,9,9,9,7,9,9,9,8,10,9,10,9,10,9,4,3,
CE 22:6,C49 H76 O2,696.5847,2.67,0,12.91,0.302,88539,24,0,99.5,19.9,1,17,696.5843,696.5844,696.5842,696.5841,696.5841,696.5843,696.5843,696.5841,696.5842,696.5841,696.5841,696.5842,696.5843,696.5842,696.5842,696.5842,696.5841,696.5842,696.5843,696.5842,696.5842,696.5842,696.5859,696.5932,12.911,12.922,12.912,12.926,12.912,12.931,12.941,12.881,12.902,12.904,12.927,12.914,12.890,12.910,12.905,12.909,12.920,12.915,12.928,12.916,12.926,12.935,12.786,12.640,126924,101011,94230,105196,95019,112785,121689,108235,130605,85568,115888,92600,84766,94480,80580,81728,68258,76398,94271,79150,94858,79024,880,804,,,,,,,,,,,,,,,,,,,,,,,,,98.83,99.04,98.88,99.10,96.30,98.70,99.22,75.06,99.17,98.89,99.09,99.54,99.43,98.05,98.39,99.26,99.22,98.22,98.61,98.26,97.47,99.06,59.01,17.73,17,16,14,15,16,15,17,15,16,12,17,15,13,15,15,15,15,14,15,14,14,14,1,1,
TG 54:3,C57 H104 O6,884.7828,0.14,0,14.14,0.034,316449,24,0,82.1,1.5,11,19,884.7828,884.7830,884.7828,884.7828,884.7828,884.7829,884.7831,884.7829,884.7827,884.7827,884.7828,884.7827,884.7828,884.7828,884.7828,884.7828,884.7830,884.7829,884.7829,884.7828,884.7828,884.7827,884.7826,884.7831,14.140,14.139,14.139,14.144,14.141,14.145,14.142,14.142,14.141,14.144,14.138,14.143,14.141,14.145,14.138,14.140,14.142,14.144,14.139,14.145,14.144,14.146,14.136,14.112,252480,624234,407868,301037,274639,423306,512477,436214,212650,236396,408360,202389,479982,269072,217065,248209,548793,468441,435421,194828,222523,167824,23589,26996,,,,,,,,,,,,,,,,,,,,,,,,,80.71,80.99,81.24,79.87,80.74,79.56,80.59,80.20,80.74,79.88,81.09,79.80,80.87,79.71,81.12,80.70,80.59,80.18,80.82,79.66,79.66,78.77,75.83,82.15,17,16,15,16,15,18,18,16,15,16,16,15,17,15,15,14,16,17,19,15,17,14,11,12,
LPC 16:1/0:0,C24 H48 N O7 P,493.3167,0.84,0,1.48,0.233,26129,24,0,98.6,14.7,4,10,493.3167,493.3168,493.3166,493.3168,493.3166,493.3167,493.3170,493.3167,493.3167,493.3166,493.3168,493.3166,493.3166,493.3168,493.3166,493.3168,493.3167,493.3169,493.3169,493.3169,493.3167,493.3167,493.3154,493.3182,1.477,1.474,1.492,1.479,1.477,1.465,1.472,1.470,1.479,1.472,1.476,1.469,1.489,1.487,1.476,1.491,1.474,1.472,1.476,1.474,1.478,1.487,1.361,1.593,40431,23583,22020,40188,19092,23366,32147,25665,25397,20309,29576,31327,24743,26233,23039,18804,48141,18568,40741,38395,26159,27682,755,750,,,,,,,,,,,,,,,,,,,,,,,,,96.70,96.32,98.48,96.84,95.38,94.99,95.73,95.22,96.86,95.60,96.03,94.63,98.57,98.45,94.63,98.51,96.42,96.27,96.88,96.32,96.35,98.41,37.12,64.01,7,7,8,8,7,7,7,8,8,6,7,8,7,7,8,7,10,6,8,8,7,7,4,4,
TG 54:6,C57 H98 O6,878.7358,0.67,0,13.09,0.263,59408,24,0,79.5,6.9,8,18,878.7354,878.7350,878.7361,878.7362,878.7362,878.7344,878.7362,878.7360,878.7359,878.7358,878.7362,878.7360,878.7362,878.7344,878.7359,878.7369,878.7362,878.7351,878.7361,878.7358,878.7361,878.7357,878.7354,878.7356,13.123,13.094,13.095,13.092,13.084,13.098,13.080,13.092,13.080,13.087,13.110,13.103,13.090,13.088,13.105,13.082,13.086,13.093,13.089,13.088,13.093,13.097,12.924,12.860,60355,128628,52341,80919,71193,59259,56485,77950,53003,31824,73750,62584,121057,67316,57389,15810,90914,55071,109515,24356,44415,29971,883,824,,,,,,,,,,,,,,,,,,,,,,,,,70.70,75.24,72.10,69.66,69.17,76.13,79.15,73.88,79.47,75.61,74.00,70.27,72.51,70.33,64.85,74.21,75.89,76.43,71.44,73.86,76.19,75.53,76.63,55.59,13,18,13,14,13,17,15,14,13,14,13,11,14,15,12,13,14,15,12,13,16,13,8,8,
ACar 14:0,C21 H41 N O4,371.3037,0.33,0,1.38,0.011,22630,22,2,98.3,2.2,3,6,371.3036,371.3037,371.3037,371.3035,371.3036,371.3037,371.3036,371.3038,371.3037,371.3036,371.3037,371.3038,371.3038,371.3037,371.3041,371.3035,371.3035,371.3036,371.3036,371.3036,371.3036,371.3036,,,1.382,1.380,1.381,1.384,1.382,1.381,1.383,1.381,1.384,1.382,1.381,1.385,1.378,1.381,1.387,1.379,1.385,1.383,1.387,1.380,1.384,1.376,,,20064,7351,6495,17587,8396,20858,43108,31634,51747,23138,6858,8264,7171,5535,5313,6561,46578,18684,60540,46354,28490,27149,,,,,,,,,,,,,,,,,,,,,,,,,,,97.97,92.05,94.10,97.73,96.39,97.59,97.44,97.87,98.16,93.78,94.34,96.96,96.70,91.27,96.72,92.36,97.70,98.27,97.82,96.81,97.21,97.00,,,3,4,4,5,4,4,5,5,6,4,4,4,3,4,5,4,6,4,6,5,4,3,,,
PC 33:2,C41 H78 N O8 P,743.5461,0.38,0,6.84,0.047,21224,22,2,89.9,6.2,7,12,743.5463,743.5460,743.5462,743.5464,743.5463,743.5456,743.5461,743.5458,743.5463,743.5457,743.5462,743.5457,743.5466,743.5461,743.5463,743.5459,743.5462,743.5457,743.5461,743.5464,743.5464,743.5462,,,6.817,6.828,6.843,6.848,6.842,6.850,6.854,6.809,6.830,6.857,6.823,6.832,6.853,6.845,6.849,6.834,6.847,6.811,6.814,6.839,6.834,6.823,,,27609,19956,22312,22959,20847,16798,31487,24106,29047,13335,25790,16570,23912,19475,17818,16245,33639,12733,28985,12415,16548,14355,,,,,,,,,,,,,,,,,,,,,,,,,,,85.28,79.98,78.49,77.10,76.34,79.95,75.85,89.78,85.82,68.87,83.81,79.78,79.08,76.94,78.18,74.40,78.06,83.68,89.88,77.61,78.02,75.97,,,11,10,10,8,7,10,11,10,12,9,10,9,11,9,9,10,10,9,12,8,10,8,,,
ACar 18:2,C25 H45 N O4,423.3345,2.96,0,1.75,0.104,20553,23,1,98.8,13.2,2,6,423.3347,423.3344,423.3347,423.3348,423.3348,423.3348,423.3350,423.3349,423.3348,423.3347,423.3347,423.3348,423.3349,423.3346,423.3347,423.3346,423.3348,423.3348,423.3349,423.3349,423.3348,423.3351,,423.3288,1.750,1.758,1.754,1.757,1.749,1.749,1.750,1.754,1.757,1.751,1.755,1.765,1.744,1.755,1.755,1.747,1.752,1.751,1.755,1.753,1.744,1.747,,1.661,21399,8962,8600,15538,9654,15651,33793,28898,46065,18743,8665,11890,10141,8856,8721,11071,43697,17660,55218,41783,25874,21232,,617,,,,,,,,,,,,,,,,,,,,,,,,,97.01,97.18,97.04,98.66,95.16,97.05,97.57,97.94,98.60,97.07,89.09,98.75,94.69,98.15,93.15,97.48,97.13,96.14,98.64,97.43,96.82,95.86,,38.06,4,5,4,5,4,5,6,4,6,3,4,4,4,4,5,4,6,3,5,5,5,4,,2,
TG 56:7,C59 H100 O6,904.7521,0.21,0,13.26,0.055,164658,23,1,97.6,7.9,9,16,904.7522,904.7521,904.7522,904.7524,904.7523,904.7520,904.7521,904.7520,904.7521,904.7520,904.7522,904.7521,904.7516,904.7523,904.7520,904.7521,904.7518,904.7523,904.7522,904.7521,904.7521,904.7519,,904.7518,13.262,13.261,13.256,13.259,13.262,13.260,13.253,13.270,13.258,13.254,13.260,13.258,13.262,13.266,13.272,13.254,13.259,13.254,13.262,13.260,13.260,13.270,,13.307,163468,315565,235222,211543,216627,172920,139317,130967,131258,87294,304157,160878,296718,176245,159836,128305,183568,142327,180187,81162,92709,75437,,1426,,,,,,,,,,,,,,,,,,,,,,,,,82.87,81.49,86.09,77.44,83.49,82.73,84.46,82.12,82.39,82.51,83.05,81.68,82.45,81.52,80.63,83.54,79.83,83.15,80.17,79.08,83.78,97.57,,57.43,13,16,14,15,16,16,16,15,14,14,14,14,16,16,14,13,16,15,14,14,14,14,,9,
ACar 16:1,C23 H43 N O4,397.3192,0.82,0,1.56,0.060,17643,23,1,99.1,9.8,1,7,397.3189,397.3192,397.3191,397.3192,397.3193,397.3191,397.3193,397.3192,397.3192,397.3192,397.3193,397.3191,397.3189,397.3192,397.3192,397.3195,397.3192,397.3191,397.3192,397.3192,397.3192,397.3192,,397.3206,1.566,1.552,1.548,1.551,1.560,1.549,1.566,1.559,1.573,1.561,1.559,1.564,1.550,1.537,1.526,1.575,1.552,1.561,1.560,1.558,1.556,1.553,,1.515,14864,7058,5880,13152,4745,16622,30818,24735,35114,18768,6043,7909,5699,5031,3902,6004,42214,15648,51248,40896,25552,23141,,742,,,,,,,,,,,,,,,,,,,,,,,,,98.95,96.34,94.54,97.81,92.09,96.98,97.32,98.80,99.12,99.06,98.41,96.14,94.12,96.03,91.07,93.24,97.90,97.32,97.89,98.42,98.18,97.99,,53.29,4,5,5,5,4,5,5,6,6,4,4,5,6,5,6,5,6,5,7,6,5,6,,1,
TG 60:12,C63 H98 O6,950.7359,0.57,0,12.07,0.078,80499,24,0,98.8,16.3,2,18,950.7361,950.7358,950.7361,950.7361,950.7360,950.7363,950.7361,950.7360,950.7360,950.7359,950.7360,950.7363,950.7361,950.7357,950.7359,950.7361,950.7360,950.7355,950.7360,950.7357,950.7358,950.7362,950.7335,950.7362,12.066,12.066,12.073,12.075,12.073,12.069,12.080,12.075,12.070,12.059,12.082,12.069,12.072,12.070,12.077,12.069,12.086,12.081,12.067,12.065,12.063,12.066,12.056,12.008,129608,87804,74985,111280,83649,60367,102270,71818,103502,50334,117442,117046,121620,87153,95069,99552,101223,68606,83534,52815,63312,47643,579,788,,,,,,,,,,,,,,,,,,,,,,,,,97.83,74.71,73.78,72.64,72.90,73.25,70.78,74.03,98.73,75.14,98.72,73.47,74.05,74.12,72.97,74.59,98.83,97.37,73.43,74.68,73.88,74.04,48.15,58.72,16,17,14,16,16,15,14,16,16,15,16,15,18,17,16,16,16,17,15,15,13,12,5,2,
SM d42:1,C47 H95 N2 O6 P,814.6925,0.24,0,10.68,0.308,37139,23,1,99.5,15.5,2,11,814.6926,814.6925,814.6925,814.6923,814.6927,814.6926,814.6923,814.6925,814.6925,814.6924,814.6924,814.6924,814.6925,814.6925,814.6925,814.6928,814.6926,814.6927,814.6925,814.6921,814.6923,814.6926,814.6931,,10.687,10.659,10.679,10.668,10.678,10.662,10.707,10.685,10.687,10.680,10.736,10.696,10.669,10.680,10.676,10.656,10.679,10.719,10.681,10.675,10.666,10.657,10.429,,33572,45287,42124,28969,40860,39920,57970,47708,49753,28734,38368,22309,43655,29319,32350,30967,66145,41036,50149,21597,34141,28754,520,,,,,,,,,,,,,,,,,,,,,,,,,,77.24,82.62,78.66,81.03,78.73,82.21,92.05,77.32,77.40,76.68,98.81,75.11,80.42,77.50,79.32,82.59,78.98,99.51,78.46,79.10,81.89,82.97,31.38,,8,11,8,7,8,10,7,9,10,9,8,7,11,10,9,9,11,9,10,8,9,8,2,,
ACar 14:1,C21 H39 N O4,369.2881,1.71,0,1.06,0.063,16195,24,0,98.9,13.8,3,7,369.2879,369.2885,369.2879,369.2879,369.2878,369.2880,369.2879,369.2879,369.2880,369.2879,369.2879,369.2880,369.2876,369.2878,369.2876,369.2880,369.2880,369.2880,369.2880,369.2879,369.2879,369.2879,369.2891,369.2907,1.059,1.064,1.063,1.061,1.060,1.058,1.060,1.057,1.061,1.059,1.063,1.067,1.056,1.057,1.064,1.056,1.062,1.065,1.058,1.057,1.063,1.059,1.004,1.029,18144,6806,6521,14692,6435,14957,26270,26192,38524,13266,6888,9424,6191,5199,6724,9961,37697,16286,39448,34471,23066,20394,610,515,,,,,,,,,,,,,,,,,,,,,,,,,97.69,90.83,91.44,98.64,98.38,95.98,97.93,98.37,98.60,96.78,88.24,96.81,88.04,98.18,98.31,89.47,98.84,98.89,97.49,96.70,85.67,98.67,51.97,54.20,4,5,4,6,3,3,5,4,6,3,5,5,3,4,3,3,7,4,4,5,4,4,4,3,
SM d42:3,C47 H91 N2 O6 P,810.6610,0.81,0,8.97,0.067,33630,23,1,95.2,11.3,2,13,810.6610,810.6610,810.6611,810.6613,810.6613,810.6612,810.6610,810.6614,810.6611,810.6611,810.6612,810.6610,810.6613,810.6614,810.6611,810.6613,810.6610,810.6612,810.6611,810.6612,810.6612,810.6608,810.6581,,8.978,8.962,8.966,8.965,8.998,8.994,8.977,8.966,9.017,8.951,8.973,8.971,8.971,8.962,8.962,8.993,8.970,8.961,8.966,8.961,8.968,8.961,8.970,,41660,34059,30874,37662,27973,31569,40553,34731,34978,27138,38012,33872,39014,36424,33571,33098,50947,28520,39843,31558,38680,27983,787,,,,,,,,,,,,,,,,,,,,,,,,,,75.43,78.67,78.44,79.51,70.90,74.09,76.38,78.51,95.20,81.66,76.23,76.92,78.11,78.72,80.40,73.97,70.35,78.40,78.58,77.57,78.18,78.08,43.13,,10,11,11,12,9,11,13,12,10,11,9,11,12,10,11,10,11,10,11,9,12,10,2,,
PC 38:2,C46 H88 N O8 P,813.6245,0.31,0,9.07,0.086,28923,23,1,88.3,7.6,3,10,813.6246,813.6245,813.6246,813.6244,813.6243,813.6244,813.6245,813.6248,813.6247,813.6237,813.6246,813.6247,813.6246,813.6243,813.6244,813.6243,813.6248,813.6245,813.6246,813.6246,813.6248,813.6245,,813.6248,9.067,9.057,9.060,9.054,9.071,9.077,9.066,9.077,9.067,9.056,9.078,9.055,9.066,9.067,9.067,9.071,9.065,9.072,9.061,9.051,9.051,9.050,,8.993,46050,37088,30480,38202,27997,30507,35281,27245,30447,19850,33900,25907,28503,26914,36130,21576,45993,20280,34549,22148,24571,20737,,896,,,,,,,,,,,,,,,,,,,,,,,,,73.83,73.07,70.46,74.68,73.25,69.41,74.87,70.64,71.52,59.73,71.53,72.19,73.49,73.85,88.30,65.43,73.15,72.79,72.38,75.53,73.62,75.41,,60.18,8,8,8,9,9,10,8,8,9,7,9,7,9,9,7,8,8,8,10,9,9,6,,3,
PC 18:2_22:6,C48 H80 N O8 P,829.5617,1.10,0,6.16,0.232,28839,23,1,95.1,15.2,1,11,829.5620,829.5620,829.5621,829.5618,829.5620,829.5618,829.5619,829.5620,829.5617,829.5620,829.5617,829.5621,829.5619,829.5618,829.5621,829.5617,829.5618,829.5616,829.5620,829.5617,829.5620,829.5622,829.5576,,6.143,6.154,6.157,6.179,6.156,6.170,6.174,6.157,6.153,6.171,6.166,6.179,6.165,6.131,6.163,6.160,6.161,6.164,6.150,6.153,6.167,6.157,5.947,,35884,34046,35431,40416,29553,31626,32580,27292,32544,21721,40664,24409,34604,30013,26942,25090,40998,17743,33183,17875,28851,21182,651,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,89.23,89.49,82.26,90.02,85.18,83.55,88.94,83.47,84.74,87.01,83.61,87.25,95.05,87.81,86.56,87.62,83.33,88.78,89.51,87.16,88.17,27.31,,11,10,8,10,7,8,8,9,9,7,9,8,8,8,9,8,11,8,9,6,8,6,1,,
TG 58:9,C61 H100 O6,928.7516,0.72,0,12.79,0.028,113659,23,1,99.0,11.8,4,17,928.7515,928.7515,928.7515,928.7515,928.7513,928.7511,928.7515,928.7515,928.7515,928.7515,928.7515,928.7515,928.7516,928.7514,928.7514,928.7517,928.7516,928.7516,928.7515,928.7517,928.7515,928.7515,,928.7547,12.789,12.777,12.795,12.798,12.795,12.792,12.791,12.786,12.791,12.787,12.799,12.775,12.789,12.793,12.799,12.798,12.797,12.798,12.800,12.788,12.798,12.779,,12.772,159287,160473,128471,151321,117134,91929,104822,74983,108962,59219,179948,137511,236697,102713,102887,130328,132907,90878,148724,69331,76821,47938,,880,,,,,,,,,,,,,,,,,,,,,,,,,74.86,98.96,73.72,72.25,72.47,73.02,71.58,72.55,74.10,74.90,72.11,77.18,74.95,70.66,68.37,72.59,72.82,73.79,72.21,73.53,69.19,74.85,,43.55,15,15,17,15,13,17,14,14,13,13,15,16,17,13,14,16,15,15,15,13,14,15,,4,
TG 50:2,C53 H98 O6,830.7362,0.51,0,13.70,0.040,138270,24,0,80.8,5.0,9,16,830.7362,830.7363,830.7362,830.7364,830.7362,830.7362,830.7362,830.7362,830.7364,830.7364,830.7361,830.7360,830.7361,830.7363,830.7363,830.7364,830.7362,830.7362,830.7362,830.7362,830.7362,830.7361,830.7343,830.7366,13.684,13.706,13.694,13.699,13.696,13.694,13.692,13.703,13.696,13.688,13.699,13.687,13.696,13.689,13.688,13.700,13.698,13.694,13.700,13.705,13.705,13.699,13.665,13.689,104164,201024,197804,117359,136602,262139,169300,156371,115356,144559,168661,86811,191160,139651,94360,87259,193408,199367,205840,107014,123419,99953,10495,6419,,,,,,,,,,,,,,,,,,,,,,,,,80.79,76.72,78.95,77.96,78.51,79.07,78.85,76.83,78.48,80.16,77.49,79.72,77.99,79.47,79.78,77.22,78.37,78.68,77.51,75.83,76.77,76.71,63.69,67.39,14,15,15,16,15,16,16,14,15,14,13,14,14,14,13,15,15,14,16,14,13,15,9,9,
