Compound Name, RT, Mass,COLD,RT, Liver 07 45x pos 080921 052, Liver 08 45x pos 080921 050, Liver 09 45x pos 080921 065, Liver 10 45x pos 080921 057, Liver 11 45x pos 080921 056, Liver 12 45x pos 080921 062, Liver 01 45x pos 080921 064, Liver 02 45x pos 080921 063, Liver 03 45x pos 080921 059, Liver 04 45x pos 080921 058, Liver 05 5x pos 080921 068, Liver 06 45x pos 080921 051,FC,P_VAL,log_FC
,7.089,608.4423,2745.579,1423.2775,2614.448,1630.076,3102.685,2376.651,2935.328,2876.71,1803.509,1275.8,1609.655,1269.917,1570.755,1185.004,1.929053891,0.000798814,0.947893448
,7.964,602.528,8581.645,4458.1135,11579.17,8219.195,8651.547,8566.56,7949.889,8596.73,4186.767,3683.556,4520.402,4457.12,8175.747,4459.107,1.924949869,0.000866757,0.944820875
,7.815,674.4889,3350.568,704.405,3452.284,3853.69,3248.852,3108.381,3713.687,2336.271,0.001,1408.809,0.001,0.001,2653.419,1535.925,4.756593153,0.000887446,2.249928632
,8.273,628.447,41145.02,20107.535,45671.4,44943.7,29473.47,40994.85,41295.19,30179.94,25613.66,14601.41,27254.06,25664.01,13965.17,13622.75,2.046248832,0.000892123,1.032981593
,10.01,668.5355,10229.38,6604.439,14180.74,10369.45,10089.31,9129.251,12551.72,10003.59,7583.833,3280.648,7165.242,7711.914,6043.636,4098.839,1.548864332,0.000937348,0.631210781
,9.666,567.5611,1826.775,503.098,2256.045,1664.894,1844.048,1617.429,1809.502,1859.716,0.001,0.001,0.001,1063.651,1394.127,1006.195,3.631052002,0.001098179,1.860387592
,10.983,1059.8815,4102.6725,2862.421,4022.41,4182.935,4269.795,4566.955,3961.376,3935.046,3044.353,2467.424,3259.651,4016.959,2680.489,2626.977,1.433287591,0.001116894,0.519328117
,8.577,638.5448,1851.143,1339.9155,2478.414,1880.929,1788.579,1734.752,2149.023,1821.357,1649.823,1311.56,1368.271,1416.881,1066.17,1127,1.381537119,0.001146905,0.466274325
,5.791,777.5311,27259.69,20748.295,25846.44,26385.89,27490.08,31147.25,27735.11,27029.3,16916.35,24395.24,21523.37,22970.81,14620.28,19973.22,1.313827956,0.001248505,0.393776369
,7.196,634.4574,3803.02,1680.63,4729.157,4064.27,3211.934,3515.837,5045.656,3541.77,0.001,2286.979,1562.24,3192.232,944.6159,1799.02,2.262853811,0.001280583,1.178143384
,9.87,773.632,13197.555,6522.266,16427.16,12876.45,6493.604,12877.7,15637.27,13517.41,5386.157,5697.804,7309.402,7305.683,7262.255,5782.277,2.023461631,0.00132405,1.016825493
,10.76,660.51,4721.665,3103.2765,4525.781,4057.154,5483.223,4917.549,4949.083,4231.043,3595.983,1700.201,3396.059,3848.45,2810.494,2391.559,1.521509604,0.001362732,0.605503441
,9.188,618.5226,8636.4245,5053.6035,10117.47,9395,7385.738,7877.849,9567.176,6670.517,6486.666,2280.553,5924,5690.66,4416.547,2632.127,1.708963614,0.001614411,0.77312168
,7.815,602.5276,46174.425,26334.485,58171.44,55199.61,41010.94,44898.03,47450.82,33233.02,33309.54,18299.06,30314.02,34594.07,22146.2,22354.95,1.753382494,0.001670172,0.810140749
,7.193,832.4484,0.001,2436.424,0.001,0.001,0.001,0.001,0.001,0.001,3615.642,1674.704,0.001,2886.404,2746.18,2126.668,4.10438E-07,0.001714483,-21.21633379
,9.193,656.4783,60973.575,44911.43,71512.94,61136.61,60810.54,53150.42,61766.58,52711.89,48654.2,30766.79,48343.32,48638.13,41479.54,33403.93,1.357640471,0.001793858,0.441101478
,9.389,640.5036,0.001,7713.5415,0.001,1366.404,0.001,908.3807,0.001,0.001,11245.42,0.001,9156.886,8317.816,7109.267,6474.82,1.29642E-07,0.001814037,-22.87896196
,7.699,821.5333,17100.31,13198.095,16691.19,15811.32,17878.66,15176.77,17509.43,21338.57,12207.84,13032.61,12605.21,13363.58,14501.94,14344.44,1.295665018,0.0018259,0.373692772
,6.913,871.5318,100235.945,82156.775,99506.69,92443.16,110536.3,100965.2,93710.29,108715.8,80528.57,63430.35,89969.7,86067.39,83784.98,80239.09,1.220056958,0.0018313,0.286948501
,7.258,574.4003,2047.4325,1059.439,2668.18,2285.914,2068.695,1309.941,2026.17,1707.15,1226.484,0.001,1008.706,1208.903,900.4694,1110.172,1.932562894,0.002129976,0.950515367
,7.5,757.5627,424613.65,227448.5,501556.8,389895.3,385160.9,459332,462294.5,302315.8,266213.4,133885.9,318927.7,331151,170591.7,188683.6,1.866856233,0.002223752,0.90061083
,8.275,310.2505,4037.846,2262.6605,5482.402,4307.463,3152.008,3768.229,5095.796,3394.269,3482.36,2000.563,2352.236,2318.707,1796.509,2206.614,1.78455672,0.00223716,0.835565756
,7.75,652.4471,16035.025,9281.8355,16833.01,19562.72,13759.29,15237.04,20479.55,13014.55,13560.68,8792.94,12359.48,9770.731,8219.199,8433.538,1.727570479,0.002255937,0.788744569
,6.753,755.5472,1506131.5,815029.6,1755128,1498175,1283481,1678523,1514088,1157070,936848.1,469538.8,1154020,1229847,651122.2,693211.1,1.847946995,0.002294847,0.885923376
,7.852,631.5178,11148.215,5622.857,14327.79,9487.832,11625.03,10671.4,11997.86,9012.472,7395.229,4396.466,0.001,8597.618,6849.248,4271.077,1.982660238,0.00253748,0.987437469
,8.171,678.4627,8814.7755,5302.038,9476.406,9329.448,7517.011,8300.103,9492.275,5634.914,6355.833,2614.696,5682.141,4921.935,5889.061,4551.837,1.6625259,0.002634801,0.733376816
,8.621,743.5468,31797.285,16666.425,40969.35,25460.76,34898.23,28696.34,36635.32,19436.58,19237.33,10276.64,20615.92,20717.17,14062.1,14095.52,1.907864764,0.002808494,0.931958912
,9.534,745.5624,27144.735,14732.69,31690.06,18373.95,32411.97,22599.41,35046.91,19458.8,14745.02,9868.031,15456.39,13841.92,17022.45,14720.36,1.84248328,0.002814257,0.881651528
,8.429,1398.0652,13191.725,10683.375,13769.64,13966.64,12613.81,12343.9,14773.75,11435.95,11130.6,6958.806,10545.17,10903.2,10821.58,7987.729,1.234790036,0.003092141,0.304265746
,7.408,579.4868,1874.406,445.66925,2508.455,1407.154,2321.414,1722.116,2002.691,1746.121,1788.744,0.001,891.3375,0.001,0.001,1013.153,4.20582304,0.003147272,2.07238815
,6.957,653.5017,2517.6425,1272.594,2437.984,2028.578,3315.517,2597.301,3029.576,1669.357,1196.556,0.001,1104.98,1634.985,1647.221,1348.632,1.978354841,0.003179378,0.984301213
,6.749,964.4663,3300.5285,2196.0225,5157.501,3170.897,2934.658,3864.519,3243.705,3357.352,1988.185,1657.111,2498.55,2755.273,2403.86,1798.889,1.502957506,0.003357625,0.58780422
,8.242,586.4578,13869.935,6498.2655,18683.84,13823.24,12713.5,13916.63,18364.23,8220.116,10623.14,3123.073,9259.058,7381.102,5615.429,4525.826,2.134405712,0.00337659,1.093834432
,6.912,819.5185,32249.45,27494.86,36161.69,31422.03,34118.13,32318,31184.75,32180.9,28276.03,19731.36,29322.49,29187.9,26713.69,26263.19,1.172926503,0.003416873,0.230112616
,8.714,539.5281,2420.1095,1782.894,3027.898,2238.46,2357.613,2482.606,2600.959,2186.219,1818.907,1053.546,1746.881,1986.737,2125.752,1663.626,1.357405151,0.003479823,0.440851393
