Exp_ID,Experiment,ID,Temp,Sex,Genotype,Age,Batch,BMP 16:0_16:0,BMP 16:0_16:1,BMP 16:0_18:0,BMP 16:0_18:1,BMP 16:0_18:2,BMP 16:0_18:3,BMP 16:0_20:4,BMP 16:0_22:6,BMP 16:1_16:1,BMP 16:1_20:4,BMP 16:1_20:5,BMP 16:1_22:6,BMP 18:0_18:1,BMP 18:0_18:2,BMP 18:0_20:4,BMP 18:0_20:5,BMP 18:1_18:1,BMP 18:1_18:2,BMP 18:1_18:3,BMP 18:1_20:4,BMP 18:1_20:5,BMP 18:1_22:6,BMP 18:2_18:2,BMP 18:2_18:3,BMP 18:2_20:4,BMP 18:2_20:5,BMP 18:2_22:5,BMP 18:2_22:6,BMP 18:3_22:5,BMP 18:3_22:6,BMP 20:4_20:4,BMP 20:4_20:5,BMP 20:5_22:5,BMP 20:5_22:6,BMP 22:5_22:6,BMP 22:6_22:6,PG 16:0_16:0,PG 16:0_16:1,PG 16:0_18:0,PG 16:0_18:1,PG 16:0_18:2,PG 16:0_18:3,PG 16:0_20:4,PG 16:0_22:6,PG 16:1_16:1,PG 16:1_20:4,PG 16:1_22:6,PG 18:0_18:0,PG 18:0_18:1,PG 18:0_18:2,PG 18:0_18:3,PG 18:0_20:4,PG 18:1_18:1,PG 18:1_18:2,PG 18:1_18:3,PG 18:1_20:4,PG 18:1_20:5,PG 18:1_22:6,PG 18:2_18:2,PG 18:2_18:3,PG 18:2_20:4,PG 18:2_22:5,PG 18:2_22:6,PG 18:3_18:3,PG 18:3_22:5,PG 18:3_22:6,PG 20:4_20:4,PG 20:4_20:5,PG 20:5_20:5,PG 20:5_22:6,PG 22:5_22:5,PG 22:5_22:6,PG 22:6_22:6,Total_BMP,Total_PG
8,47,20,Cold,Male,WT,Young,2,0.05082236049779205,0.012811120032115616,0.08304616619831394,0.34249799277398635,0.2990305098354074,0.010911882778000802,0.06210758731433159,0.4347645523885989,0.011653753512645523,0.05475331192292253,0.04400220794861501,0.8104269369731032,0.20344841429144922,0.0074987956643918115,0.10880088317944601,0.027152348454435968,4.76834704937776,7.518174026495384,0.19910317141710154,2.2209195102368526,0.6094094741067844,14.148824367723805,0.3206742272179847,0.23145764753111198,1.3248643115214773,0.5382079486150141,0.5169905660377359,18.708666599759134,0.01649759132878362,1.2964197109594542,0.719269570453633,0.5142236049779204,0.14283721397029306,1.2563364110798876,1.4932900441589723,0.09467703733440384,0.0799112806101967,4.45563528703332,0.595291047771979,15.531360698514652,33.49784765154556,0.29890525893215575,14.176064030509835,0.933064431955038,0.04935668406262546,0.03898976314733039,0.02365736651947009,0.3111750301083902,5.152278402248093,25.234168807707746,0.1369871537535126,0.5431372942593337,0.2154761140104376,0.87420734644721,0.03143677238057005,1.3578926134082698,0.012110798875953432,0.13789943797671617,0.10889060618225614,0.017393617021276595,0.1922511039743075,1.7584552388598955,0.19616459253311921,0.04017663588920112,NA,0.21600361300682458,0.014607386591730229,0.04396728221597752,0.03432537133681253,0.07938257727820153,0.09395744680851063,0.029356282617422718,0.8955969490164593,59.20291890806905,107.4073819751104
9,47,21,Cold,Male,WT,Young,2,0.06182608695652173,0.013713278495887191,0.08783960047003524,0.16518096357226789,0.2307291421856639,0.008583431257344301,0.05649471210340774,0.38508636897767334,0.030343713278495887,0.07319447708578143,0.06441304347826086,1.1174477085781434,0.21306991774383074,0.011423031727379553,0.09261574618096356,0.02933431257344301,4.991298472385428,6.155733254994124,0.21318801410105756,1.9661186839012923,0.6017397179788483,13.573945945945946,0.304048178613396,0.20665276145710926,1.1702849588719153,0.45472267920094,0.5000317273795535,14.909652173913042,0.013197414806110457,1.3067414806110456,0.6675428907168036,0.5215440658049354,0.1563813160987074,1.1796509988249118,1.3234952996474734,0.08250528789659224,0.13514159811985899,9.73004759106933,0.8244935370152761,26.00277555816686,23.23488072855464,0.434957696827262,18.8769776733255,1.3557937720329023,0.12727203290246766,0.08500822561692126,0.04122502937720328,0.37927379553466506,7.21113866039953,26.408487661574615,0.1479171562867215,0.6701780258519389,0.30605816686251464,0.7927115158636898,0.04274735605170388,1.6908231492361925,0.015576968272620445,0.2368842538190364,0.16849823736780256,0.0255599294947121,0.3324870740305523,2.0309065804935367,0.23626909518213865,0.031262044653349,NA,0.2418008225616921,0.020583431257344298,0.05029318448883666,0.050821974148061104,0.07767038777908342,0.14007755581668624,0.02765158636897767,1.2111633372502935,52.93977085781433,123.39541539365452
10,47,22,Cold,Male,WT,Young,2,0.06259826703426545,0.014350728633320204,0.08576762504923197,0.19232788499409212,0.2211345017723513,0.00915183142969673,0.05576408034659315,0.37811047656557695,0.01704174871996849,0.05734915320992516,0.06688735722725482,0.9650399763686489,0.15273178416699487,0.005423395037416305,0.08327097282394644,0.02458251280031508,3.8545226467113034,5.677532493107522,0.19405651831429693,1.7338777077589602,0.5649759747932257,12.484372390705001,0.29835584875935406,0.23431252461599053,1.084210515951162,0.4885486411973217,0.4150191020086648,15.618257581725087,0.01913903111461205,1.5358062229224105,0.5791677825915714,0.5899714454509649,0.1758438361559669,1.379274517526585,1.2433599842457659,0.07531134304844427,0.1178099645529736,6.761850531705396,0.7620838912957857,22.0358335959039,24.275406262307996,0.4020401732965735,16.36667900748326,1.1754423001181566,0.11497065773926742,0.07772705789680975,0.024408822371012207,0.34136372587632924,6.314373769200473,24.799618156754626,0.11760319023237495,0.59147617172115,0.24073552579755808,0.6715799527372981,0.04676998818432453,1.3938255218589994,0.02706853091768413,0.20770598660890113,0.17561224891689642,0.021206774320598656,0.3763304450571091,1.704743796770382,0.21994170933438362,0.03232355257975581,NA,0.1507857424182749,0.021262898779046864,0.04122843639228042,0.04985978731784167,0.08521287908625444,0.1427439936983064,0.025806025994486018,0.9195714848365499,50.63744840488381,110.83300256006301
11,47,23,Cold,Male,WT,Young,2,0.0912911622276029,0.011390435835351088,0.1175544794188862,0.46204600484261493,0.24257990314769973,0.00411319612590799,0.06587953995157385,0.38880569007263915,0.011307506053268765,0.05265496368038741,0.0614818401937046,0.7851924939467311,0.2074182808716707,0.007447336561743341,0.10498849878934625,0.02385593220338983,4.415234866828087,5.921071428571428,0.1376277239709443,2.1900466101694915,0.5315653753026633,12.592274213075058,0.18954237288135592,0.14435048426150118,1.080135593220339,0.4141749394673123,0.36512590799031475,14.759000605326877,0.012751815980629537,1.8596507263922517,0.8114394673123486,0.9161107748184018,0.2020605326876513,1.0993462469733655,1.9502518159806292,0.11647639225181597,0.13581719128329298,6.962820823244552,0.47492554479418886,22.228632566585954,47.10041888619854,0.25149757869249395,16.733255447941886,0.8834358353510895,0.0878365617433414,0.05293765133171913,0.017616222760290557,0.3183238498789346,6.450475786924939,21.29815920096852,0.15597820823244551,0.5915799031476997,0.3237899515738499,1.1202276029055689,0.028188256658595638,1.5378613801452783,0.006630750605326876,0.180772397094431,0.2036700968523002,0.003646489104116223,0.393068401937046,1.821800847457627,0.0972324455205811,0.06587409200968523,NA,0.2944110169491525,0.014869249394673122,0.04809927360774818,0.043509685230024214,0.059781476997578686,0.12403389830508474,0.028634987893462468,0.7491900726392252,52.346245157384985,130.88900363196123
12,47,24,Cold,Male,WT,Young,2,0.13079480769230767,0.015280961538461537,0.12406442307692307,0.7113351923076923,0.3012928846153846,0.005696538461538461,0.06676846153846153,0.40338,0.027301730769230773,0.06801403846153846,0.06162346153846154,1.0175665384615384,0.27623942307692306,0.02607576923076923,0.09044076923076923,0.017821153846153844,4.622013461538462,6.6861375,0.18299249999999997,1.9346371153846154,0.3903346153846154,13.401490384615386,0.1571330769230769,0.1948938461538461,0.9442817307692307,0.37051500000000004,0.3363698076923077,15.413147307692308,0.012396346153846152,1.648965,0.6997246153846154,0.5748940384615385,0.12304788461538461,0.8173153846153846,1.890615,0.09231346153846154,0.13557865384615383,6.981860769230769,0.28966096153846155,18.231771923076924,50.77573846153847,0.18010384615384614,13.075106538461538,0.68232,0.10128634615384616,0.03826961538461538,0.01649596153846154,0.22730365384615384,4.974614423076923,15.621158076923077,0.14680903846153845,0.5208848076923076,0.2962286538461538,1.34343,0.025388076923076923,1.2896267307692308,0.0065555769230769235,0.10155865384615384,0.16164403846153846,0.007626923076923077,0.3115032692307692,1.3632611538461537,0.06560134615384615,0.050011153846153844,0.008262115384615383,0.26599442307692306,0.013856538461538464,0.03216403846153846,0.012990576923076922,0.04463134615384615,0.11900365384615386,0.01989807692307692,0.5719275,53.83691423076923,118.11012692307693
13,47,25,RT,Female,WT,Young,2,0.07802968568102445,0.005590221187427241,0.06215133876600699,0.14771944121071012,0.20528870779976716,0.0015814901047729918,0.08529627473806752,0.2133556461001164,0.004257275902211874,0.040934225844004656,0.034669383003492434,0.37499010477299183,0.1669115250291036,0.007318393480791619,0.11879569266589057,0.026261932479627475,6.180238067520372,6.507142025611175,0.09922759022118742,2.4583690337601865,0.5571088474970896,10.68157101280559,0.1274732246798603,0.06550756693830036,0.9689278230500583,0.41516763678696156,0.42536786961583234,10.035502328288707,0.004674039580908033,0.9138242142025612,0.5914901047729918,0.6028568102444704,0.21943073341094296,1.1231990686845168,1.2642223515715947,0.1403218859138533,0.15793073341094294,9.029112922002328,0.7535628637951105,17.735363795110594,15.143672875436554,0.42577182770663563,26.73346332945285,1.3237275902211874,0.1236792782305006,0.01998079161816065,0.01912689173457509,0.46729627473806745,4.167466821885914,15.392193830034925,0.20675436554132712,0.5471402793946449,0.21605355064027942,0.33526891734575087,0.041683934807916184,1.7596973224679857,0.014825378346915018,0.18599359720605355,0.19570779976717112,0.00540337601862631,0.6836006984866123,1.5817811408614666,0.03339871944121071,0.08864144353899883,0.01567811408614668,0.697278812572759,0.00990279394644936,0.04913504074505238,0.06276949941792782,0.13649126891734575,0.209313736903376,0.01780267753201397,1.2279813736903376,44.95477357392317,99.81465366705471
14,47,26,RT,Female,WT,Young,2,0.10635960874568469,0.00886133486766398,0.08243153049482163,0.14261219792865362,0.1668210586881473,0.003605293440736479,0.08067146144994246,0.25167433831990793,0.008135212888377446,0.036399884925201374,0.035140391254315305,0.6437560414269274,0.1693561565017261,0.005588607594936708,0.09991829689298044,0.02937744533947066,4.863313003452244,5.058901035673188,0.09643901035673187,2.193216915995397,0.47205753739930956,11.317531070195628,0.1374108170310702,0.06959838895281932,0.8422019562715765,0.2887387802071346,0.39947928653624853,8.780224395857307,0.009299194476409667,0.7365310701956271,0.6174902186421174,0.47561795166858456,0.14363866513233603,1.2299493670886075,1.5663774453394705,0.10220771001150748,0.1959211737629459,14.05912658227848,0.7025350978135787,23.37873935558113,12.525881472957423,0.5341611047180667,29.80150920598389,1.5005811277330263,0.15477502876869964,0.044825661680092055,0.032928653624856155,0.5133929804372842,5.53227330264672,15.650907940161106,0.28573647871116226,0.7192117376294591,0.2650667433831991,0.3707917146144994,0.04458227848101266,2.3430753739930954,0.011244533947065592,0.20551380897583427,0.18867491369390102,0.017094361334867664,0.7321311852704258,1.4943860759493672,0.03713924050632911,0.09134982738780206,NA,0.7247405063291139,0.015002876869965478,0.06547123130034523,0.06107710011507479,0.12093498273878019,0.29900057537399305,0.030798619102416568,1.4709752589182967,41.270932681242805,114.22155811277331
15,47,27,RT,Female,WT,Young,2,0.07709635627530365,0.0074848178137651815,0.08591902834008097,0.3053192307692308,0.1592344129554656,0.0015188259109311741,0.07050303643724697,0.17778279352226722,0.0026744939271255057,0.027829554655870448,0.011160728744939273,0.3207018218623482,0.213415991902834,0.005382995951417004,0.11283704453441297,0.018838056680161943,4.817282793522267,5.4361123481781375,0.07656194331983807,2.364119028340081,0.4146461538461539,10.4141495951417,0.1695917004048583,0.04351761133603239,0.8409759109311741,0.2651259109311741,0.3061463562753037,8.138376315789474,0.007714372469635628,0.3391427125506073,0.6326137651821863,0.23629676113360326,0.06593016194331984,0.8843787449392713,1.1254864372469635,0.10116923076923076,0.13062874493927126,5.045342914979757,0.383382995951417,15.739634210526315,27.067997975708504,0.2954842105263158,16.0587516194332,0.9120346153846154,0.1105912955465587,0.018446963562753035,0.016095546558704453,0.3040742914979757,2.4118955465587044,11.210443724696358,0.18705910931174088,0.49629230769230775,0.19358441295546558,0.5487534412955466,0.0257082995951417,1.153099190283401,0.007545546558704453,0.12175020242914981,0.12532408906882592,0.009386234817813765,0.4031878542510121,0.7306062753036436,0.0131331983805668,0.050644736842105256,NA,0.4704157894736842,0.003578137651821862,0.05191275303643724,0.03906072874493927,0.10391356275303644,0.16214028340080971,0.025189676113360326,0.5808036437246963,38.27703704453441,85.20789412955466
16,47,28,RT,Female,WT,Young,2,0.05146524367208159,0.0038687193048734417,0.08110030222893842,0.11592727616169247,0.16004948998866642,0.0013095957687948622,0.05939195315451455,0.18305270117113717,0.0028180959576879485,0.027418775972799396,0.013595768794862108,0.24012806951265583,0.19022629391764265,0.009918587079712882,0.09986248583301852,0.018001700037778616,6.055694370986022,5.61977465054779,0.06310086890819795,2.0179437098602193,0.3952174159425765,9.659300717793728,0.16121401586701925,0.0332159047978844,0.7376673592746505,0.21347941065357007,0.3270198337740839,7.824537211938043,0.005644125425009445,0.31408311295806574,0.5326445032111825,0.24563562523611637,0.0777002266717038,0.8159863996977711,1.336613335851908,0.09224971666037024,0.18907140158670194,6.484834340763128,0.9173131847374386,24.49762429165093,11.572442198715526,0.3196212693615414,26.243291084246316,1.2041747261050246,0.14840026445032112,0.030766150358896866,0.024703815640347564,0.4986278806195694,5.707625802795618,19.290557045712127,0.4891813373630525,0.889550434454099,0.37623252738949753,0.4050527011711372,0.04425028333962977,1.9596023800528901,0.013221760483566302,0.18594843218738194,0.9111244805440121,0.0035859463543634305,0.49139875330562904,1.6510421231582926,0.0797334718549301,0.056050245561012464,0.015570079335096335,0.8450525122780507,0.01080827351718927,0.06068171514922554,0.048598413298073295,0.14821722704949,0.4270296562145825,0.0596826596146581,1.3616713260294673,37.78685757461277,107.66234019644881
17,47,29,RT,Female,WT,Young,2,0.11583198216457234,0.006026753141467368,0.1453291447101743,0.2901828131333603,0.16726003242805026,0.0020533036076205917,0.06252817186866638,0.20514552087555737,0.003009120389136603,0.02277057154438589,0.010522496959870287,0.26013538710985,0.2315174300770166,0.004296311309282529,0.08773753546817997,0.017934941224158896,5.04912221321443,5.580470004053505,0.05902715849209566,1.9938307661126873,0.34995176327523303,10.24663437373328,0.1945871503850831,0.03147446291041751,0.6666670044588568,0.22311937576003243,0.2863236724766923,6.9647067288204285,0.005431495743818402,0.2775516822051074,0.5164602756384272,0.23117146331576813,0.08127665180381029,0.7673348196189702,1.143606201864613,0.10575516822051073,0.21040008107012564,7.396817389541953,0.7134625050668827,29.99318828536684,28.432515808674502,0.339680989055533,24.964402107823265,1.208531820024321,0.1420780299959465,0.04012241588974462,0.010074381840291852,0.38661937576003236,3.5796049858127277,12.888756992298335,0.3443804215646534,0.8698790028374543,0.30885346574787187,0.6045486420753952,0.03975820835022294,1.6076029590595864,0.01310052695581678,0.16988548844750706,0.18564916903121198,0.006594041345764085,0.6840614106201864,0.8696680178354276,0.019972436157276043,0.09673388731252533,NA,0.906564856100527,0.009183015808674503,0.07021179570328333,0.05066862586137008,0.11825618159708147,0.2475224969598703,0.03910154033238751,0.7590237130117551,36.40678394811511,118.32747507093634
