Sample,ID,BMP 16:0-16:0 Results,BMP 16:0-16:1 Results,BMP 16:0-18:0 Results,BMP 16:0-18:1 Results,BMP 16:0-18:2 Results,BMP 16:0-18:3 Results,BMP 16:0-20:4 Results,BMP 16:0-22:6 Results,BMP 16:1-16:1 Results,BMP 16:1-20:4 Results,BMP 16:1-20:5 Results,BMP 16:1-22:6 Results,BMP 18:0-18:0 Results,BMP 18:0-18:1 Results,BMP 18:0-18:2 Results,BMP 18:0-18:3 Results,BMP 18:0-20:4 Results,BMP 18:0-20:5 Results,BMP 18:1-18:1 Results,BMP 18:1-18:2 Results,BMP 18:1-18:3 Results,BMP 18:1-20:4 Results,BMP 18:1-20:5 Results,BMP 18:1-22:6 Results,BMP 18:2-18:2 Results,BMP 18:2-18:3 Results,BMP 18:2-20:4 Results,BMP 18:2-20:5 Results,BMP 18:2-22:5 Results,BMP 18:2-22:6 Results,BMP 18:3-18:3 Results,BMP 18:3-22:5 Results,BMP 18:3-22:6 Results,BMP 20:4-20:4 Results,BMP 20:4-20:5 Results,BMP 20:5-22:5 Results,BMP 20:5-22:6 Results,BMP 22:5-22:6 Results,BMP 22:6-22:6 Results,PG 16:0-16:0 Results,PG 16:0-16:1 Results,PG 16:0-18:0 Results,PG 16:0-18:1 Results,PG 16:0-18:2 Results,PG 16:0-18:3 Results,PG 16:0-20:4 Results,PG 16:0-20:5 Results,PG 16:0-22:6 Results,PG 16:1-16:1 Results,PG 16:1-20:4 Results,PG 16:1-20:5 Results,PG 16:1-22:6 Results,PG 18:0-18:0 Results,PG 18:0-18:1 Results,PG 18:0-18:2 Results,PG 18:0-18:3 Results,PG 18:0-20:4 Results,PG 18:0-20:5 Results,PG 18:1-18:1 Results,PG 18:1-18:2 Results,PG 18:1-18:3 Results,PG 18:1-20:4 Results,PG 18:1-20:5 Results,PG 18:1-22:6 Results,PG 18:2-18:2 Results,PG 18:2-18:3 Results,PG 18:2-20:4 Results,PG 18:2-20:5 Results,PG 18:2-22:5 Results,PG 18:2-22:6 Results,PG 18:3-18:3 Results,PG 18:3-22:5 Results,PG 18:3-22:6 Results,PG 20:4-20:4 Results,PG 20:4-20:5 Results,PG 20:5-20:5 Results,PG 20:5-22:5 Results,PG 20:5-22:6 Results,PG 22:5-22:5 Results,PG 22:5-22:6 Results,PG 22:6-22:6 Results
05_dMRM_neg_050623_0021.d,5,11.8061,0.7053,7.6544,102.5285,22.8111,0.3281,12.114,36.8427,0.6312,5.8019,2.3167,66.5358,0.1514,27.6945,1.968,0.2948,20.5095,4.7998,405.9195,851.2644,14.8813,404.1438,94.9272,1978.6274,31.0888,7.706,137.0355,43.2512,77.3593,1646.3905,,1.5936,53.7199,118.997,49.7036,19.4169,233.9258,172.1227,16.606,4.4568,389.7022,29.957,779.4627,4625.0505,25.499,1270.4236,,82.3493,6.0884,2.618,,1.3206,17.4895,158.9003,1186.5086,11.3173,22.4729,,7.1285,86.7611,2.7306,92.3262,0.83,14.3867,5.6351,0.5175,29.0753,0.4119,50.5057,1.8036,4.7327,,34.022,0.813,2.4433,3.3107,,6.3511,19.8616,1.6083,82.5138
07_dMRM_neg_050623_0022.d,7,11.153,1.779,6.1877,93.6786,32.369,1.0452,10.0276,53.3328,3.7638,10.9377,9.6291,169.5102,1.1253,38.3642,4.7314,1.052,15.7948,5.045,479.4382,959.3952,29.1933,319.5432,117.5183,1959.7213,20.0888,24.4902,145.8595,64.8213,81.8234,1875.4464,,1.6564,145.4097,116.5602,96.7432,36.8949,210.1192,117.4057,11.5806,5.6955,428.2844,15.7676,749.6041,4429.8734,20.498,1012.7058,,97.9916,11.1586,3.9102,,2.4778,21.6465,294.5035,1393.0503,7.8755,31.8109,,16.0354,159.3165,2.705,113.8459,1.7285,18.9362,11.8083,0.8061,27.3472,0.4648,70.1078,7.9089,3.8512,,28.897,1.22,2.3767,4.805,,4.2411,11.1403,0.8133,83.8782
02_dMRM_neg_050623_0023.d,2,8.9137,0.4853,6.5728,74.5911,15.9811,0.1972,8.7646,26.108,0.2843,3.2253,1.6888,44.2989,0.025,20.9479,1.2975,0.0345,11.9026,2.5819,275.1102,574.3483,9.6954,243.0882,59.8509,1350.8714,20.8853,5.8421,91.7602,29.6844,48.7562,1258.0254,,0.7698,41.7443,70.359,30.5189,11.3949,177.0138,139.2776,11.768,5.2221,315.3134,32.2306,871.2955,4258.9858,24.6514,927.4298,,80.0447,6.7757,1.7775,,1.6521,18.2668,162.9112,1003.6104,9.0031,22.5534,,8.8258,83.586,2.4943,75.4011,0.7772,12.6012,8.8809,0.9438,21.0824,0.5447,62.9965,3.6176,2.8564,,27.2476,0.5441,1.931,2.5418,,6.8213,18.3457,1.4024,79.44
08_dMRM_neg_050623_0024.d,8,11.0056,0.9966,6.2739,105.2228,28.2415,0.6919,7.0199,44.867,0.7177,4.001,4.8974,52.7086,1.4047,52.1889,7.6246,1.1312,11.5219,3.2506,272.08,712.0823,14.9156,228.2673,74.539,1327.2559,19.8676,12.0914,111.5882,47.981,58.042,1275.7494,,1.0129,148.0588,84.6948,112.727,44.9443,125.5947,109.1133,11.4442,5.1214,250.0111,33.2579,761.8753,5639.3839,14.8113,1552.6169,,79.6812,4.3905,2.0873,,0.8212,20.0229,314.867,1750.5549,17.0057,51.2765,,11.8826,146.4091,1.6038,117.1857,0.9594,10.4499,13.0231,0.3815,36.6006,0.4654,59.5324,6.3605,5.2459,,36.8679,0.6815,2.6974,2.1269,,3.6068,9.6563,0.9623,78.143
01_dMRM_neg_050623_0026.d,1,10.0449,0.733,6.8659,109.3312,20.0368,0.4313,8.6011,37.0199,0.2328,3.6144,2.6528,53.8826,0.3504,20.6095,2.4063,0.2296,13.0502,3.2006,286.5007,620.5006,12.5285,269.9209,73.579,1401.3352,34.1515,10.1024,113.7048,37.2268,56.5411,1337.8457,,1.3129,90.194,87.1277,60.0252,22.3485,158.0693,168.5353,12.5282,4.9251,301.0165,25.7507,779.7914,7117.1564,26.1713,955.857,,81.5885,6.1082,2.5875,,1.5271,16.2092,177.0011,1084.0929,10.2754,22.9915,,7.4906,152.3484,2.4662,81.0749,0.893,13.4313,12.4111,0.7193,35.9231,0.5371,70.5044,4.3074,4.0723,,24.9869,1.0896,2.4938,2.312,,4.6282,13.1929,1.6172,82.7357
03_dMRM_neg_050623_0028.d,3,8.6871,0.6405,9.2182,72.0171,16.1993,0.2476,7.6031,31.9615,0.5731,4.0498,2.4279,66.533,0.6509,33.1271,2.417,0.7871,11.7813,3.9036,348.0674,615.4175,12.042,251.9906,82.9571,1516.8371,18.6376,6.6452,89.9012,37.1514,59.5932,1219.6243,,1.4769,46.8552,67.2858,36.685,21.8217,223.3491,182.3011,12.3397,8.7257,537.8603,26.7344,1332.4657,4792.2112,33.9454,1058.5833,,96.9319,8.1222,2.0076,,2.7112,27.2823,183.3046,835.2217,10.2252,27.7351,,12.6288,93.582,2.7877,80.6523,0.9891,15.5966,14.19,0.9774,26.9889,0.2293,77.6985,4.4355,3.1821,,26.9061,0.8589,2.6944,5.2187,,7.8046,21.9226,1.8341,128.5345
12_dMRM_neg_050623_0029.d,12,12.4913,2.8889,6.3696,147.7533,42.2584,1.518,11.0792,66.8857,4.1588,9.74,10.3316,158.855,1.7584,51.4886,12.4298,1.6488,17.6987,5.6899,478.019,1064.8089,31.8683,383.9818,121.7455,1928.9419,21.2548,28.6355,177.4218,71.1597,88.7725,1916.0067,,2.0412,178.7168,137.3242,130.944,44.5918,178.3815,154.9077,11.9782,5.6954,340.5136,17.8812,726.3993,6053.0755,15.1003,999.8735,,77.6097,6.9764,4.5768,,1.7586,19.6471,267.7766,1206.3807,11.204,34.0571,,16.0125,230.8207,2.0249,112.8887,1.0521,17.597,11.056,0.6471,14.1517,0.7689,76.1022,6.2992,3.0322,,20.5095,1.2373,1.9962,2.3493,,3.3673,7.8723,1.4336,79.5943
11_dMRM_neg_050623_0030.d,11,10.1422,1.0723,6.3975,97.0103,30.63,0.4806,7.3261,48.5239,1.2184,5.5367,6.0944,81.0324,0.4399,26.7354,3.2423,0.6242,12.0363,3.3619,281.5693,761.6851,18.3668,257.7441,71.6966,1514.9853,28.2471,15.7006,119.2267,48.1537,50.2756,1443.3361,,1.5881,145.8814,89.0126,96.4524,34.8399,136.5701,106.1676,11.2924,4.0136,246.1912,25.6107,677.0442,4750.883,13.1262,1067.6924,,69.9531,4.8652,3.2218,,1.355,15.8612,268.5125,1505.6257,14.9612,37.4663,,10.9804,159.7717,1.9522,107.3356,0.7189,12.6294,10.7721,0.8217,21.0091,0.4562,54.0796,9.1701,4.1902,,23.4285,0.8355,2.0624,2.0664,,3.7786,8.2148,1.0512,58.4915
04_dMRM_neg_050623_0031.d,4,10.6527,1.2343,7.4962,120.8585,24.1112,0.374,11.1462,46.1588,0.9559,6.1861,2.6709,96.5632,0.454,34.1799,4.1261,0.8944,16.7125,4.2793,528.5238,836.2867,16.6951,379.9956,94.1953,1838.6911,15.9199,7.9981,122.3637,30.8742,62.2216,1472.9915,,1.2729,56.3205,105.6188,41.022,15.5978,162.5927,299.9581,12.3853,6.5762,580.3956,29.1144,1168.3885,6393.344,22.8856,1055.4061,,80.1737,10.5612,3.0602,,1.9277,25.7665,264.4691,865.3591,9.3742,15.3488,,16.6503,198.2768,3.221,111.9413,1.2584,17.2697,68.9911,0.3835,32.4762,0.1559,132.7679,5.7435,5.8157,,36.1133,0.5736,2.8736,6.0838,,4.75,20.4232,1.7776,140.5213
09_dMRM_neg_050623_0035.d,9,13.4058,2.63,6.3476,140.8791,51.2076,1.6104,10.8743,79.3121,2.7444,8.0729,11.249,154.9134,0.4359,28.2969,4.119,0.3817,16.0938,5.3557,458.9354,1049.4234,31.4638,359.3493,108.8043,2122.9276,31.0254,33.4621,163.6699,65.366,71.8489,2243.8051,,2.4489,263.4118,117.3639,146.8155,49.6059,186.2726,10.7299,16.5231,4.203,298.2879,16.7965,591.0404,5632.0917,14.8788,1224.1022,,82.1733,5.2967,3.3512,,1.4002,14.0696,262.3515,1430.9793,11.7171,39.5899,,12.0048,192.4181,2.2792,122.0692,0.9023,13.9353,12.5568,1.2085,15.7863,0.8475,70.4514,6.9486,2.7584,,14.3272,0.9505,1.9361,2.4345,,3.1788,8.8931,1.2398,64.4015
