Sample,ID,BMP 16:0-16:0 Results,BMP 16:0-16:1 Results,BMP 16:0-18:0 Results,BMP 16:0-18:1 Results,BMP 16:0-18:2 Results,BMP 16:0-18:3 Results,BMP 16:0-20:4 Results,BMP 16:0-22:6 Results,BMP 16:1-16:1 Results,BMP 16:1-20:4 Results,BMP 16:1-20:5 Results,BMP 16:1-22:6 Results,BMP 18:0-18:0 Results,BMP 18:0-18:1 Results,BMP 18:0-18:2 Results,BMP 18:0-18:3 Results,BMP 18:0-20:4 Results,BMP 18:0-20:5 Results,BMP 18:1-18:1 Results,BMP 18:1-18:2 Results,BMP 18:1-18:3 Results,BMP 18:1-20:4 Results,BMP 18:1-20:5 Results,BMP 18:1-22:6 Results,BMP 18:2-18:2 Results,BMP 18:2-18:3 Results,BMP 18:2-20:4 Results,BMP 18:2-20:5 Results,BMP 18:2-22:5 Results,BMP 18:2-22:6 Results,BMP 18:3-18:3 Results,BMP 18:3-22:5 Results,BMP 18:3-22:6 Results,BMP 20:4-20:4 Results,BMP 20:4-20:5 Results,BMP 20:5-22:5 Results,BMP 20:5-22:6 Results,BMP 22:5-22:6 Results,BMP 22:6-22:6 Results,PG 16:0-16:0 Results,PG 16:0-16:1 Results,PG 16:0-18:0 Results,PG 16:0-18:1 Results,PG 16:0-18:2 Results,PG 16:0-18:3 Results,PG 16:0-20:4 Results,PG 16:0-20:5 Results,PG 16:0-22:6 Results,PG 16:1-16:1 Results,PG 16:1-20:4 Results,PG 16:1-20:5 Results,PG 16:1-22:6 Results,PG 18:0-18:0 Results,PG 18:0-18:1 Results,PG 18:0-18:2 Results,PG 18:0-18:3 Results,PG 18:0-20:4 Results,PG 18:0-20:5 Results,PG 18:1-18:1 Results,PG 18:1-18:2 Results,PG 18:1-18:3 Results,PG 18:1-20:4 Results,PG 18:1-20:5 Results,PG 18:1-22:6 Results,PG 18:2-18:2 Results,PG 18:2-18:3 Results,PG 18:2-20:4 Results,PG 18:2-20:5 Results,PG 18:2-22:5 Results,PG 18:2-22:6 Results,PG 18:3-18:3 Results,PG 18:3-22:5 Results,PG 18:3-22:6 Results,PG 20:4-20:4 Results,PG 20:4-20:5 Results,PG 20:5-20:5 Results,PG 20:5-22:5 Results,PG 20:5-22:6 Results,PG 22:5-22:5 Results,PG 22:5-22:6 Results,PG 22:6-22:6 Results
07_iso_dMRM_neg_050423_0028.d,7,0.7224,,43.3072,22.8289,5.0362,,3.0104,10.4873,,8.1291,7.1116,60.5151,,14.5213,0.5543,0.3178,3.7733,2.9356,207.7074,182.551,8.161,94.3146,41.382,318.9611,26.1529,12.544,76.1214,57.2137,26.2591,468.3414,,3.5219,55.2661,53.9841,62.4192,15.6419,79.6694,46.0263,4.8276,380.2302,395.637,64.9008,24751.2489,6903.355,150.4604,493.861,,252.3539,79.4083,65.1611,,0,62.8535,511.0555,2361.8676,12.4983,248.8515,,282.8405,259.5233,,16.0903,,23.1125,67.7969,,25.4811,,168.3363,156.8695,5.2166,,167.0277,,391.2926,,,,,,130.6681
03_iso_dMRM_neg_050423_0029.d,3,5.8259,,42.859,73.2065,17.9735,,12.8523,11.6204,,15.0916,14.2851,42.5886,0,20.3164,2.326,0.5889,16.7779,5.2862,774.635,686.7985,18.7988,354.4852,130.6237,433.3058,23.2467,15.64,240.2534,193.466,47.889,508.1104,,2.4736,52.086,196.786,242.0085,66.5773,118.8583,75.2768,10.3781,150.1304,755.0998,23.5845,17853.4083,8836.0816,37.8397,896.8151,0,99.8628,70.9364,18.7367,,0,18.312,163.257,588.4251,52.9661,114.9311,,177.8603,206.4078,,129.463,,20.3576,42.7628,,92.8018,,464.7203,29.8027,12.9296,,99.6537,,223.5848,0,,0,,0,181.214
05_iso_dMRM_neg_050423_0031.d,5,7.53,0,27.8159,58.5076,8.4008,0,2.7912,12.151,0,3.7038,5.0843,45.7511,0,23.8143,4.6986,1.1636,4.4333,1.7249,174.529,329.6165,9.8462,106.6741,31.3201,539.4129,16.9998,7.4552,69.1818,41.2099,28.698,552.1474,,1.3297,65.9967,38.0803,50.9339,16.9543,49.9484,66.2139,6.5996,82.4249,1578.504,19.9643,11416.0196,14696.3859,39.3454,1607.4565,0,116.8467,27.5604,8.9111,,0,11.9913,205.9917,988.276,44.1353,89.4501,,109.921,368.726,0,195.0866,0,9.5508,68.9919,0,88.767,,159.4886,9.3931,7.3805,0,38.3902,0,26.445,0,,0,0,0,102.4149
06_iso_dMRM_neg_050423_0032.d,6,0.7299,,46.4059,23.0623,6.4358,,2.3958,5.0429,,6.1036,4.9651,50.8127,0,17.5744,3.2985,0.7504,3.4616,1.2265,251.497,186.3339,10.3257,96.0476,42.8706,321.9663,24.9309,12.1739,89.0074,68.7562,25.4688,481.4697,,1.786,58.7636,76.0431,74.7358,13.3496,73.1115,46.9719,4.0103,164.6722,335.9011,50.0735,25733.4556,5700.5167,105.1208,333.0214,,155.9531,75.1729,29.2098,,,34.4327,477.2342,1597.897,8.3884,190.7031,,359.1263,173.5003,,52.9953,,22.5173,46.9697,,16.9908,,270.3216,148.9213,26.9835,,231.4996,,460.2726,,,0,,0,172.1546
02_iso_dMRM_neg_050423_0033.d,2,3.8634,,53.2402,26.8042,8.0658,,6.7943,16.7736,,4.9191,9.2876,47.3788,,30.1189,10.808,0.8113,5.6117,4.2617,368.7626,216.3559,17.9485,111.3448,66.1382,482.7441,38.662,7.182,94.5121,161.9989,49.2512,574.9486,,3.9682,42.5878,57.7116,76.2269,59.7271,152.6123,53.1816,18.8625,187.1262,223.9187,82.7984,30307.4704,8038.7257,102.0068,730.607,,96.9834,105.7163,86.9219,,,28.295,428.509,2175.6907,28.1039,372.9143,,389.7829,186.662,0,66.0283,,3.4779,28.3067,,67.0923,,222.2789,82.2053,21.1385,,311.3351,,423.1892,0,,,,0,379.4247
08_iso_dMRM_neg_050423_0034.d,8,11.3813,0,27.836,56.4655,7.1838,,3.7588,8.519,0,4.6543,5.844,34.5735,0,16.6049,4.1626,0.5841,5.8787,2.0375,167.2623,289.1741,8.5451,124.2957,41.1335,326.7246,15.9863,5.0456,69.0231,49.4078,29.8934,230.5908,,1.7016,25.1295,44.1926,68.6064,33.7419,38.4436,33.5512,3.886,92.8007,2326.3911,16.3525,10374.9371,11295.8008,37.5708,1751.2332,0,89.6582,59.8212,10.5048,,,15.5421,169.8807,803.5565,59.7075,104.108,,94.1769,299.2969,0,176.4427,,7.6487,68.2845,,67.3703,,109.9943,10.0838,5.3264,,32.2815,,35.0576,,,0,0,0,119.5956
04_iso_dMRM_neg_050423_0035.d,4,6.0979,,27.089,58.0091,8.137,,3.8969,6.1322,,1.9272,2.3105,13.3081,0,18.0394,4.9287,0.9199,4.858,1.5245,164.1193,285.5911,4.062,114.0909,27.3436,282.7149,18.3526,2.9276,52.1428,49.9436,21.6439,238.5532,,1.0862,27.2367,42.3232,52.6753,24.8701,32.8691,48.1924,6.6154,76.1662,1174.9975,22.9259,11249.3498,13895.4092,42.7507,1560.8586,0,110.4021,34.7352,4.4068,,,12.0516,149.3774,579.2737,54.8643,84.5704,,105.8346,299.8032,0,162.6644,,10.8604,69.7689,0,97.2529,0,130.1069,9.3213,8.9228,,43.571,,28.9069,0,,0,0,0,86.2272
