Sample,ID,BMP 16:0-16:0 Results,BMP 16:0-16:1 Results,BMP 16:0-18:0 Results,BMP 16:0-18:1 Results,BMP 16:0-18:2 Results,BMP 16:0-18:3 Results,BMP 16:0-20:4 Results,BMP 16:0-22:6 Results,BMP 16:1-16:1 Results,BMP 16:1-20:4 Results,BMP 16:1-20:5 Results,BMP 16:1-22:6 Results,BMP 18:0-18:0 Results,BMP 18:0-18:1 Results,BMP 18:0-18:2 Results,BMP 18:0-18:3 Results,BMP 18:0-20:4 Results,BMP 18:0-20:5 Results,BMP 18:1-18:1 Results,BMP 18:1-18:2 Results,BMP 18:1-18:3 Results,BMP 18:1-20:4 Results,BMP 18:1-20:5 Results,BMP 18:1-22:6 Results,BMP 18:2-18:2 Results,BMP 18:2-18:3 Results,BMP 18:2-20:4 Results,BMP 18:2-20:5 Results,BMP 18:2-22:5 Results,BMP 18:2-22:6 Results,BMP 18:3-18:3 Results,BMP 18:3-22:5 Results,BMP 18:3-22:6 Results,BMP 20:4-20:4 Results,BMP 20:4-20:5 Results,BMP 20:5-22:5 Results,BMP 20:5-22:6 Results,BMP 22:5-22:6 Results,BMP 22:6-22:6 Results,PG 16:0-16:0 Results,PG 16:0-16:1 Results,PG 16:0-18:0 Results,PG 16:0-18:1 Results,PG 16:0-18:2 Results,PG 16:0-18:3 Results,PG 16:0-20:4 Results,PG 16:0-20:5 Results,PG 16:0-22:6 Results,PG 16:1-16:1 Results,PG 16:1-20:4 Results,PG 16:1-20:5 Results,PG 16:1-22:6 Results,PG 18:0-18:0 Results,PG 18:0-18:1 Results,PG 18:0-18:2 Results,PG 18:0-18:3 Results,PG 18:0-20:4 Results,PG 18:0-20:5 Results,PG 18:1-18:1 Results,PG 18:1-18:2 Results,PG 18:1-18:3 Results,PG 18:1-20:4 Results,PG 18:1-20:5 Results,PG 18:1-22:6 Results,PG 18:2-18:2 Results,PG 18:2-18:3 Results,PG 18:2-20:4 Results,PG 18:2-20:5 Results,PG 18:2-22:5 Results,PG 18:2-22:6 Results,PG 18:3-18:3 Results,PG 18:3-22:5 Results,PG 18:3-22:6 Results,PG 20:4-20:4 Results,PG 20:4-20:5 Results,PG 20:5-20:5 Results,PG 20:5-22:5 Results,PG 20:5-22:6 Results,PG 22:5-22:5 Results,PG 22:5-22:6 Results,PG 22:6-22:6 Results
04_dMRM_neg_050923_0042.d,4,268.6985,210.0714,142.5691,1286.7885,78.9117,3.6921,19.9993,234.6823,533.9374,51.819,21.4904,650.4009,41.4192,429.5187,7.0161,,24.6655,6.4454,23144.5206,1261.2405,65.2058,508.8648,111.4806,5954.3657,55.6569,,18.7839,5.9926,16.3435,208.4638,,2.9844,15.049,5.4042,2.3994,6.5826,32.0512,369.546,40.7881,352.1212,6098.2635,74.9812,18495.5521,354.4703,,2661.0606,16.0183,30.2269,252.5577,40.0534,,,258.4003,6571.0287,346.7766,59.0701,652.6715,,16044.1162,787.7741,31.9689,1377.0157,26.8975,57.8126,,8.3323,7.8287,,91.1755,,,,,,,,,,4.5161,,34.5237
10_dMRM_neg_050923_0062.d,10,729.199,380.2068,169.0702,3541.6586,136.8947,5.6983,30.3746,488.9012,473.512,49.6748,18.471,667.7382,81.9076,943.877,19.4643,,20.5585,6.5528,10490.8901,1105.1092,59.515,337.4509,109.4185,6455.222,40.6728,2.2591,15.9451,5.0199,,282.1182,,1.9848,17.2569,10.7149,3.8272,12.0188,37.0328,570.6696,55.4715,253.2936,11902.8745,138.4183,14025.5058,2451.1382,3.2986,8861.9883,15.6751,58.5883,134.3815,40.6707,3.1304,8.9986,247.2544,6826.8979,674.7919,101.3689,1087.1303,8.817,8841.3349,1632.0669,57.2721,2765.0361,27.7563,27.4266,9.14,5.46,13.3973,,117.5436,,,,,,,3.6198,,,7.6606,,350.8278
03_dMRM_neg_050923_0053.d,3,114.1811,247.531,205.6277,1383.1671,95.9285,2.6223,25.6733,389.1345,555.0124,61.9177,22.5247,827.0881,38.6855,383.0813,13.9557,,42.077,9.5815,34216.516,1659.8014,91.6541,589.8676,174.553,9694.1912,39.7839,,25.4139,8.9688,27.0186,396.0285,,5.8449,22.7816,8.8239,4.8635,13.2928,48.5772,622.2894,4.1186,136.7004,4258.3235,25.4376,19606.3053,460.8401,6.4902,2300.2111,19.0828,32.3947,228.6285,40.2721,,5.5196,205.6848,5359.7354,456.9001,40.9762,999.5682,11.5771,19386.6868,303.6433,41.4802,1206.4827,27.9879,14.5107,,7.4668,8.2727,,109.3783,,,,,,5.5266,,0,,4.2947,,53.1856
21_dMRM_neg_050923_0049.d,21,479.29,327.8476,152.8398,1416.7808,110.9165,3.9795,26.6426,357.5291,669.6041,64.0453,29.2644,867.1686,25.7187,233.6572,3.5852,,24.3162,5.4998,13728.5254,1210.2814,60.9497,325.6648,120.26,5667.4668,21.3717,5.1071,21.6196,8.3581,,318.4863,,4.2186,24.1344,15.1659,5.5222,12.2349,44.2353,498.7323,,496.6852,7630.928,105.7142,25593.8448,505.25,16.8307,4966.5618,35.7657,61.8743,298.1209,86.4715,,8.5003,191.2863,4782.5458,396.5922,74.7622,981.0234,21.8416,13227.8198,421.2681,219.972,1613.2929,55.1553,23.1295,,,,,176.9311,,,,,,9.7638,,,,5.8476,,37.383
22_dMRM_neg_050923_0059.d,22,81.1555,128.5302,131.0829,482.5341,43.4809,,12.5051,120.6829,420.6842,38.7793,20.1886,491.3699,12.77,152.2361,0.3144,,11.6638,3.4213,5671.3364,367.8089,22.4122,167.1303,60.8801,1931.82,32.1496,,10.3595,5.702,14.2877,155.3818,,1.4247,18.4159,5.4305,4.0623,8.4345,29.5421,247.8985,,463.973,1308.9247,144.026,19316.7172,177.2083,,851.3951,24.8156,23.9793,190.9347,61.2957,,,170.1247,4633.2252,262.139,14.3268,797.1352,,8231.6333,,90.8049,310.3609,28.9217,27.7646,,,,,89.1647,,,,,,,,,,1.629,,160.6184
17_dMRM_neg_050923_0064.d,17,1145.1308,402.3922,284.506,8838.8899,201.6986,,52.336,571.692,624.5623,75.238,23.2896,1068.9902,69.8183,868.7702,13.2691,,47.9798,10.2813,29213.7985,2305.4865,95.0966,842.613,181.5153,11047.5173,69.7479,5.0419,15.5051,10.8262,32.7147,374.0645,,6.6578,25.0787,22.8085,7.0878,17.8113,64.6731,1012.7326,24.2459,170.2497,4089.1697,39.1387,14575.3961,662.3325,,3914.5888,13.108,33.1156,101.6732,30.6891,,,169.3701,4442.6647,308.5237,53.9401,707.0131,,6648.3739,264.1337,88.8228,1355.5811,12.3159,54.3565,6.2892,,9.4304,,113.9915,0,,,,5.5044,5.5672,,,,7.129,,286.8865
01_dMRM_neg_050923_0034.d,1,117.9874,356.4494,214.3112,1653.4646,116.5669,7.2712,46.0375,598.0272,991.7729,77.1354,30.8447,1248.1244,40.4255,330.2333,30.3061,,64.5325,17.0644,56706.0444,2817.3236,170.1949,780.2525,283.141,16013.7271,116.075,7.4924,32.3209,13.5586,,627.4572,,7.199,29.4616,13.0094,4.3981,16.0234,73.8762,870.031,,75.2815,4285.9479,20.1777,15676.5176,231.9933,,2515.5665,20.1636,36.3775,277.7939,50.0003,,17.83,152.1957,3896.9618,414.5964,35.0365,902.9941,,21138.3894,862.2493,10.6691,1201.5221,25.3468,9.1753,,9.8234,7.7405,20.3236,113.762,,,,,22.0063,,6.5686,,,2.0254,,76.3672
08_dMRM_neg_050923_0041.d,8,321.7813,315.6289,194.9593,1251.0447,108.2859,,28.291,443.7722,674.464,63.4457,32.3965,1127.2247,27.781,256.7069,13.8854,,30.0726,8.1779,17252.1232,1051.7144,66.211,428.5647,166.5809,7189.0947,57.2658,4.6576,25.9986,11.3949,5.5581,428.5473,,6.4071,39.3465,15.5015,8.8961,21.7334,73.5646,885.5128,4.3915,311.7918,4579.9667,49.8125,20307.1508,328.4799,,4009.7903,23.1772,42.4535,229.1208,71.5394,,28.6396,141.6875,3712.2835,320.38,47.352,1097.9843,12.8494,9391.0864,627.9652,176.0722,1330.65,33.2649,30.2195,,17.4586,11.8036,,142.8936,,,,,,13.107,,,,9.3684,,53.2578
11_dMRM_neg_050923_0037.d,11,293.1395,278.3508,155.55,1262.586,108.2209,3.8062,32.2898,398.9794,480.5238,47.1718,22.4264,831.4156,21.9136,268.1046,3.3374,,23.4314,6.5649,13867.4321,891.6242,55.0874,341.9229,113.4977,5638.2611,31.3028,3.8146,19.1553,8.2552,,323.8846,,6.0381,28.0115,10.9594,5.7442,16.0768,58.9638,740.4307,4.6484,318.6228,4345.9611,48.9845,18794.6946,236.4664,11.3135,3936.2397,19.3593,52.0592,149.8475,63.0896,,8.0706,132.9088,3357.74,316.305,34.8775,956.8808,8.1695,7986.3233,1098.7419,24.6187,1121.8445,25.1821,70.5753,,7.3694,6.9896,25.0485,158.4311,,,,,,6.6814,6.4917,,,6.7331,,130.0736
26_dMRM_neg_050923_0057.d,26,292.9593,209.5606,145.3823,866.423,77.3966,4.7044,22.6886,230.117,538.7166,55.6597,28.0478,724.5608,15.5254,122.8639,2.9045,,14.1718,4.1495,8117.6485,671.3414,43.8146,324.0872,100.0843,3764.3106,47.2821,4.7255,19.1161,6.2315,,253.7516,,3.9191,27.0247,11.6937,5.1966,10.8384,48.4432,485.6839,2.784,459.8796,4807.299,91.3682,20183.4998,470.3336,,2761.1106,22.1627,56.1367,219.4755,89.0338,,,129.7909,3345.7751,272.3792,31.1875,919.8767,7.8537,9271.9974,330.49,70.3531,1003.4279,30.8993,39.2237,,9.4233,,19.7054,133.8122,,,,,,11.3044,,,,6.0385,,169.347
09_dMRM_neg_050923_0029.d,9,222.8018,212.6324,127.3237,1013.4913,90.2378,,27.4643,337.465,444.5063,47.0376,24.2248,738.8954,20.4651,238.6224,10.5556,,15.8369,6.0504,13163.3608,852.821,46.3749,277.4848,111.3615,5406.7358,36.8272,4.1372,15.341,5.8828,,297.4155,,4.614,29.7699,11.2208,4.8753,12.2828,51.128,629.5598,4.1567,345.457,4590.0353,75.2895,15996.2566,199.289,,4171.6342,24.8957,49.3345,140.9403,60.6126,6.6298,,126.1966,3291.4193,304.2367,34.5263,961.4736,9.808,7925.5967,1513.0704,79.4446,1202.2002,31.6237,75.5913,,12.0445,7.9994,20.7558,139.6799,,,,,34.1282,,16.9449,,,3.0095,,87.115
07_dMRM_neg_050923_0031.d,7,209.0225,213.6328,120.7444,948.6689,77.718,2.1594,24.5422,289.1255,422.1217,46.3112,20.6913,707.8454,18.1014,196.6879,4.3549,,19.0342,4.2933,11417.3652,714.4827,35.8724,272.4893,103.6092,4587.7221,35.7195,2.9894,17.6147,7.0883,,280.0882,,5.073,24.3124,12.0474,5.0381,12.8741,53.5433,648.1503,3.9082,328.2957,3868.6142,63.5249,16636.8301,159.2389,10.6738,3609.5571,19.9772,37.0028,190.8485,67.3413,,,125.3224,3117.7472,258.6672,33.0311,951.5794,8.614,7173.9715,1132.9105,48.3278,1010.0602,29.8465,12.0306,,7.0059,12.0216,18.9162,126.6259,,,0,,46.6752,8.6875,11.4027,,,4.4767,,55.7287
12_dMRM_neg_050923_0036.d,12,45.8452,145.936,76.803,472.5405,48.3656,,17.0308,185.2014,593.7193,59.3773,37.2611,906.7163,10.49,123.6609,1.2482,,15.3396,9.1895,6401.8706,480.5048,39.8233,235.9144,85.391,3174.2975,29.4375,,18.0061,10.1032,20.1258,273.7135,,,34.6586,13.1463,5.9312,17.7687,79.1983,566.6034,,326.5477,1182.93,69.0833,15616.1906,251.7602,,939.9748,57.0376,32.2118,416.6129,88.5612,,,124.1264,3232.0703,315.5644,12.6199,709.6028,,7758.902,2106.1194,105.4818,300.1244,35.0167,100.9705,,,,59.9679,179.8957,,,,,91.8915,,75.0363,,,3.964,,573.0587
15_dMRM_neg_050923_0048.d,15,392.3787,400.2935,171.791,2069.9137,134.7931,7.0456,44.3771,560.3391,544.4843,56.3471,18.992,877.6814,27.3434,374.748,16.8547,,27.1178,7.2149,19678.5444,1344.1454,28.4166,475.4822,148.2998,7365.4984,25.8261,4.3821,27.0743,10.0484,20.7385,382.1988,,4.7306,22.8617,22.6472,5.5099,18.19,56.6808,837.0338,5.2469,106.6958,6284.184,22.3194,13943.3973,567.5421,5.2911,5930.1119,19.5164,35.4025,115.6232,37.4348,,,114.8757,3002.5913,154.6246,55.4145,803.3495,11.0332,5574.1723,1234.3695,44.0095,1727.6927,18.0767,31.7271,,5.3711,13.0312,,101.1764,,,,,,,6.4518,,,5.89,,58.2726
16_dMRM_neg_050923_0023.d,16,121.808,533.515,174.7019,1910.2576,170.3205,5.0384,57.2381,666.4719,671.7251,67.0443,28.4842,945.4236,37.3116,462.2647,35.9612,,37.4306,8.7312,25445.4426,1818.6133,79.849,589.7547,181.9344,9423.7699,81.9719,5.0669,40.5053,10.3814,31.8665,435.7045,,2.8531,30.9552,19.3587,4.2082,16.8569,70.0824,1098.7357,,77.3634,4049.0445,12.8456,14663.0207,128.962,9.5613,3951.6041,27.1943,36.6446,115.1462,35.4739,,14.8078,113.8062,2893.155,348.3472,39.8035,811.7073,14.5317,5882.3897,2490.8804,7.4626,1028.2874,15.0321,61.8165,,9.4365,10.5687,14.0084,124.3933,,,,,31.056,5.9773,5.6208,,,4.7528,,70.2105
14_dMRM_neg_050923_0043.d,14,73.2158,335.3839,204.5178,1694.3974,131.0858,,49.4002,464.9366,711.6731,91.265,37.0058,1225.4266,30.6227,388.2648,1.5258,,32.4392,8.4322,19159.7416,1274.896,61.3898,557.1435,172.8111,8378.5532,85.8978,,35.8502,,63.9094,512.7603,,,33.1079,22.6482,9.5856,24.0788,102.9089,1223.5505,87.6263,147.1024,622.6937,20.9648,15573.9069,152.1418,,735.4107,21.2938,42.5232,106.9513,40.3058,,,106.7075,2734.7772,252.5433,12.0714,724.461,,5929.9296,90.1531,141.3236,203.7563,17.7956,42.3241,,,,,186.5335,,,,,,,,,,3.0976,,
29_dMRM_neg_050923_0047.d,29,98.3156,193.759,93.6034,484.4915,51.4656,3.5223,17.4215,196.2005,590.0214,65.7334,30.6441,773.5357,9.268,58.6077,10.4564,,12.6468,4.9727,6372.3531,558.8972,40.1477,227.2255,85.3759,3118.0315,38.4273,,17.0104,7.5041,,219.9636,,4.5626,30.3471,10.174,6.3488,9.6858,49.6427,407.2172,,401.6174,3256.5768,62.0989,18968.2114,301.732,,1759.5352,29.713,68.8711,406.0743,111.8567,,18.2104,90.9578,2273.692,244.2816,14.6212,784.6228,,9879.6307,,,663.9984,40.7318,27.5667,,17.1751,,23.0016,164.0965,,,,,,,18.9328,,,2.953,,31.921
13_dMRM_neg_050923_0063.d,13,86.035,354.5525,176.6962,1246.3225,111.099,4.2443,43.9003,548.9547,546.7353,62.622,26.1423,944.1854,22.432,205.6489,4.0689,,26.0745,5.5551,16782.4224,1197.1479,68.2646,519.3422,154.2638,7241.3186,49.6401,4.4202,22.4177,9.7889,3.9127,281.1963,,5.6839,21.1216,21.5065,7.7319,20.1355,64.2981,934.132,6.7887,75.2437,2082.7031,10.1361,13408.8287,283.9991,5.5137,2054.3847,20.4087,33.0059,98.2183,41.2353,,,82.5411,2091.4268,191.5756,27.7766,717.9395,11.1042,5328.0226,150.4899,8.7221,635.4232,14.7651,63.0671,,6.7835,6.2779,,127.2161,,,,,,10.3057,,,,3.3214,,60.4943
18_dMRM_neg_050923_0024.d,18,47.6973,314.2615,107.6651,910.9088,81.2025,,42.8179,443.0077,752.6251,92.9816,27.2297,1180.0835,15.1836,133.0818,12.3882,,28.5797,7.2792,14266.4748,999.4905,63.9849,495.0191,175.2824,7148.3455,65.87,,21.0283,15.0057,,448.5436,,,27.7263,19.8302,7.2532,19.4621,83.7349,947.3406,,93.8417,1732.5621,13.0062,10615.1414,134.1998,11.6952,1783.7773,22.6244,28.269,179.078,58.3005,,2624.87,57.6704,1369.3262,147.7194,19.794,492.4054,,4825.802,1291.7604,41.5325,613.438,27.3421,21.6097,,11.9036,,27.7489,170.9957,0,,,,49.7448,,,,,4.0542,,90.7011
