Sample,ID,BMP 16:0-16:0 Results,BMP 16:0-16:1 Results,BMP 16:0-18:0 Results,BMP 16:0-18:1 Results,BMP 16:0-18:2 Results,BMP 16:0-18:3 Results,BMP 16:0-20:4 Results,BMP 16:0-22:6 Results,BMP 16:1-16:1 Results,BMP 16:1-20:4 Results,BMP 16:1-20:5 Results,BMP 16:1-22:6 Results,BMP 18:0-18:0 Results,BMP 18:0-18:1 Results,BMP 18:0-18:2 Results,BMP 18:0-18:3 Results,BMP 18:0-20:4 Results,BMP 18:0-20:5 Results,BMP 18:1-18:1 Results,BMP 18:1-18:2 Results,BMP 18:1-18:3 Results,BMP 18:1-20:4 Results,BMP 18:1-20:5 Results,BMP 18:1-22:6 Results,BMP 18:2-18:2 Results,BMP 18:2-18:3 Results,BMP 18:2-20:4 Results,BMP 18:2-20:5 Results,BMP 18:2-22:5 Results,BMP 18:2-22:6 Results,BMP 18:3-18:3 Results,BMP 18:3-22:5 Results,BMP 18:3-22:6 Results,BMP 20:4-20:4 Results,BMP 20:4-20:5 Results,BMP 20:5-22:5 Results,BMP 20:5-22:6 Results,BMP 22:5-22:6 Results,BMP 22:6-22:6 Results,PG 16:0-16:0 Results,PG 16:0-16:1 Results,PG 16:0-18:0 Results,PG 16:0-18:1 Results,PG 16:0-18:2 Results,PG 16:0-18:3 Results,PG 16:0-20:4 Results,PG 16:0-20:5 Results,PG 16:0-22:6 Results,PG 16:1-16:1 Results,PG 16:1-20:4 Results,PG 16:1-20:5 Results,PG 16:1-22:6 Results,PG 18:0-18:0 Results,PG 18:0-18:1 Results,PG 18:0-18:2 Results,PG 18:0-18:3 Results,PG 18:0-20:4 Results,PG 18:0-20:5 Results,PG 18:1-18:1 Results,PG 18:1-18:2 Results,PG 18:1-18:3 Results,PG 18:1-20:4 Results,PG 18:1-20:5 Results,PG 18:1-22:6 Results,PG 18:2-18:2 Results,PG 18:2-18:3 Results,PG 18:2-20:4 Results,PG 18:2-20:5 Results,PG 18:2-22:5 Results,PG 18:2-22:6 Results,PG 18:3-18:3 Results,PG 18:3-22:5 Results,PG 18:3-22:6 Results,PG 20:4-20:4 Results,PG 20:4-20:5 Results,PG 20:5-20:5 Results,PG 20:5-22:5 Results,PG 20:5-22:6 Results,PG 22:5-22:5 Results,PG 22:5-22:6 Results,PG 22:6-22:6 Results
45_dMRM_neg_050823_0030.d,45,9.0134,1.1452,14.8091,160.445,28.4981,0.6652,9.8089,43.8433,2.2912,8.744,4.0573,166.6417,,28.16,3.771,,16.93,4.6932,487.3668,872.0179,20.0193,324.5633,89.4153,2297.3209,38.8074,20.0496,141.8116,57.9254,76.768,2893.403,,1.8812,107.5033,96.9726,43.4241,16.1861,280.8463,349.9132,17.5858,7.4298,445.7538,33.835,1799.8291,9907.8195,25.87,585.4792,,65.6087,14.2747,3.9965,,3.2458,20.7664,356.8167,1366.5079,7.1952,26.138,,25.0763,296.6849,3.7461,63.7319,1.6823,14.7853,11.9079,1.0293,11.5249,1.1697,133.8397,7.8274,5.9423,,28.2209,0.972,3.4421,6.2204,,7.0416,15.4043,2.1974,92.5943
46_dMRM_neg_050823_0053.d,46,11.4015,1.5065,13.9523,134.8542,24.4581,0.4769,7.2889,43.6519,3.0745,8.4431,4.5842,183.2653,,25.611,3.2319,,12.7025,4.3467,426.1586,788.8783,18.2941,257.1295,89.3652,2181.2733,49.0783,19.0084,129.3674,67.2767,90.3883,2889.7224,,2.7474,90.7365,68.567,34.6018,18.4091,298.1521,202.0131,18.1699,5.8967,522.224,47.4325,1738.7845,9327.5712,28.703,787.8384,0,56.9595,12.3422,4.4756,,2.0332,23.637,294.8404,1700.7003,12.4985,31.4753,,16.1447,214.722,2.9262,69.8827,1.1641,13.4259,10.1053,1.5467,9.0141,1.0115,93.236,7.591,3.7545,,21.3222,0.9253,2.2802,3.7883,,6.7051,15.279,2.8256,96.8595
47_dMRM_neg_050823_0027.d,47,11.4912,0.8693,17.5929,149.4135,24.7801,0.5031,8.8445,43.4752,1.421,7.6262,4.9402,109.847,,29.7564,3.3814,,14.9567,4.9512,458.4598,829.1425,17.6306,294.2501,95.2917,1956.1856,56.5339,16.9728,141.3662,68.8255,76.7144,2262.98,,1.4617,80.4899,72.8804,53.0687,25.4708,242.2048,169.4292,15.5914,7.5052,574.072,63.8354,2148.3091,10879.1733,31.1955,1122.2803,,69.6114,10.9912,3.7332,,1.5767,18.254,274.5841,1816.4406,17.5007,37.2475,,18.4828,238.401,3.8711,88.7841,1.0344,11.1489,11.5705,2.102,12.1204,0.6889,89.4917,9.7165,4.2281,,23.3495,0.9124,3.0474,3.9404,,7.1563,15.2728,1.415,80.4518
48_dMRM_neg_050823_0022.d,48,11.9451,1.5338,13.8774,154.988,27.4612,0.535,9.8388,45.3353,2.9732,10.4175,5.0973,167.1434,,25.4182,3.4216,,17.6219,4.4824,554.5195,872.8357,21.2219,365.6893,89.8902,2194.9148,38.2729,16.924,162.7487,55.6617,73.7595,2280.727,,1.8668,95.2678,129.4289,58.6334,18.7695,205.9583,282.2741,15.3008,10.1126,812.4762,30.349,1970.3176,11514.8891,31.83,1001.2287,,71.9561,19.8034,5.2178,,1.6679,27.0987,304.4435,1348.5267,12.1935,28.5198,,27.1584,344.261,3.4152,109.017,1.2037,16.5737,17.396,0.8913,13.5332,0.4924,183.3925,2.602,7.6836,,46.3108,0.5326,4.0068,6.6838,,8.2126,16.2172,2.6672,114.5649
49_dMRM_neg_050823_0052.d,49,14.4566,1.3324,20.206,141.2504,26.2112,0.9392,8.2411,44.2786,1.3323,5.6422,3.4748,78.7289,,26.0712,3.9186,,11.8036,3.6153,378.3781,866.0967,18.3311,247.1233,71.6985,1884.4209,49.337,13.6619,123.4766,56.1604,68.9665,1892.4982,,1.4296,67.2316,72.7363,42.1494,18.7002,179.3446,126.745,13.0563,29.6072,606.482,101.0528,2337.6043,9725.5224,28.3357,1315.087,,100.4272,11.3306,3.6684,,1.0612,24.7793,354.2671,1638.0318,69.3038,45.7897,0,32.2641,269.3074,4.9506,112.3366,1.1755,15.2775,13.5112,1.5852,12.0078,0.5452,89.1312,9.6873,4.1375,0,21.5242,0.8213,3.0409,1.7811,,6.7061,14.5533,2.0719,70.4952
50_dMRM_neg_050823_0026.d,50,11.8341,2.4167,14.2923,142.7689,33.4253,1.0523,9.2546,52.7878,6.1144,12.1635,7.6186,196.3129,,26.7228,3.8998,,14.2917,4.3143,529.052,997.4866,25.5848,304.3577,87.1803,2008.7737,40.545,28.5215,148.9441,77.0361,77.2052,2352.4692,,3.6079,100.6923,86.6066,50.7956,20.9854,179.1125,153.7243,13.3364,7.0814,456.9928,37.9051,1601.4861,8569.2955,20.5921,716.4452,,57.0008,12.8584,3.2037,,1.5544,19.7464,312.2568,1699.8433,17.5621,41.58,,21.2046,248.3352,2.57,81.9109,0.8116,11.2266,10.5519,1.3882,8.1209,0.865,91.5974,10.3427,4.0592,,19.9863,0.7944,2.8158,3.4018,,5.1083,11.9936,1.1748,67.8518
51_dMRM_neg_050823_0037.d,51,11.9437,2.6166,11.0444,152.8573,44.2592,1.509,10.8588,68.804,6.0183,13.3117,12.5889,228.8993,0,29.4661,2.5931,,17.3571,5.9171,497.897,1111.8361,40.949,360.3747,123.0418,2295.9653,43.4841,51.2027,218.8518,148.2993,105.5148,3255.9848,,2.7534,217.3184,116.7109,112.44,41.1699,254.5664,191.4844,22.7632,5.8642,456.1203,37.8866,1436.8589,10110.8211,26.7248,811.0728,,71.6156,13.023,3.9704,,2.4943,19.0694,339.7156,2001.0326,11.5623,40.3456,,18.1788,261.8445,4.1763,97.5301,1.7008,16.2903,15.5304,1.7618,7.4296,1.4313,137.1639,15.4088,2.8357,,15.9242,1.0952,2.8083,3.7945,,4.5645,9.42,2.4035,81.2035
52_dMRM_neg_050823_0034.d,52,12.5289,2.701,12.8063,145.9262,48.4283,1.3192,11.0249,65.5572,6.2009,12.9852,13.2721,235.8089,,27.8806,3.7106,,17.5188,6.0724,573.1285,1268.3275,40.8702,348.3968,119.6598,2419.1723,52.3788,51.2033,219.8021,108.6206,109.9857,3325.2295,,2.9822,207.3067,102.114,93.4709,32.9554,240.6198,189.7909,15.5753,7.7118,444.7753,42.9854,1476.286,8367.8343,21.346,755.9746,,66.7648,9.4067,4.1664,,1.6668,22.7418,354.3469,1789.2043,15.6332,37.0499,,19.6123,236.4201,2.2491,86.2663,0.7898,11.0567,16.0223,1.5594,6.7448,0.9041,125.99,9.8067,3.5663,,14.6178,0.65,2.1976,3.4939,,5.0482,10.1863,2.1403,88.5872
53_dMRM_neg_050823_0036.d,53,13.2279,2.1165,11.8566,180.6334,48.6075,1.085,10.1141,73.9824,2.4835,8.7083,9.6976,130.0854,,32.0734,4.1104,,16.197,4.7175,453.1725,1112.4792,31.1659,340.7244,96.5665,2125.6449,59.2088,38.4217,204.6315,79.7882,79.1684,2802.2297,,0.8851,257.2158,112.1876,130.999,38.219,173.911,169.8855,16.1136,5.4576,356.9212,45.8205,1386.0885,11619.8582,23.0212,1161.0839,,88.0565,9.8858,6.1094,,1.4575,21.5852,406.8359,2419.9379,19.9171,54.9893,,18.7576,305.8974,3.2211,134.9032,1.4877,17.6317,22.1873,1.2783,13.8619,1.0176,124.957,20.0783,4.0082,0,14.76,1.8277,2.9757,2.4763,,6.9514,11.0089,2.6207,71.4849
54_dMRM_neg_050823_0035.d,54,11.9713,3.2825,10.7016,133.708,53.2323,1.5269,11.639,71.428,8.34,18.1993,12.6386,227.3258,,27.7825,3.0378,,20.0135,6.2634,585.9498,1375.0725,51.1978,427.4694,133.3384,2506.4009,40.7503,56.7536,273.9683,106.9012,118.059,3061.8722,,2.6188,183.141,131.4925,92.5652,28.2278,214.9131,177.3651,13.2375,7.5013,508.587,30.8099,1392.709,8154.1723,27.3539,725.6341,,87.0513,13.1892,5.6316,,2.1913,24.3042,323.8079,1908.4491,10.7706,34.847,,19.8688,203.372,3.5546,84.558,0.9575,16.8384,16.0713,3.3349,9.2494,1.6431,151.681,9.9169,2.9598,,16.2602,1.4571,2.7247,7.7893,,5.2228,9.1085,1.7157,74.5602
