Sample,ID,BMP 16:0-16:0 Results,BMP 16:0-16:1 Results,BMP 16:0-18:0 Results,BMP 16:0-18:1 Results,BMP 16:0-18:2 Results,BMP 16:0-18:3 Results,BMP 16:0-20:4 Results,BMP 16:0-22:6 Results,BMP 16:1-16:1 Results,BMP 16:1-20:4 Results,BMP 16:1-20:5 Results,BMP 16:1-22:6 Results,BMP 18:0-18:0 Results,BMP 18:0-18:1 Results,BMP 18:0-18:2 Results,BMP 18:0-18:3 Results,BMP 18:0-20:4 Results,BMP 18:0-20:5 Results,BMP 18:1-18:1 Results,BMP 18:1-18:2 Results,BMP 18:1-18:3 Results,BMP 18:1-20:4 Results,BMP 18:1-20:5 Results,BMP 18:1-22:6 Results,BMP 18:2-18:2 Results,BMP 18:2-18:3 Results,BMP 18:2-20:4 Results,BMP 18:2-20:5 Results,BMP 18:2-22:5 Results,BMP 18:2-22:6 Results,BMP 18:3-18:3 Results,BMP 18:3-22:5 Results,BMP 18:3-22:6 Results,BMP 20:4-20:4 Results,BMP 20:4-20:5 Results,BMP 20:5-22:5 Results,BMP 20:5-22:6 Results,BMP 22:5-22:6 Results,BMP 22:6-22:6 Results,PG 16:0-16:0 Results,PG 16:0-16:1 Results,PG 16:0-18:0 Results,PG 16:0-18:1 Results,PG 16:0-18:2 Results,PG 16:0-18:3 Results,PG 16:0-20:4 Results,PG 16:0-20:5 Results,PG 16:0-22:6 Results,PG 16:1-16:1 Results,PG 16:1-20:4 Results,PG 16:1-20:5 Results,PG 16:1-22:6 Results,PG 18:0-18:0 Results,PG 18:0-18:1 Results,PG 18:0-18:2 Results,PG 18:0-18:3 Results,PG 18:0-20:4 Results,PG 18:0-20:5 Results,PG 18:1-18:1 Results,PG 18:1-18:2 Results,PG 18:1-18:3 Results,PG 18:1-20:4 Results,PG 18:1-20:5 Results,PG 18:1-22:6 Results,PG 18:2-18:2 Results,PG 18:2-18:3 Results,PG 18:2-20:4 Results,PG 18:2-20:5 Results,PG 18:2-22:5 Results,PG 18:2-22:6 Results,PG 18:3-18:3 Results,PG 18:3-22:5 Results,PG 18:3-22:6 Results,PG 20:4-20:4 Results,PG 20:4-20:5 Results,PG 20:5-20:5 Results,PG 20:5-22:5 Results,PG 20:5-22:6 Results,PG 22:5-22:5 Results,PG 22:5-22:6 Results,PG 22:6-22:6 Results
24_dMRM_neg_050723_0052.d,24,22.6711,2.6487,21.5045,123.2981,52.2241,0.9874,11.5732,69.9192,4.7323,11.7891,10.6814,176.3782,,47.8815,4.5198,0,15.6764,3.089,801.149,1158.9305,31.7187,335.3371,67.658,2322.925,27.2364,33.7816,163.6755,64.2226,58.3041,2671.6122,,2.1487,285.8206,121.2856,99.6483,21.3283,141.668,327.7066,16.001,23.5003,1210.1892,50.2079,3160.1738,8801.128,31.218,2266.3518,,118.2688,17.5563,6.6334,,2.8593,39.3993,862.2665,2707.6674,25.4469,90.2867,,51.3463,232.8612,4.4006,223.5353,1.1363,17.6035,28.0183,1.322,53.9939,,236.2986,11.3709,8.6686,1.4321,46.1057,2.4018,5.5751,2.2517,,7.7361,20.6273,3.449,99.1341
25_dMRM_neg_050723_0031.d,25,13.4055,0.9604,10.6776,25.3782,35.2686,0.2717,14.6539,36.6545,0.7314,7.0325,5.9562,64.4233,,28.6754,1.2573,,20.4091,4.5118,1061.7649,1117.927,17.0473,422.3478,95.7113,1835.0939,21.8999,11.2542,166.4618,71.3258,73.0782,1724.0993,,0.803,156.995,101.618,103.5708,37.6982,192.9656,217.1934,24.1073,27.1325,1551.2016,129.4621,3046.9355,2601.683,73.1476,4592.809,,227.4164,21.2481,3.4327,,3.286,80.2815,715.9708,2644.3789,35.5204,93.9987,,37.118,57.5992,7.1613,302.316,2.547,31.9537,33.6226,0.9283,117.4426,,271.75,5.7379,15.2286,2.6935,119.7925,1.7013,8.4414,10.7838,,23.4492,35.9601,3.0585,210.9672
26_dMRM_neg_050723_0028.d,26,18.4853,1.5401,14.3266,24.786,28.9935,0.6266,14.0207,43.741,1.4139,6.3263,6.1074,111.8848,,29.4341,0.9713,,17.3658,5.1058,845.2438,879.237,16.7611,381.1811,82.0436,1966.9869,23.882,12.0962,146.3747,50.1828,69.4295,1526.003,,1.6162,128.0091,107.3198,82.6624,24.9644,213.7652,272.2364,17.7637,34.0511,2443.4762,122.1006,4063.2249,2176.9982,92.8372,5179.5023,,260.801,26.8999,7.7907,,5.723,89.2277,961.5091,2720.1278,49.661,124.999,,46.0686,64.4436,7.7484,407.2265,1.9543,35.7183,32.7917,2.971,127.2444,,259.7243,6.4548,15.8766,,125.9599,2.6075,11.3789,10.6152,,21.0185,51.9663,5.3528,255.6555
27_dMRM_neg_050723_0047.d,27,12.6952,1.2325,14.148,50.2759,26.2206,0.2501,11.6095,29.2749,0.4404,4.5826,1.8378,52.8089,,35.1425,0.8864,,18.5805,3.102,793.2459,895.1465,12.6072,389.2916,68.2784,1714.8633,27.9261,7.1659,138.4807,43.6574,50.4121,1340.1193,,1.2703,55.8455,104.1704,38.9102,10.8565,145.6277,185.3301,16.6592,21.5102,830.7998,63.1304,2591.7931,4457.197,48.6564,2644.3411,,150.1817,18.2107,3.0376,,2.6504,50.0709,397.1588,1845.9864,30.8024,81.7228,,31.8769,90.3614,4.2333,189.877,1.2425,20.0482,20.6367,1.5456,66.3916,0,120.3065,2.1626,8.3395,,77.4618,0.5892,8.5483,6.432,,17.1111,26.6991,4.1479,95.639
28_dMRM_neg_050723_0021.d,28,9.0819,0.6827,14.3115,20.4573,28.2434,0.2311,10.4807,32.3027,0.4973,4.8385,2.3992,42.3746,,33.5686,1.7503,,17.6224,3.1767,1068.6282,991.7029,11.1352,356.0998,69.7427,1704.5446,28.4489,5.8615,130.1737,37.672,57.7081,1380.77,,0.996,55.4252,93.994,43.3465,13.7115,143.9944,235.8677,16.279,33.3648,1144.3571,161.8752,4323.0141,2042.1503,56.4025,4631.0661,,212.4967,26.1877,5.4292,,4.3594,87.9912,1007.2057,3404.1403,86.3242,156.976,,66.3925,71.4783,7.8087,345.8045,2.3332,32.8137,160.7831,0.6328,86.7155,,291.3539,14.0703,9.891,2.7476,149.1236,1.9073,10.7083,8.576,,26.1554,75.3565,10.532,240.2896
29_dMRM_neg_050723_0035.d,29,19.0505,0.9912,23.9018,47.7254,27.5087,0.3377,10.2838,33.7396,0.4949,3.745,1.7306,42.7836,,38.0769,0.7066,,14.4299,2.9497,830.4123,917.8013,9.708,327.9187,57.5554,1685.2298,32.0031,5.1765,109.6445,36.6957,47.0907,1145.4621,,0.8933,45.648,84.9405,38.02,13.3673,126.201,188.0851,17.3932,34.6038,1216.5299,117.3408,4932.8797,4676.2011,55.8662,4105.812,,198.7632,23.3671,6.5988,,1.6569,63.586,588.7257,2119.7709,56.6391,143.0661,,50.7961,99.4281,6.5389,264.3971,2.1546,27.9405,30.5331,1.0845,112.5053,,143.0314,3.2848,15.9095,,149.0997,1.5103,11.5475,8.3333,,19.4492,40.7092,6.4309,124.8341
30_dMRM_neg_050723_0034.d,30,15.6255,1.2079,13.4575,46.8918,41.587,1.1659,9.4517,61.8937,0.8206,4.6356,5.2409,86.2392,,37.3844,1.1111,,15.9329,3.7937,778.5858,1016.893,18.3432,305.7331,70.1444,1882.4129,26.5627,16.4947,136.7078,42.8117,53.5381,1738.7303,,0.7641,203.6797,75.4748,80.3923,25.0254,124.2338,338.5281,13.4104,17.0786,869.6783,81.8539,2396.0997,3993.7777,37.8721,3538.1744,,158.714,10.7172,6.5109,,2.8844,55.8428,1068.4522,2984.1651,36.0165,105.9213,0,43.2288,106.1463,5.3463,310.8807,2.4511,19.2958,37.9365,0.8665,142.4594,,251.8302,5.9143,14.1288,2.8528,75.5142,1.6014,6.4574,4.724,,11.7701,32.0835,3.1782,155.5534
31_dMRM_neg_050723_0022.d,31,12.3619,1.9723,11.713,26.716,45.2356,1.1108,13.5532,64.3311,2.4904,9.8352,11.2079,133.2378,0,66.7855,0.3774,0,20.8548,4.2084,961.0177,1129.6492,27.452,415.675,98.0026,2104.0479,32.6274,26.3177,181.1438,59.3756,63.4981,2190.6184,,1.9073,294.1044,129.9714,142.4791,30.7663,160.3447,267.5968,13.3311,26.3979,1299.8423,89.0156,3454.4665,2682.3388,53.6143,5266.155,,314.8866,23.2585,12.4654,,5.1297,78.7715,1394.7728,4203.2554,52.9205,184.3212,,63.3596,123.4634,6.3947,531.2746,3.1277,48.899,42.815,3.7566,124.9837,,347.1494,22.7415,9.8518,2.6191,83.8577,3.5357,9.861,7.6257,,13.6417,47.2894,4.4827,203.8051
32_dMRM_neg_050723_0027.d,32,18.5183,1.4759,20.7829,26.7699,27.4198,0.5565,6.0386,39.013,1.3953,5.1095,7.3404,67.206,,26.5108,1.3874,,11.7647,2.8719,737.0064,849.8107,13.3806,244.0117,64.1395,1468.2319,21.6974,10.9624,100.8185,48.9617,52.0334,1317.8779,,0.7839,160.6079,62.1859,84.1601,27.5771,135.7309,154.3485,11.9672,63.0133,1000.885,110.5459,4108.4106,2023.8379,31.2545,3783.9482,,201.4207,21.2152,8.1475,,2.4344,63.3814,1118.0035,2393.0966,108.8125,178.1713,,87.9986,92.6898,3.835,360.2169,2.0715,30.7731,49.2373,0.6468,100.0701,0,168.1255,14.509,10.985,,86.5494,2.5704,8.4446,6.4967,,9.8578,29.4961,5.7062,115.5087
33_dMRM_neg_050723_0026.d,33,16.9799,0.8879,18.3777,27.5335,29.4337,0.4592,8.9676,41.2115,1.2536,7.5103,6.4183,76.684,,29.2878,1.3746,,15.12,3.0327,753.3886,966.4153,15.4951,315.3542,60.1907,1513.5536,24.1978,13.9021,131.7957,48.8727,44.0573,1408.7709,,0.8492,151.6452,95.1699,80.7226,22.3614,120.2109,138.269,12.7208,30.1452,1138.1709,92.7374,3771.4521,2436.001,42.6525,4485.6723,,179.0276,20.8302,7.6503,,2.509,62.8045,1101.858,3422.2722,69.3697,201.3144,,58.2938,76.0489,5.1936,368.7404,1.4056,21.684,42.63,1.1506,150.9963,0,158.0446,12.0296,21.5294,,146.5132,3.4693,10.5919,7.3185,,13.5381,37.469,6.5919,103.2722
34_dMRM_neg_050723_0049.d,34,18.2827,1.2139,11.2552,64.643,33.8511,0.6193,9.1274,47.0376,0.7704,6.235,5.7691,74.834,,35.237,1.6051,0,15.4956,2.9706,690.2195,1030.0567,15.1059,334.1988,67.1099,1688.9068,29.0848,14.0304,147.0191,49.6903,53.5739,1622.6394,,1.661,175.9945,94.783,91.6773,22.8324,128.1663,143.5137,13.2163,12.8898,557.8743,46.5368,1491.6641,3871.1509,24.9477,2449.5738,,124.5238,11.2962,5.8433,,1.9414,38.4305,660.524,2821.9126,33.0752,95.1615,,24.3593,115.7788,3.6814,240.6247,1.0389,18.3838,19.2294,0.7564,57.9807,,95.6533,13.4451,8.8022,1.2435,76.5048,2.6896,6.0482,2.8345,,8.3563,16.8502,2.5461,54.493
