Lipid,log2(FC),-log10(p),sig_FDR,diffexpressed,delabel,label,FC,p_val
TG 54:2,1.123931008,2.4163,TRUE,UP,TG 54:2,sig,2.1794,0.0038
TG 54:3,1.255077682,2.5735,TRUE,UP,TG 54:3,sig,2.3868,0.0027
TG 54:4,1.46252354,2.5997,TRUE,UP,TG 54:4,sig,2.7559,0.0025
TG 54:4_2,0.340277405,0.7093,FALSE,NO,NA,not,1.266,0.1953
TG 54:5,1.095114259,3.6175,TRUE,UP,TG 54:5,sig,2.1363,2.00E-04
TG 54:6,1.590051039,2.9267,TRUE,UP,TG 54:6,sig,3.0106,0.0012
TG 54:6_2,1.592827755,4.8197,TRUE,UP,TG 54:6_2,sig,3.0164,0
TG 54:7,1.644410078,3.1948,TRUE,UP,TG 54:7,sig,3.1262,6.00E-04
TG 54:7_2,1.076901088,3.8775,TRUE,UP,TG 54:7_2,sig,2.1095,1.00E-04
TG 54:7_3,1.841248571,3.5394,TRUE,UP,TG 54:7_3,sig,3.5832,3.00E-04
TG 54:8,1.707259728,4.0566,TRUE,UP,TG 54:8,sig,3.2654,1.00E-04
TG 54:8_3,1.596124144,3.2174,TRUE,UP,TG 54:8_3,sig,3.0233,6.00E-04
TG 54:8_4,1.829484274,4.6279,TRUE,UP,TG 54:8_4,sig,3.5541,0
TG 54:9,1.599793852,2.385,TRUE,UP,TG 54:9,sig,3.031,0.0041
TG 54:9_2,2.100506761,4.0571,TRUE,UP,TG 54:9_2,sig,4.2886,1.00E-04
TG 56:10_2,1.802813598,2.5115,TRUE,UP,TG 56:10_2,sig,3.489,0.0031
TG 56:11,1.481505617,2.8874,TRUE,UP,TG 56:11,sig,2.7924,0.0013
TG 56:2,0.806530289,2.0193,TRUE,UP,TG 56:2,sig,1.749,0.0096
TG 56:3,1.086783766,1.7137,TRUE,UP,TG 56:3,sig,2.124,0.0193
TG 56:5,0.886355044,2.7274,TRUE,UP,TG 56:5,sig,1.8485,0.0019
TG 56:6,0.925695661,2.6648,TRUE,UP,TG 56:6,sig,1.8996,0.0022
TG 56:7,1.249506021,3.4117,TRUE,UP,TG 56:7,sig,2.3776,4.00E-04
TG 56:7_2,1.068464451,2.8726,TRUE,UP,TG 56:7_2,sig,2.0972,0.0013
TG 56:8,0.868212636,2.5334,TRUE,UP,TG 56:8,sig,1.8254,0.0029
TG 56:8_2,1.842455949,2.2156,TRUE,UP,TG 56:8_2,sig,3.5862,0.0061
TG 56:9,1.634639731,4.6322,TRUE,UP,TG 56:9,sig,3.1051,0
TG 56:9_2,1.657822903,4.349,TRUE,UP,TG 56:9_2,sig,3.1554,0
TG 58:10,1.55198351,2.2208,TRUE,UP,TG 58:10,sig,2.9322,0.006
TG 58:11,1.526970214,3.0987,TRUE,UP,TG 58:11,sig,2.8818,8.00E-04
TG 58:11_2,1.335940529,1.3647,TRUE,UP,TG 58:11_2,sig,2.5244,0.0432
TG 58:11_3,1.244887059,3.1733,TRUE,UP,TG 58:11_3,sig,2.37,7.00E-04
TG 58:12,1.389897162,3.3555,TRUE,UP,TG 58:12,sig,2.6206,4.00E-04
TG 58:8,1.347438889,2.0572,TRUE,UP,TG 58:8,sig,2.5446,0.0088
TG 58:8_2,1.162596766,1.6629,TRUE,UP,TG 58:8_2,sig,2.2386,0.0217
TG 58:9,1.199311135,2.6108,TRUE,UP,TG 58:9,sig,2.2963,0.0025
TG 58:9_2,1.40599236,1.9984,TRUE,UP,TG 58:9_2,sig,2.65,0.01
TG 60:11,1.23878686,3.1882,TRUE,UP,TG 60:11,sig,2.36,6.00E-04
TG 60:12,1.382556591,2.026,TRUE,UP,TG 60:12,sig,2.6073,0.0094
TG 62:14,1.015140705,1.4956,TRUE,UP,TG 62:14,sig,2.0211,0.0319
