RT,mz,Theo mz,Abundance,Lipid Class,Compound Name
7.195,712.4926,712.4923,352861,Phosphatidylethanolamine,PE 16:1_18:2
8.219,786.5292,786.5291,347468,Phosphatidylserine,PS 18:0_18:2
1.816,564.3311,564.3307,346332,Lysophophatidylcholine,LPC 18:2/0:0
7.725,852.5769,852.576,344689,Phosphatidylcholine,PC 18:1_20:4
8.061,575.5386,NA,324918,NA,NA
7.911,828.5762,828.576,322174,Phosphatidylcholine,PC 18:1_18:2
8.383,899.5657,899.5655,318029,Phosphatidylinositol,PI 19:0_20:4
7.293,745.5028,745.5025,313925,Phosphatidylglycerol,PG 16:0_18:2
10.604,854.6728,854.6727,312298,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d42:2
10.715,828.6574,828.657,308770,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d40:1
7.31,762.5082,762.5079,308536,Phosphatidylethanolamine,PE 18:1_20:5
8.388,748.5288,748.5287,306721,Ether-linked phosphatidylethanolamine,EtherPE 18:2e_20:4
10.8,678.6044,NA,299647,NA,NA
5.67,817.5028,817.5025,299535,Phosphatidylglycerol,PG 18:2_22:6
8.999,774.5448,774.5443,296210,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_22:6
2.67,452.2785,452.2783,294980,Lysophosphatidylethanolamine,LPE 16:0
12.878,1421.9496,1421.9493,293871,Cardiolipin,CL 70:7
6.935,850.5605,850.5604,292915,Phosphatidylcholine,PC 18:2_20:4
10.705,896.6448,NA,292079,NA,NA
8.069,746.5131,NA,291353,NA,NA
8.586,778.5607,778.5604,282524,Phosphatidylcholine,PC 16:0_16:0
10.621,922.6602,NA,280384,NA,NA
11.171,682.5912,NA,277586,NA,NA
6.697,771.5183,771.5182,275198,Phosphatidylglycerol,PG 18:1_18:2
7.175,823.5496,823.5495,266404,Phosphatidylglycerol,PG 18:1_22:4
10.19,728.56,728.56,259161,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_18:1
7.414,773.534,773.5338,257990,Phosphatidylglycerol,PG 18:1_18:1
6.865,786.5081,786.5079,257316,Phosphatidylethanolamine,PE 18:2_22:6
9.425,1454.8743,NA,256201,NA,NA
13.297,1423.9648,1423.9649,248597,Cardiolipin,CL 70:6
3.916,480.31,480.3096,248127,Lysophosphatidylethanolamine,LPE 18:0
9.206,792.5553,792.5549,245966,Phosphatidylethanolamine,PE 18:0_22:5
10.435,758.5918,NA,244033,NA,NA
6.779,824.5449,824.5447,243107,Phosphatidylcholine,PC 16:1_20:4
2.807,566.3466,566.3463,242260,Lysophophatidylcholine,LPC 18:1/0:0
7.366,738.5083,738.5079,241229,Phosphatidylethanolamine,PE 18:2_18:2
3.249,301.2176,NA,238663,NA,NA
2.702,473.2831,NA,236747,NA,NA
9.433,888.6244,888.624,236489,Sulfatide,SHexCer d42:2
8.45,812.5449,812.5447,235112,Phosphatidylserine,PS 18:0_20:3
8.187,773.5338,773.5338,223961,Phosphatidylglycerol,PG 18:0_18:2
7.311,800.545,800.5447,222529,Phosphatidylcholine,PC 16:0_18:3
9.597,610.5416,NA,222380,NA,NA
11.161,709.6101,NA,219129,NA,NA
10.792,746.5917,NA,217061,NA,NA
