RT,mz,Theo mz,Abundance,Lipid Class,Compound Name
9.823,702.3805,NA,12968,NA,NA
0.525,157.0121,NA,12955,NA,NA
3.779,539.3528,NA,12932,NA,NA
8.428,871.5701,NA,12916,NA,NA
6.709,748.5129,748.5134,12908,Phosphatidylcholine,PC 14:0_16:1
10.162,325.1843,NA,12897,NA,NA
9.052,930.6076,NA,12894,NA,NA
0.95,332.1904,NA,12863,NA,NA
0.661,241.1446,NA,12840,NA,NA
4.484,629.3836,NA,12826,NA,NA
0.82,306.0766,NA,12814,NA,NA
10.996,756.5914,756.5913,12798,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_20:1
7.76,870.5489,NA,12786,NA,NA
9.972,750.5862,NA,12779,NA,NA
10.079,614.5283,NA,12751,NA,NA
9.054,801.5651,NA,12710,NA,NA
13.836,1190.8781,NA,12663,NA,NA
1.851,503.2648,NA,12656,NA,NA
8.738,778.5391,NA,12654,NA,NA
8.496,776.5592,776.56,12636,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_22:5
0.831,403.2126,NA,12631,NA,NA
12.409,698.6217,NA,12628,NA,NA
8.203,791.5423,NA,12619,NA,NA
2.807,634.3337,NA,12594,NA,NA
1.925,597.3044,597.3045,12594,Lysophosphatidylinositol,LPI 18:1
1.542,512.2992,512.2994,12585,Lysophophatidylcholine,LPC 14:0/0:0
10.113,1219.8042,NA,12564,NA,NA
9,770.5636,NA,12557,NA,NA
13.751,1152.8632,NA,12486,NA,NA
10.158,802.6413,802.6414,12465,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d38:0
6.898,854.4946,NA,12460,NA,NA
4.476,357.2798,NA,12455,NA,NA
10.531,1392.1756,NA,12428,NA,NA
3.806,371.2205,NA,12418,NA,NA
1.626,410.2369,NA,12412,NA,NA
0.6,293.0688,NA,12412,NA,NA
1.365,663.3754,NA,12382,NA,NA
8.875,749.5328,NA,12382,NA,NA
3.688,642.3626,NA,12371,NA,NA
8.699,608.5255,NA,12365,NA,NA
0.533,201.0382,NA,12358,NA,NA
9.663,1455.8771,NA,12349,NA,NA
8.08,592.5282,NA,12340,NA,NA
9.969,852.6557,852.657,12331,Hexosylceramide non-hydroxyfatty acid-sphingosine,HexCer_NS d42:3
4.161,466.3304,NA,12329,NA,NA
4.205,494.3252,494.3252,12326,Lysophosphatidylethanolamine,LPE 19:0
10.157,311.1687,NA,12320,NA,NA
14.202,700.4864,NA,12279,NA,NA
12.655,747.4788,NA,12251,NA,NA
4.394,511.4731,NA,12251,NA,NA
6.614,719.5341,719.5345,12242,Sphingomyelin,SM d32:1
9.435,786.6094,NA,12236,NA,NA
10.56,771.6361,NA,12205,NA,NA
5.501,398.3097,NA,12168,NA,NA
8.045,797.5344,797.5338,12160,Phosphatidylglycerol,PG 18:0_20:4
8.914,834.5272,NA,12151,NA,NA
10.394,797.654,NA,12128,NA,NA
12.735,722.6664,NA,12124,NA,NA
0.822,377.1966,NA,12097,NA,NA
7.446,724.4918,724.4923,12092,Phosphatidylethanolamine,PE 15:0_20:4
4.618,953.5979,NA,12065,NA,NA
9.401,776.5599,NA,12054,NA,NA
7.659,580.4947,580.4946,12016,Ceramide non-hydroxyfatty acid-dihydrosphingosine,Cer_NDS d34:2
10.388,834.6226,834.623,12008,Phosphatidylcholine,PC 16:0_20:0
9.68,884.6078,NA,11988,NA,NA
10.688,730.4119,NA,11977,NA,NA
0.672,449.1499,NA,11970,NA,NA
0.485,344.0196,NA,11955,NA,NA
1.303,631.3491,NA,11948,NA,NA
7.258,846.5551,NA,11933,NA,NA
9.309,614.5184,NA,11915,NA,NA
11.105,939.689,NA,11915,NA,NA
1.724,507.2728,NA,11907,NA,NA
0.503,416.1426,NA,11904,NA,NA
10.363,704.5599,704.56,11887,Ether-linked phosphatidylethanolamine,EtherPE 18:0e_16:0
0.768,433.2074,NA,11866,NA,NA
0.563,682.2071,NA,11846,NA,NA
13.255,1371.9329,1371.9336,11840,Cardiolipin,CL 66:4
0.83,279.1601,NA,11829,NA,NA
6.422,586.4511,NA,11818,NA,NA
11.146,888.6692,888.6699,11818,Phosphatidylcholine,PC 40:1
9.516,862.608,NA,11815,NA,NA
0.792,255.1601,NA,11811,NA,NA
3.212,271.228,NA,11785,NA,NA
11.174,885.7063,885.7066,11784,Sphingomyelin,SM d44:2
12.13,154.9738,NA,11767,NA,NA
6.142,616.4612,NA,11757,NA,NA
12.78,1493.9444,NA,11754,NA,NA
7.843,873.5502,873.5499,11742,Phosphatidylinositol,PI 17:0_20:3
0.8,418.9735,NA,11709,NA,NA
9.588,764.5594,NA,11679,NA,NA
11.018,750.5864,NA,11676,NA,NA
0.584,303.0531,NA,11669,NA,NA
0.561,582.2512,NA,11595,NA,NA
7.582,830.4953,NA,11592,NA,NA
11.906,916.7007,916.7012,11581,Phosphatidylcholine,PC 24:0_18:1
13.439,737.495,NA,11576,NA,NA
10.441,708.59760000000006,NA,11556,NA,NA
8.384,1472.047,NA,11546,NA,NA
14.193,739.5102,NA,11524,NA,NA
4.474,349.2358,NA,11518,NA,NA
9.413,725.5571,NA,11500,NA,NA
0.797,297.1067,NA,11487,NA,NA
7.73,671.4655,NA,11485,NA,NA
10.24,1187.7498,NA,11475,NA,NA
12.809,1369.9165,NA,11468,NA,NA
1.414,360.2213,NA,11464,NA,NA
1.057,283.1917,NA,11449,NA,NA
13.383,1188.8609,NA,11441,NA,NA
12.307,686.6221,NA,11436,NA,NA
9.583,1334.0966,NA,11433,NA,NA
3.829,565.2872,NA,11433,NA,NA
2.909,614.2684,NA,11425,NA,NA
11.684,719.6304,NA,11365,NA,NA
0.824,482.2946,NA,11357,NA,NA
8.144,1467.1128,NA,11320,NA,NA
5.902,730.4515,NA,11316,NA,NA
8.472,819.5725,NA,11308,NA,NA
9.906,884.638,884.6386,11307,Phosphatidylcholine,PC 20:0_20:3
9.392,339.1998,NA,11299,NA,NA
3.609,315.233,NA,11289,NA,NA
6.648,710.4759,710.4766,11278,Phosphatidylethanolamine,PE 16:1_18:3
13.832,738.5025,NA,11259,NA,NA
9.622,871.6152,NA,11252,NA,NA
11.115,728.6406,NA,11249,NA,NA
5.152,154.9738,NA,11239,NA,NA
5.492,590.4457,NA,11201,NA,NA
0.646,365.234,NA,11158,NA,NA
5.421,536.387,NA,11157,NA,NA
9.381,816.6117,816.6124,11155,Ether-linked phosphatidylcholine,EtherPC 18:0e_18:2
9.817,842.6277,NA,11136,NA,NA
12.285,725.6413,NA,11116,NA,NA
7.158,790.5024,NA,11108,NA,NA
13.59,1464.001,NA,11100,NA,NA
6.937,857.4923,NA,11081,NA,NA
10.849,856.6879,NA,11077,NA,NA
8.115,1462.027,NA,11058,NA,NA
9.07,628.552,628.5522,11015,Ceramide non-hydroxyfatty acid-phytospingosine,Cer_NP t18:0_18:0
4.262,477.3046,NA,11009,NA,NA
10.094,689.5362,NA,10982,NA,NA
8.759,936.5972,NA,10936,NA,NA
8.513,858.5259,NA,10930,NA,NA
10.134,716.5969,NA,10929,NA,NA
13.98,1002.8487,NA,10876,NA,NA
10.302,1279.8262,NA,10840,NA,NA
8.941,581.5263,NA,10837,NA,NA
9.31,818.5313,NA,10817,NA,NA
1.981,496.2679,496.2681,10802,Lysophosphatidylserine,LPS 16:0
8.791,754.5394,754.5392,10790,Phosphatidylethanolamine,PE 17:0_20:3
0.564,590.2139,NA,10731,NA,NA
9.5,1251.794,NA,10681,NA,NA
3.391,531.3244,NA,10654,NA,NA
3.651,677.4551,NA,10641,NA,NA
1.572,311.223,NA,10631,NA,NA
10.381,703.5991,NA,10630,NA,NA
0.796,339.0742,NA,10628,NA,NA
3.546,603.3534,NA,10626,NA,NA
10.832,981.6503,NA,10621,NA,NA
6.666,948.5597,NA,10593,NA,NA
1.185,293.0864,NA,10584,NA,NA
4.467,451.3246,NA,10578,NA,NA
11.489,711.6255,NA,10554,NA,NA
9.604,649.5521,NA,10517,NA,NA
2.382,590.3462,590.3463,10515,Lysophophatidylcholine,LPC 20:3/0:0
7.537,629.5099,NA,10514,NA,NA
13.123,1409.9473,NA,10512,NA,NA
14,976.8336,NA,10511,NA,NA
13.048,748.4872,NA,10493,NA,NA
13.249,1419.9312,1419.9336,10492,Cardiolipin,CL 70:8
3.91,368.2629,NA,10477,NA,NA
0.645,242.1763,NA,10467,NA,NA
0.525,675.24,NA,10423,NA,NA
0.555,383.1146,NA,10418,NA,NA
4.55,506.2535,NA,10359,NA,NA
0.656,391.2122,NA,10343,NA,NA
14.492,944.8651,NA,10329,NA,NA
6.305,652.4567,652.4559,10322,Ether-linked phosphatidylcholine,EtherPC 24:0e
2.674,905.5639,NA,10315,NA,NA
7.155,792.5174,NA,10309,NA,NA
9.146,664.5133,NA,10308,NA,NA
2.596,431.2649,NA,10304,NA,NA
10.65,846.6461,NA,10288,NA,NA
1.922,614.3457,614.3463,10287,Lysophophatidylcholine,LPC 22:5/0:0
13.449,737.9976,NA,10286,NA,NA
8.983,749.5344,NA,10277,NA,NA
13.755,712.9885,NA,10208,NA,NA
9.39,265.148,NA,10204,NA,NA
8.278,786.5631,NA,10186,NA,NA
10.713,844.6066,NA,10172,NA,NA
9.046,838.5962,NA,10163,NA,NA
6.436,966.5478,NA,10154,NA,NA
3.916,265.1481,NA,10149,NA,NA
6.727,901.5441,NA,10143,NA,NA
2.867,599.3201,599.3202,10117,Lysophosphatidylinositol,LPI 18:0
10.075,868.6433,NA,10102,NA,NA
1.832,636.2531,NA,10097,NA,NA
2.295,597.3045,597.3045,10096,Lysophosphatidylinositol,LPI 18:1
11.501,872.6382,NA,10090,NA,NA
8.53,898.6177,NA,10083,NA,NA
1.367,498.2629,NA,10083,NA,NA
0.645,283.1553,NA,10071,NA,NA
4.063,554.3827,NA,10031,NA,NA
10.155,766.5392,766.5392,10030,Phosphatidylethanolamine,PE 18:0_20:4
8.443,814.5965,NA,10028,NA,NA
1.749,343.228,NA,10024,NA,NA
7.4,821.5174,NA,10022,NA,NA
7.614,876.501,NA,10021,NA,NA
1.776,656.3173,NA,10009,NA,NA
6.002,881.5172,881.5186,10007,Phosphatidylinositol,PI 18:2_20:4
3.335,399.2747,NA,10000,NA,NA
7.95,876.5601,NA,9980,NA,NA
1.639,485.327,NA,9968,NA,NA
1.022,431.184,NA,9932,NA,NA
14.859,520.9102,NA,9928,NA,NA
3.614,227.2017,NA,9874,NA,NA
4.956,804.5071,NA,9861,NA,NA
13.065,748.9882,NA,9860,NA,NA
6.064,829.4889,829.4873,9827,Phosphatidylinositol,PI 34:4
2.808,506.325,NA,9817,NA,NA
12.309,713.6411,NA,9807,NA,NA
6.041,808.4914,808.4923,9794,Phosphatidylethanolamine,PE 20:5_22:6
8.777,784.5497,NA,9790,NA,NA
7.976,902.5766,NA,9774,NA,NA
8.74,700.5279,700.5287,9773,Ether-linked phosphatidylethanolamine,EtherPE 16:0e_18:2
0.581,160.0616,NA,9762,NA,NA
9.369,698.5763,NA,9757,NA,NA
2.907,546.2814,NA,9751,NA,NA
4.464,265.1479,NA,9728,NA,NA
5.886,743.4858,743.4869,9696,Phosphatidylglycerol,PG 16:1_18:2
12.053,648.6295,648.63,9653,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d18:1_24:0
4.813,467.3196,NA,9621,NA,NA
10.395,1376.1789,NA,9619,NA,NA
0.667,525.2806,NA,9612,NA,NA
3.92,586.3783,NA,9603,NA,NA
10.464,863.6844,NA,9598,NA,NA
7.958,836.5802,NA,9588,NA,NA
0.575,1065.516,NA,9586,NA,NA
0.535,180.0667,NA,9577,NA,NA
3.949,313.2386,313.2384,9570,Fatty acid ester of hydroxyl fatty acid,FAHFA 16:0_2:0
3.912,512.3415,NA,9557,NA,NA
11.59,658.5901,NA,9557,NA,NA
4.495,664.3806,NA,9554,NA,NA
0.658,227.1291,NA,9499,NA,NA
5.396,605.4055,NA,9498,NA,NA
11.198,720.614,NA,9485,NA,NA
2.635,255.2331,NA,9472,NA,NA
14.399,714.5038,NA,9463,NA,NA
1.682,450.2622,NA,9452,NA,NA
0.49,359.9928,NA,9442,NA,NA
1.411,568.268,NA,9436,NA,NA
7.175,644.4934,NA,9433,NA,NA
8.484,723.4953,NA,9432,NA,NA
10.97,668.5749,NA,9366,NA,NA
0.672,229.1446,NA,9363,NA,NA
8.379,1446.0313,NA,9354,NA,NA
4.303,587.3738,NA,9344,NA,NA
3.643,563.3523,NA,9344,NA,NA
3.91,459.2937,NA,9330,NA,NA
2.579,1103.6501,NA,9304,NA,NA
7.987,721.5017,721.5025,9283,Phosphatidylglycerol,PG 16:0_16:0
5.261,174.9561,NA,9268,NA,NA
6.242,616.462,NA,9266,NA,NA
1.997,632.3181,NA,9266,NA,NA
9.327,866.5893,866.5917,9241,Phosphatidylserine,PS 22:1_20:3
11.147,794.6213,NA,9241,NA,NA
2.841,470.3486,NA,9239,NA,NA
5.361,624.426,NA,9229,NA,NA
13.952,1002.8488,NA,9226,NA,NA
0.604,530.2796,NA,9220,NA,NA
13.169,1457.9472,NA,9213,NA,NA
9.79,792.5957,NA,9202,NA,NA
11.006,830.6726,830.6727,9191,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d40:0
12.626,1467.9298,NA,9188,NA,NA
7.884,887.5008,NA,9174,NA,NA
7.201,874.5451,NA,9169,NA,NA
4.357,463.2888,NA,9169,NA,NA
0.597,218.1037,NA,9168,NA,NA
10.945,642.5594,NA,9166,NA,NA
10.693,928.6732,NA,9163,NA,NA
0.526,251.9951,NA,9163,NA,NA
0.581,612.3022,NA,9146,NA,NA
7.222,716.5232,NA,9126,NA,NA
2.218,339.1999,NA,9121,NA,NA
9.953,826.6412,NA,9113,NA,NA
0.675,997.5864,NA,9083,NA,NA
8.112,1245.0457,NA,9080,NA,NA
10.506,798.6468,NA,9075,NA,NA
0.729,487.3064,NA,9074,NA,NA
3.833,439.2857,NA,9069,NA,NA
10.161,265.148,NA,9050,NA,NA
4.606,508.3408,508.3409,9034,Lysophosphatidylethanolamine,LPE 20:0
1.716,305.2156,NA,9029,NA,NA
3.927,1462.1184,NA,9013,NA,NA
7.185,311.1689,NA,9013,NA,NA
2.757,174.0171,NA,9012,NA,NA
0.592,217.0527,NA,9011,NA,NA
14.215,1121.919,NA,9006,NA,NA
12.044,791.6515,NA,8993,NA,NA
11.169,748.5822,NA,8986,NA,NA
1.402,309.1743,NA,8971,NA,NA
2.6,295.228,NA,8968,NA,NA
6.791,898.5444,NA,8945,NA,NA
3.907,471.3326,NA,8932,NA,NA
8.176,1486.0804,NA,8931,NA,NA
10.378,1350.1646,NA,8926,NA,NA
9.443,908.6386,908.6386,8925,Phosphatidylcholine,PC 22:1_20:4
6.458,816.5391,NA,8900,NA,NA
7.181,325.1843,NA,8890,NA,NA
0.681,195.1392,NA,8889,NA,NA
7.582,723.4966,723.497,8887,Phosphatidylethanol,PEtOH 16:0_20:4
2.773,641.3774,NA,8885,NA,NA
12.395,725.6426,NA,8881,NA,NA
14.562,922.8364,NA,8879,NA,NA
4.928,492.3459,NA,8879,NA,NA
0.483,245.0437,NA,8868,NA,NA
0.49,449.0305,NA,8859,NA,NA
5.306,750.5349,NA,8853,NA,NA
7.377,694.4821,694.4817,8848,Ether-linked phosphatidylethanolamine,EtherPE 14:1e_20:4
13.897,1475.9912,NA,8848,NA,NA
3.166,735.2942,NA,8837,NA,NA
13.815,1191.3839,NA,8814,NA,NA
10.438,644.5984,644.5987,8785,Ceramide non-hydroxyfatty acid-sphingosine,Cer_NS d18:2_24:1
9.394,941.6124,941.6125,8777,Phosphatidylinositol,PI 42:4
0.66,183.1394,NA,8777,NA,NA
7.755,616.498,NA,8769,NA,NA
6.304,916.5315,NA,8766,NA,NA
9.803,880.5293,NA,8761,NA,NA
10.953,669.5785,NA,8735,NA,NA
0.747,269.1761,NA,8729,NA,NA
0.662,363.218,NA,8725,NA,NA
6.261,793.505,793.5025,8718,Phosphatidylglycerol,PG 16:0_22:6
6.774,892.5318,NA,8716,NA,NA
11.601,941.6947,NA,8690,NA,NA
13.553,1411.9636,NA,8665,NA,NA
9.395,707.5272,NA,8663,NA,NA
7.208,794.5339,NA,8650,NA,NA
8.354,760.528,NA,8643,NA,NA
9.057,1494.0892,NA,8617,NA,NA
6.517,710.4763,710.4766,8604,Phosphatidylethanolamine,PE 16:1_18:3
10.317,886.6536,886.6543,8601,Phosphatidylcholine,PC 18:1_22:1
11.186,736.6456,NA,8583,NA,NA
10.5,682.5972,NA,8576,NA,NA
3.943,854.542,NA,8572,NA,NA
11.191,716.63,NA,8550,NA,NA
3.883,595.3182,NA,8542,NA,NA
5.93,740.4369,NA,8528,NA,NA
10.257,804.612,NA,8526,NA,NA
3.713,283.2645,NA,8503,NA,NA
4.505,622.4087,622.4089,8498,Ether-linked phosphatidylcholine,EtherPC 14:1e_8:0
7.775,699.497,699.497,8489,Phosphatidic acid,PA 36:2
8.164,1493.1278,NA,8469,NA,NA
10.979,695.5942,NA,8450,NA,NA
8.076,565.5095,NA,8446,NA,NA
8.004,782.5338,782.5341,8444,Oxidized phosphatidylethanolamine,OxPE 18:1_20:3+1O
0.855,420.2503,NA,8441,NA,NA
9.677,782.5695,782.5705,8433,Phosphatidylethanolamine,PE 19:0_20:3
9.68,926.6099,NA,8429,NA,NA
10.312,1263.83,1263.8311,8419,Ganglioside GM3,GM3 d42:1
6.086,843.5172,NA,8418,NA,NA
9.097,788.5775,NA,8394,NA,NA
10.805,717.615,NA,8387,NA,NA
6.946,876.5753,NA,8381,NA,NA
12.533,1419.9323,1419.9336,8379,Cardiolipin,CL 70:8
2.479,487.244,NA,8379,NA,NA
9.819,892.618,NA,8372,NA,NA
4.481,491.3198,NA,8367,NA,NA
10.141,784.584,784.5862,8363,Phosphatidylethanolamine,PE 18:1_21:1
6.813,591.4702,NA,8347,NA,NA
11.191,786.6275,NA,8337,NA,NA
3.803,607.4724,607.4732,8333,Fatty acid ester of hydroxyl fatty acid,FAHFA 20:4_20:3
4.497,433.332,NA,8325,NA,NA
10.155,808.5873,NA,8321,NA,NA
10.526,1366.1599,NA,8312,NA,NA
0.605,647.3439,NA,8306,NA,NA
0.539,257.0758,NA,8294,NA,NA
0.587,173.0093,NA,8273,NA,NA
4.39,323.2204,NA,8256,NA,NA
0.484,539.1386,NA,8241,NA,NA
4.537,438.266,NA,8239,NA,NA
7.529,695.4656,695.4657,8233,Phosphatidic acid,PA 16:0_20:4
7.744,726.508,726.5079,8232,Phosphatidylethanolamine,PE 17:1_18:2
10.522,1418.1901,NA,8231,NA,NA
7.396,812.5243,NA,8230,NA,NA
9.58,865.5808,NA,8217,NA,NA
9.163,860.5416,NA,8209,NA,NA
9.069,777.6123,NA,8203,NA,NA
6.648,604.4614,NA,8196,NA,NA
6.849,778.5142,NA,8180,NA,NA
5.134,174.9562,NA,8172,NA,NA
6.782,588.4822,NA,8165,NA,NA
10.591,967.6345,NA,8162,NA,NA
12.591,1419.934,1419.9336,8146,Cardiolipin,CL 70:8
7.713,864.5764,864.576,8142,Phosphatidylcholine,PC 17:0_22:6
1.363,687.2757,NA,8135,NA,NA
0.637,553.3384,NA,8122,NA,NA
1.668,680.3177,NA,8117,NA,NA
0.652,215.1292,NA,8111,NA,NA
1.088,585.3047,NA,8105,NA,NA
7.548,561.5225,NA,8100,NA,NA
4.264,577.345,NA,8099,NA,NA
7.911,885.4817,NA,8099,NA,NA
13.327,1162.847,NA,8078,NA,NA
0.535,213.0494,NA,8069,NA,NA
0.696,631.3488,NA,8067,NA,NA
10.165,1178.7779,NA,8063,NA,NA
0.713,568.3316,NA,8062,NA,NA
0.977,354.1744,NA,8054,NA,NA
5.953,560.4351,NA,8045,NA,NA
0.602,163.0337,NA,8029,NA,NA
16.102,530.9669,NA,8026,NA,NA
10.157,339.2,NA,8025,NA,NA
4.479,621.3342,NA,8012,NA,NA
8.74,801.6125,801.6127,8000,Sphingomyelin,SM d38:2
7.992,1447.0804,NA,7990,NA,NA
9.017,1440.8577,NA,7989,NA,NA
1.105,401.1226,NA,7988,NA,NA
11.777,858.7038,NA,7978,NA,NA
4.34,603.3679,NA,7975,NA,NA
14.394,715.0036,NA,7970,NA,NA
3.657,489.2775,NA,7960,NA,NA
5.196,840.4897,NA,7944,NA,NA
9.452,870.6231,870.623,7934,Phosphatidylcholine,PC 39:3
1.722,660.2527,NA,7926,NA,NA
7.559,820.5702,NA,7909,NA,NA
13.823,1178.3778,NA,7902,NA,NA
4.028,354.3012,NA,7892,NA,NA
7.834,846.5527,NA,7884,NA,NA
2.734,479.2207,NA,7872,NA,NA
7.393,843.5379,NA,7861,NA,NA
1.85,325.1842,NA,7848,NA,NA
9.239,637.5047,NA,7845,NA,NA
1.911,361.2022,NA,7838,NA,NA
8.996,1460.0674,NA,7829,NA,NA
0.811,374.245,NA,7820,NA,NA
14.022,1466.0128,NA,7817,NA,NA
0.472,175.0251,NA,7816,NA,NA
11.093,864.67,NA,7805,NA,NA
0.562,640.2563,NA,7805,NA,NA
2.979,524.3355,NA,7804,NA,NA
1.694,451.2062,NA,7791,NA,NA
8.69,744.5538,744.5549,7783,Phosphatidylethanolamine,PE 18:0_18:1
9.153,652.5131,NA,7768,NA,NA
6.975,892.5314,NA,7756,NA,NA
11.359,989.6478,NA,7742,NA,NA
3.658,559.3423,NA,7725,NA,NA
1.384,391.2855,NA,7721,NA,NA
11.858,652.6245,NA,7716,NA,NA
0.595,205.0527,NA,7705,NA,NA
8.567,702.545,NA,7698,NA,NA
9.447,730.5739,NA,7697,NA,NA
4.573,775.4545,NA,7697,NA,NA
9.263,956.6229,NA,7694,NA,NA
8.537,774.53,NA,7683,NA,NA
1.12,297.1531,NA,7670,NA,NA
7.346,838.5388,NA,7668,NA,NA
1.587,241.181,NA,7666,NA,NA
3.913,685.5412,NA,7661,NA,NA
8.688,676.5125,NA,7659,NA,NA
2.789,1094.7382,NA,7657,NA,NA
0.578,157.0315,NA,7657,NA,NA
8.692,800.5445,NA,7646,NA,NA
0.561,512.2836,NA,7643,NA,NA
0.627,543.3002,NA,7642,NA,NA
9.326,1452.0788,NA,7634,NA,NA
14.507,1111.9352,NA,7634,NA,NA
11.272,859.6662,NA,7629,NA,NA
0.662,373.2596,NA,7628,NA,NA
10.433,787.6201,NA,7623,NA,NA
7.173,766.5383,NA,7618,NA,NA
0.586,1013.5805,NA,7615,NA,NA
14.467,1418.1007,NA,7588,NA,NA
0.611,547.2931,NA,7585,NA,NA
0.652,219.06,NA,7581,NA,NA
13.98,1447.9631,NA,7580,NA,NA
5.332,1069.4657,NA,7580,NA,NA
10.338,1016.7259,NA,7577,NA,NA
8.273,832.5112,NA,7574,NA,NA
10.62,951.6891,NA,7573,NA,NA
8.061,923.5654,NA,7573,NA,NA
0.594,487.2375,NA,7568,NA,NA
12.581,1491.9289,1491.9336,7566,Cardiolipin,CL 76:14
4.862,923.5055,NA,7559,NA,NA
10.631,768.5963,NA,7553,NA,NA
9.987,805.643,NA,7552,NA,NA
8.886,690.5083,690.5079,7550,Phosphatidylethanolamine,PE 16:0_16:0
8.107,908.5665,NA,7538,NA,NA
9.783,828.591,NA,7538,NA,NA
9.907,838.5578,NA,7538,NA,NA
5.828,580.2148,NA,7535,NA,NA
7.002,883.5043,NA,7516,NA,NA
0.599,352.0765,NA,7503,NA,NA
12.03,887.7221,NA,7491,NA,NA
2.066,434.2371,NA,7489,NA,NA
6.829,818.5545,NA,7480,NA,NA
0.679,329.2336,NA,7478,NA,NA
11.485,992.6625,NA,7473,NA,NA
0.633,435.9583,NA,7467,NA,NA
5.028,762.5374,NA,7467,NA,NA
2.81,1087.6936,NA,7464,NA,NA
3.925,391.2622,NA,7460,NA,NA
10.153,870.6276,NA,7460,NA,NA
2.33,608.3175,NA,7458,NA,NA
8.161,808.5108,NA,7455,NA,NA
0.746,585.3275,NA,7448,NA,NA
3.721,459.2958,NA,7448,NA,NA
14.556,948.8523,NA,7432,NA,NA
14.295,1442.0097,NA,7422,NA,NA
9.448,673.4812,673.4814,7418,Phosphatidylmethanol,PMeOH 16:0_17:1
10.025,656.5831,656.5835,7417,Ceramide alpha-hydroxy fatty acid-dihydrosphingosine,Cer_ADS d38:0
9.076,942.607,NA,7409,NA,NA
0.6,494.2585,NA,7384,NA,NA
5.121,493.3354,NA,7381,NA,NA
14.365,1482.0419,NA,7377,NA,NA
1.044,617.2724,NA,7370,NA,NA
1.826,1019.6103,NA,7363,NA,NA
9.309,858.3692,NA,7356,NA,NA
8.249,760.516,NA,7354,NA,NA
13.779,1450.9816,NA,7352,NA,NA
7.248,866.5912,NA,7347,NA,NA
8.635,922.5788,NA,7343,NA,NA
5.15,620.4566,NA,7317,NA,NA
15.158,530.9672,NA,7310,NA,NA
11.278,849.6616,NA,7291,NA,NA
7.138,907.533,907.5342,7282,Phosphatidylinositol,PI 18:1_22:6
3.252,369.2048,NA,7278,NA,NA
6.708,816.5183,NA,7268,NA,NA
11.856,708.6509,NA,7261,NA,NA
8.162,1460.067,NA,7260,NA,NA
14.165,928.8336,NA,7250,NA,NA
0.537,292.0581,NA,7246,NA,NA
7.217,1449.9898,NA,7223,NA,NA
5.399,479.3567,NA,7222,NA,NA
4.445,760.519,NA,7218,NA,NA
10.598,840.5734,NA,7212,NA,NA
10.898,835.6456,NA,7197,NA,NA
0.609,213.1136,NA,7187,NA,NA
3.102,557.2368,NA,7184,NA,NA
6.909,925.5052,NA,7180,NA,NA
3.288,552.3669,NA,7172,NA,NA
7.354,840.5743,NA,7170,NA,NA
4.953,872.4934,NA,7167,NA,NA
11.4,1063.6525,NA,7161,NA,NA
6.677,871.5491,NA,7158,NA,NA
10.471,670.5986,NA,7158,NA,NA
3.867,684.2712,NA,7144,NA,NA
15.117,154.9739,NA,7139,NA,NA
7.892,860.5804,NA,7137,NA,NA
7.241,1473.9895,NA,7133,NA,NA
9.626,923.6466,NA,7130,NA,NA
6.549,810.5277,NA,7129,NA,NA
0.853,613.2986,NA,7128,NA,NA
4.392,391.2082,NA,7127,NA,NA
6.989,760.4922,NA,7120,NA,NA
7.857,742.539,742.5392,7109,Phosphatidylethanolamine,PE 18:0_18:2
4.468,367.2853,NA,7108,NA,NA
1.34,1239.5835,NA,7092,NA,NA
0.539,586.2012,NA,7091,NA,NA
6.605,778.5024,NA,7081,NA,NA
4.962,667.3396,NA,7080,NA,NA
6.485,890.5165,NA,7079,NA,NA
5.861,619.4212,NA,7073,NA,NA
4.1,267.233,NA,7068,NA,NA
8.575,904.5314,NA,7061,NA,NA
13.814,1165.3646,NA,7051,NA,NA
5.314,606.3835,NA,7042,NA,NA
11.049,936.6757,NA,7032,NA,NA
6.149,710.4251,NA,7029,NA,NA
14.311,916.8326,NA,7029,NA,NA
9.378,681.512,NA,7025,NA,NA
7.453,944.5631,NA,7025,NA,NA
6.84,614.4818,NA,7018,NA,NA
11.155,734.6312,NA,7005,NA,NA
4.554,786.492,NA,7002,NA,NA
8.87,874.5814,NA,7002,NA,NA
9.382,772.5497,NA,7000,NA,NA
5.316,950.4776,NA,6997,NA,NA
0.881,400.2159,NA,6983,NA,NA
3.162,1221.6288,NA,6982,NA,NA
8.563,599.5014,NA,6979,NA,NA
11.713,681.6418,NA,6965,NA,NA
11.483,758.4431,NA,6960,NA,NA
14.59,325.1843,NA,6959,NA,NA
3.504,271.228,NA,6919,NA,NA
10.063,953.619,NA,6917,NA,NA
9.595,746.5846,NA,6916,NA,NA
5.835,846.5291,846.5291,6915,Phosphatidylcholine,PC 18:3_20:5
14.339,311.1688,NA,6910,NA,NA
9.854,626.5472,NA,6895,NA,NA
7.875,899.5652,899.5655,6893,Phosphatidylinositol,PI 19:0_20:4
3.651,525.1778,NA,6893,NA,NA
10.543,847.6474,NA,6875,NA,NA
