"","Lipid","sig_FDR","diffexpressed","FC","p_val","log_p","delabel","label","log_FC","q_val","my_color"
"1188","9.536_706.4918",FALSE,"NO",1.201451336,0.302140247,0.51979142008984,NA,NA,0.264778214232822,0.362523739062885,"no"
"1189","9.15_1276.9351",FALSE,"NO",0.9344233,0.302320568,0.519532305137635,NA,NA,-0.09785184638074,0.362523739062885,"no"
"1190","8.822_744.1558",FALSE,"NO",1.02114408,0.303402211,0.517981258679147,NA,NA,0.030186440002571,0.363504351506724,"no"
"1191","7.446_782.2578",FALSE,"NO",0.921301962,0.303799803,0.517412512092853,NA,NA,-0.118254009493083,0.363504351506724,"no"
"1192","8.156_1355.9377",FALSE,"NO",0.952864103,0.303887756,0.517286797810018,NA,NA,-0.0696576225235499,0.363504351506724,"no"
"1193","7.627_733.5628",FALSE,"NO",2.294433375,0.304038873,0.517070885963283,NA,NA,1.19813791485538,0.363504351506724,"no"
"1194","7.161_1014.4803",FALSE,"NO",0.994538701,0.304612833,0.516251804270869,NA,NA,-0.00790058239604582,0.363504351506724,"no"
"1195","10.508_694.5506",FALSE,"NO",1.152127171,0.304748994,0.516057719346889,NA,NA,0.204299969249916,0.363504351506724,"no"
"1196","7.257_430.3788",FALSE,"NO",1.693288597,0.304985039,0.515721464387993,NA,NA,0.759827881076195,0.363504351506724,"no"
"1197","8.802_842.4601",FALSE,"NO",2.11005e-06,0.30535406,0.515196301232633,NA,NA,-18.8542913837105,0.363504351506724,"no"
"1198","5.168_777.6257",FALSE,"NO",0.987365694,0.305407337,0.515120533814179,NA,NA,-0.0183435753460083,0.363504351506724,"no"
"1199","7.817_1182.7896",FALSE,"NO",1.317910758,0.305754817,0.514626692165626,NA,NA,0.398252681916645,0.363504351506724,"no"
"1200","8.296_1243.437",FALSE,"NO",0.915062165,0.306149166,0.514066919315269,NA,NA,-0.128058338276742,0.363750841704337,"no"
"1201","8.407_1161.3493",FALSE,"NO",1.268161001,0.307183492,0.512602126941122,NA,NA,0.342737916296916,0.364431267391304,"no"
"1202","7.58_764.9299",FALSE,"NO",1.225595477,0.30756447,0.512063835886784,NA,NA,0.293482878190039,0.364431267391304,"no"
"1203","8.352_734.1508",FALSE,"NO",1.08446e-06,0.307932976,0.511543800775312,NA,NA,-19.8145917287307,0.364431267391304,"no"
"1204","7.632_758.1269",FALSE,"NO",4.138545315,0.308188842,0.511183088997062,NA,NA,2.0491237542875,0.364431267391304,"no"
"1205","8.305_888.572",FALSE,"NO",2.8540378,0.308653669,0.510528556160071,NA,NA,1.51300444256119,0.364431267391304,"no"
"1206","7.633_762.1393",FALSE,"NO",3.93876e-07,0.308737444,0.510410695634778,NA,NA,-21.2757551521488,0.364431267391304,"no"
"1207","8.943_638.4887",FALSE,"NO",0.7639424,0.308804572,0.510316278350316,NA,NA,-0.388464229358078,0.364431267391304,"no"
"1208","9.044_623.2304",FALSE,"NO",1.042377151,0.309270943,0.50966088144381,NA,NA,0.0598773653614756,0.364431267391304,"no"
"1209","5.971_777.5309",FALSE,"NO",0.473051292,0.309624622,0.50916451060688,NA,NA,-1.07993147432031,0.364431267391304,"no"
"1210","6.481_805.5611",FALSE,"NO",2.567932991,0.309839098,0.508863780333208,NA,NA,1.36060755650488,0.364431267391304,"no"
"1211","9.273_762.5989",FALSE,"NO",1.09421006,0.309946216,0.508713661394521,NA,NA,0.129889724811739,0.364431267391304,"no"
"1212","8.802_1127.4473",FALSE,"NO",1.229583602,0.309959542,0.508694989497408,NA,NA,0.298169830168136,0.364431267391304,"no"
"1213","7.658_758.1001",FALSE,"NO",0.487773581,0.310141766,0.50843974449493,NA,NA,-1.03571647449918,0.364431267391304,"no"
"1214","8.523_1212.3704",FALSE,"NO",6.53165e-07,0.31028184,0.508243641813783,NA,NA,-20.5460491783935,0.364431267391304,"no"
"1215","7.157_889.5143",FALSE,"NO",1.027183493,0.310656983,0.507718879796617,NA,NA,0.0386939234233298,0.364431744231001,"no"
"1216","8.385_1173.8504",FALSE,"NO",0.929837446,0.311210855,0.506945263274946,NA,NA,-0.10494956828765,0.36477958512605,"no"
"1217","8.08_838.1269",FALSE,"NO",9.5241e-07,0.311901532,0.50598249206712,NA,NA,-20.0019138956878,0.36477958512605,"no"
"1218","8.523_891.2905",FALSE,"NO",0.830558131,0.312048089,0.505778472718722,NA,NA,-0.267846948529362,0.36477958512605,"no"
"1219","9.878_590.4893",FALSE,"NO",2.658971157,0.31204858,0.505777789367564,NA,NA,1.41086812774889,0.36477958512605,"no"
"1220","8.156_684.9742",FALSE,"NO",1.128606557,0.312128525,0.505666539940863,NA,NA,0.174542636516542,0.36477958512605,"no"
"1221","8.076_855.9741",FALSE,"NO",6.90163e-07,0.312235819,0.505517277116847,NA,NA,-20.4665595320019,0.36477958512605,"no"
"1222","8.084_841.25",FALSE,"NO",2.35719e-06,0.312442245,0.505230250306876,NA,NA,-18.694500518411,0.36477958512605,"no"
"1223","8.194_637.6012",FALSE,"NO",0.892376277,0.312453876,0.505214083526671,NA,NA,-0.164275933512135,0.36477958512605,"no"
"1224","7.47_807.9782",FALSE,"NO",1.07066e-06,0.312641594,0.50495324370966,NA,NA,-19.8330681603752,0.364779784241152,"no"
"1225","8.387_1245.3604",FALSE,"NO",0.950025062,0.313380585,0.503927913063826,NA,NA,-0.0739625221319919,0.365333957437126,"no"
"1226","8.911_821.6298",FALSE,"NO",0.951969815,0.313639388,0.503569402247512,NA,NA,-0.0710122655140244,0.365333957437126,"no"
"1227","7.378_622.4963",FALSE,"NO",0.837385358,0.313680056,0.503513093175049,NA,NA,-0.256036402657568,0.365333957437126,"no"
"1228","6.874_803.0412",FALSE,"NO",1.35006907,0.314179771,0.502821781186236,NA,NA,0.43303321794088,0.365634682447699,"no"
"1229","7.076_806.3348",FALSE,"NO",6.2087e-08,0.314501354,0.502377480477972,NA,NA,-23.9411335357239,0.365634682447699,"no"
"1230","7.8_704.5835",FALSE,"NO",1.167040327,0.314502223,0.50237628047874,NA,NA,0.222854414136698,0.365634682447699,"no"
"1231","7.153_806.1091",FALSE,"NO",1.036351496,0.315001022,0.501688037168366,NA,NA,0.0515134002545544,0.365655673651551,"no"
"1232","8.821_767.6274",FALSE,"NO",1.038567672,0.315041411,0.501632356093775,NA,NA,0.0545952237685029,0.365655673651551,"no"
"1233","7.718_1177.7887",FALSE,"NO",0.866663116,0.315084272,0.501573274877695,NA,NA,-0.20645678809014,0.365655673651551,"no"
"1234","ACar 14:0",TRUE,"UP",3.0293,0.0014,2.8552,"ACar 14:0","sig",1.59898445930874,0.0193120567375887,"red"
"1235","ACar 16:0",TRUE,"UP",1.8409,0.0014,2.8617,"ACar 16:0","sig",0.880411259809781,0.0193120567375887,"red"
"1236","ACar 18:0",FALSE,"NO",1.4053,0.0248,1.6053,"ACar 18:0","sig",0.490878146326293,0.104181425485961,"no"
"1237","ACar 18:1",TRUE,"UP",1.3283,0.0052,2.2851,"ACar 18:1","sig",0.409581019902552,0.044359649122807,"red"
"1238","ACar 18:2",TRUE,"UP",2.1764,0.0044,2.3552,"ACar 18:2","sig",1.1219437335104,0.0399906542056075,"red"
"1239","ACar 20:1",FALSE,"NO",0.8473,0.4578,0.3393,NA,"not",-0.239055225823556,0.512030477285796,"no"
"1240","ACar 20:2",FALSE,"NO",0.8835,0.5712,0.2432,NA,"not",-0.17869796011047,0.621682046979866,"no"
"1241","ACar 20:4",TRUE,"UP",2.244,0.0056,2.2536,"ACar 20:4","sig",1.16607267594671,0.0455732217573222,"red"
"1242","BMP 18:2_22:6",FALSE,"NO",1.2167,0.0281,1.5512,"BMP 18:2_22:6","sig",0.282973488621589,0.110807042929293,"no"
"1243","BMP 22:6_22:6",FALSE,"NO",0.7846,0.1454,0.8373,NA,"not",-0.349970759472354,0.266288434985889,"no"
"1244","Cer_NS d17:1_22:0",FALSE,"NO",1.3059,0.0798,1.0981,"Cer_NS d17:1_22:0","sig",0.385044425959607,0.19401375,"no"
"1245","Cer_NS d18:1_20:0",FALSE,"NO",1.3395,0.025,1.6029,"Cer_NS d18:1_20:0","sig",0.421694581180292,0.104493096702355,"no"
"1246","Cer_NS d18:1_22:0",FALSE,"NO",1.2398,0.0398,1.4002,"Cer_NS d18:1_22:0","sig",0.310107409096058,0.136883777741652,"no"
"1247","Cer_NS d18:1_22:1",FALSE,"NO",1.1088,0.5939,0.2263,NA,"not",0.148999162587764,0.642813299944352,"no"
"1248","Cer_NS d18:1_23:0",TRUE,"UP",1.436,0.0063,2.1974,"Cer_NS d18:1_23:0","sig",0.522055749160964,0.0484328063241107,"red"
